contrast,regulator,branch,estimate,ci_low,ci_high,q_value,matched_targets_after,attenuation_ratio_vs_baseline
gse174188_primary,STAT1,frozen_ifn12_depleted,0.962658859300595,0.626437718349468,1.29888000025172,3.16096020986134e-08,92,0.748962742423676
gse174188_primary,STAT1,m5911_depleted,0.418210996980237,0.0502208941397627,0.786201099820711,0.0311122125418416,77,0.325374302832081
gse174188_primary,STAT2,frozen_ifn12_depleted,1.1672481760262,0.198949511598964,2.13554684045344,0.0181555187440453,11,0.534864810824315
gse174188_primary,STAT2,m5911_depleted,0.390657714569951,-0.745046177194798,1.5263616063347,0.500111148687377,8,0.179009973107747
gse174188_internal_nonoverlap,STAT1,frozen_ifn12_depleted,0.864025489644753,0.608675922210408,1.1193750570791,7.13510304597852e-11,122,0.792320418298554
gse174188_internal_nonoverlap,STAT1,m5911_depleted,0.542175592139553,0.265356061214947,0.818995123064158,0.0001867862015867,104,0.497180693282438
gse174188_internal_nonoverlap,STAT2,frozen_ifn12_depleted,2.60060974790123,1.87779820743375,3.32342128836871,5.829144607463399e-12,15,0.878034234120873
gse174188_internal_nonoverlap,STAT2,m5911_depleted,2.49578968891926,1.68698815834744,3.30459121949109,9.25205169929726e-09,12,0.842644225957207
gse135779_childhood,STAT1,frozen_ifn12_depleted,0.952494192417521,0.721049801469641,1.1839385833654,4.9039501319469e-15,153,0.836979285983551
gse135779_childhood,STAT1,m5911_depleted,0.703584090746525,0.457859743201573,0.949308438291478,6.16154187934332e-08,136,0.618256063491333
gse135779_childhood,STAT2,frozen_ifn12_depleted,1.91206497643788,1.19887829151599,2.62525166135976,1.81518505526932e-07,16,0.796633844579733
gse135779_childhood,STAT2,m5911_depleted,1.64779576047695,0.856215255866363,2.43937626508755,9.0684355589235e-05,13,0.686529949518998
