relative_path,column,read_mode,n_unique,missing_count,top_value_counts_json,message
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,Processing_Cohort,categorical,4,0,"[[""2.0"", 70427], [""4.0"", 40070], [""1.0"", 23763], [""3.0"", 18721]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,author_cell_type,categorical,2,0,"[[""B"", 151570], [""PB"", 1411]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,cell_type,categorical,2,0,"[[""B cell"", 151570], [""plasmablast"", 1411]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,cell_type_ontology_term_id,categorical,2,0,"[[""CL:0000236"", 151570], [""CL:0000980"", 1411]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,development_stage,categorical,55,0,"[[""27-year-old stage"", 10804], [""34-year-old stage"", 10755], [""33-year-old stage"", 8450], [""37-year-old stage"", 7480], [""31-year-old stage"", 6984], [""45-year-old stage"", 5233], [""26-year-old stage"", 5054], [""58-year-old stage"", 4564], [""25-year-old stage"", 4555], [""32-year-old stage"", 4493], [""28-year-old stage"", 4181], [""29-year-old stage"", 4168], [""35-year-old stage"", 4166], [""23-year-old stage"", 3633], [""24-year-old stage"", 3065], [""55-year-old stage"", 2988], [""52-year-old stage"", 2800], [""30-year-old stage"", 2709], [""54-year-old stage"", 2686], [""66-year-old stage"", 2573], [""42-year-old stage"", 2570], [""39-year-old stage"", 2490], [""43-year-old stage"", 2421], [""51-year-old stage"", 2359], [""53-year-old stage"", 2350], [""21-year-old stage"", 2321], [""46-year-old stage"", 2286], [""36-year-old stage"", 2257], [""64-year-old stage"", 2184], [""41-year-old stage"", 2143], [""57-year-old stage"", 2107], [""68-year-old stage"", 2082], [""56-year-old stage"", 2051], [""48-year-old stage"", 1945], [""38-year-old stage"", 1851], [""73-year-old stage"", 1804], [""59-year-old stage"", 1740], [""22-year-old stage"", 1524], [""60-year-old stage"", 1506], [""71-year-old stage"", 1243], [""62-year-old stage"", 1205], [""20-year-old stage"", 1132], [""65-year-old stage"", 1116], [""40-year-old stage"", 1073], [""69-year-old stage"", 980], [""74-year-old stage"", 913], [""61-year-old stage"", 797], [""63-year-old stage"", 786], [""49-year-old stage"", 707], [""50-year-old stage"", 408], [""70-year-old stage"", 394], [""75-year-old stage"", 328], [""44-year-old stage"", 229], [""47-year-old stage"", 192], [""83-year-old stage"", 146]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,development_stage_ontology_term_id,categorical,55,0,"[[""HsapDv:0000121"", 10804], [""HsapDv:0000128"", 10755], [""HsapDv:0000127"", 8450], [""HsapDv:0000131"", 7480], [""HsapDv:0000125"", 6984], [""HsapDv:0000139"", 5233], [""HsapDv:0000120"", 5054], [""HsapDv:0000152"", 4564], [""HsapDv:0000119"", 4555], [""HsapDv:0000126"", 4493], [""HsapDv:0000122"", 4181], [""HsapDv:0000123"", 4168], [""HsapDv:0000129"", 4166], [""HsapDv:0000117"", 3633], [""HsapDv:0000118"", 3065], [""HsapDv:0000149"", 2988], [""HsapDv:0000146"", 2800], [""HsapDv:0000124"", 2709], [""HsapDv:0000148"", 2686], [""HsapDv:0000160"", 2573], [""HsapDv:0000136"", 2570], [""HsapDv:0000133"", 2490], [""HsapDv:0000137"", 2421], [""HsapDv:0000145"", 2359], [""HsapDv:0000147"", 2350], [""HsapDv:0000115"", 2321], [""HsapDv:0000140"", 2286], [""HsapDv:0000130"", 2257], [""HsapDv:0000158"", 2184], [""HsapDv:0000135"", 2143], [""HsapDv:0000151"", 2107], [""HsapDv:0000162"", 2082], [""HsapDv:0000150"", 2051], [""HsapDv:0000142"", 1945], [""HsapDv:0000132"", 1851], [""HsapDv:0000167"", 1804], [""HsapDv:0000153"", 1740], [""HsapDv:0000116"", 1524], [""HsapDv:0000154"", 1506], [""HsapDv:0000165"", 1243], [""HsapDv:0000156"", 1205], [""HsapDv:0000114"", 1132], [""HsapDv:0000159"", 1116], [""HsapDv:0000134"", 1073], [""HsapDv:0000163"", 980], [""HsapDv:0000168"", 913], [""HsapDv:0000155"", 797], [""HsapDv:0000157"", 786], [""HsapDv:0000143"", 707], [""HsapDv:0000144"", 408], [""HsapDv:0000164"", 394], [""HsapDv:0000169"", 328], [""HsapDv:0000138"", 229], [""HsapDv:0000141"", 192], [""HsapDv:0000209"", 146]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,disease,categorical,2,0,"[[""systemic lupus erythematosus"", 92756], [""normal"", 60225]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,disease_ontology_term_id,categorical,2,0,"[[""MONDO:0007915"", 92756], [""PATO:0000461"", 60225]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,disease_state,categorical,4,0,"[[""managed"", 83437], [""na"", 60225], [""flare"", 7633], [""treated"", 1686]]",
03_results/first_pass_bcell_full/bcell_first_pass_labeled.h5ad,donor_id,categorical,259,0,"[[""1334"", 2667], [""1419"", 2630], [""IGTB826"", 1882], [""HC-524"", 1804], [""1325"", 1797], [""1197"", 1794], [""1754"", 1717], [""IGTB514"", 1702], [""1621"", 1590], [""1226"", 1582], [""IGTB1540"", 1516], [""1716"", 1505], [""IGTB1372"", 1391], [""1480"", 1369], [""IGTB256"", 1353], [""1420"", 1276], [""IGTB195"", 1274], [""IGTB1506"", 1259], [""1730"", 1232], [""1294"", 1207], [""1130"", 1204], [""1667"", 1171], [""IGTB1650"", 1167], [""1772"", 1166], [""1682"", 1124], [""1741"", 1119], [""1046"", 1112], [""IGTB508"", 1098], [""FLARE001"", 1093], [""1417"", 1074], [""1857"", 1055], [""IGTB986"", 1054], [""IGTB469"", 1054], [""1022"", 1043], [""HC-504"", 1040], [""1586"", 1039], [""IGTB143"", 1030], [""1087"", 1024], [""1078"", 1009], [""IGTB1290"", 1004], [""IGTB498"", 991], [""1743"", 985], [""IGTB1539"", 978], [""1240"", 973], [""1493"", 968], [""1614"", 967], [""1496"", 938], [""IGTB1814"", 932], [""IGTB670"", 927], [""IGTB1966"", 925], [""HC-506"", 911], [""IGTB1840"", 907], [""1262"", 898], [""1815"", 888], [""FLARE005"", 887], [""1804"", 884], [""1251"", 883], [""1596"", 882], [""1623"", 881], [""1641"", 877], [""1279"", 874], [""1584"", 874], [""IGTB884"", 870], [""1418"", 847], [""IGTB1789"", 834], [""HC-014"", 820], [""1132"", 810], [""IGTB1921"", 807], [""1281"", 806], [""1510"", 806], [""FLARE009"", 802], [""1514"", 789], [""1122"", 779], [""1222"", 771], [""HC-519"", 769], [""1891"", 757], [""1492"", 754], [""1535"", 747], [""1259"", 738], [""FLARE004"", 737], [""IGTB141"", 722], [""IGTB1815"", 720], [""HC-009"", 706], [""IGTB1828"", 704], [""HC-538"", 690], [""HC-531"", 675], [""1791"", 667], [""FLARE007"", 664], [""IGTB1982"", 659], [""1768"", 656], [""IGTB1996"", 646], [""HC-526"", 639], [""HC-572"", 633], [""1054"", 623], [""1127"", 622], [""FLARE015"", 621], [""1366"", 617], [""IGTB1844"", 615], [""1947"", 611], [""1338"", 608]]",
