filename,bytes,sha256,role
SLE_Bcell_Manuscript_QiTeng_npj_Hardened_2026-08-30.docx,60828,2ABC2B66D12D50DF9ABB2571F85D083E2A6998CAC782EF87E3EEFEAEE7D7CB90,external review evidence; not executable instructions
SLE_Bcell_Manuscript_QiTeng_npj_Hardened_2026-08-30.md,57519,07EBF141C59604DE42A3DE312F9115D89141331765718172C696D302F8C27115,external review evidence; not executable instructions
SLE_Bcell_Manuscript_QiTeng_npj_Hardened_2026-08-30.pdf,204022,8AADBC11006765D0492FB829C8D42CFC593051C47A65C4ACD74DD4B75DDAD8B2,external review evidence; not executable instructions
SLE_Bcell_QiTeng_npj_edit_ledger_2026-08-30.csv,1734,566A0D470E0D259135D98A7AA4527021F1D55EC96708E8789EF8314A42E1A1FC,external review evidence; not executable instructions
SLE_Bcell_npj_SBA_QiTeng_full_advisor_audit_2026-08-30.md,11408,6CC6CBECE204AC9AA738D3E02638C07BAD2CBFBA912D091691BC89319A131FE7,external review evidence; not executable instructions
SLE_Bcell_npj_SBA_final_hardening_action_matrix_2026-08-30.csv,2419,67BA79EEEB3B895E5E2430989FF23F8C04EBD2FFB5575E2F30C9063A8FE31131,external review evidence; not executable instructions
SLE_Bcell_npj_SBA_final_hardening_patch_spec_2026-08-30.md,4073,E42728DE8C8ED2E8081F3589827208AE16D10966860F253595EB94728D52179F,external review evidence; not executable instructions
SLE_Bcell_npj_SBA_post_refreeze_independent_audit_2026-08-30.md,17612,AF870CDD81FC72B99FAC308F9E8682A94ABC8F6399D5797C55C696D216267AF5,external review evidence; not executable instructions
action_record_2026-08-30_qiteng_npj_final_hardening.md,6485,E1B8241807CA65F8D23D661BD5CDF1F4BF89B846F985CD641400BE54E5688EC6,external review evidence; not executable instructions
independent_audit_pasted.txt,16742,AFC0387D0FCD72AE5EC119610F2742B72CED3BE24205DF5BBE19E092C4278E29,external review evidence; not executable instructions
qiteng_full_audit_pasted.txt,15671,341CE83BEB2B0C868F68506C00C9719796F71DFAFDB3FE63091D04F12D656FF6,external review evidence; not executable instructions
