"sha256","bytes","relative_path"
"00127CB6D59BC10F4FD0CE66644B56A4E18EBEA6D564D1DCBB4B0A8D83209BF9","9","_phase17_review_pack\20260806_120548\payload\03_results\figure3_abc_apc_focus\tables\pseudobulk_genes_missing.csv"
"00127CB6D59BC10F4FD0CE66644B56A4E18EBEA6D564D1DCBB4B0A8D83209BF9","9","03_results\figure3_abc_apc_focus\tables\pseudobulk_genes_missing.csv"
"00B5E9730045410C0621A5B6222A0EB92E1A986C9C56A6A611DF8F698C19B292","8976","_phase17_review_pack\20260806_120548\payload\02_analysis\scripts\46_submission_document_qc.py"
"00B5E9730045410C0621A5B6222A0EB92E1A986C9C56A6A611DF8F698C19B292","8976","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\analysis_code\scripts\46_submission_document_qc.py"
"00B5E9730045410C0621A5B6222A0EB92E1A986C9C56A6A611DF8F698C19B292","8976","02_analysis\scripts\46_submission_document_qc.py"
"00B5E9730045410C0621A5B6222A0EB92E1A986C9C56A6A611DF8F698C19B292","8976","04_submission\package_genome_medicine_2026-07-31\analysis_code\scripts\46_submission_document_qc.py"
"0140384946595CF131E384301AE9A84FC6D3A58C0D1CFA28DFB91E6BDDED061C","319141","04_submission\package_genome_medicine_gateC8BR_release_portability_preflight_2026-08-25\internal_qc\wps_render_main\final-page-22.png"
"0140384946595CF131E384301AE9A84FC6D3A58C0D1CFA28DFB91E6BDDED061C","319141","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\internal_qc\wps_render_main\final-page-22.png"
"01765F07C9911D4C7582C647F5D76AE2976AA4B680AD2E12E9ED0606516E592E","492","_phase17_review_pack\20260806_120548\payload\Data\external_regulatory\GCST90558100\download_manifest_gcst90558100.csv"
"01765F07C9911D4C7582C647F5D76AE2976AA4B680AD2E12E9ED0606516E592E","492","Data\external_regulatory\GCST90558100\download_manifest_gcst90558100.csv"
"022B8A3BBA15019D9FC982E81CB826F77D7099C826DEBB51830A6CF8D29773AC","54202","04_submission\journal_submission_im\figures\Figure3_gse174188_bconv_transcription.pdf"
"022B8A3BBA15019D9FC982E81CB826F77D7099C826DEBB51830A6CF8D29773AC","54202","04_submission\journal_submission_im\portal_upload_required\Figure_3.pdf"
"022B8A3BBA15019D9FC982E81CB826F77D7099C826DEBB51830A6CF8D29773AC","54202","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\figures\Figure3_gse174188_bconv_transcription.pdf"
"022B8A3BBA15019D9FC982E81CB826F77D7099C826DEBB51830A6CF8D29773AC","54202","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\portal_upload_required\Figure_3.pdf"
"025F9C5926CA5D4BE7C1B16A28F4946E379A6B7948DF1A6D4B3887D27D7D9ECD","1431","_phase17_review_pack\20260806_120548\payload\03_results\supplement_qc_flagged_cluster\tables\core_state_sensitivity_original_vs_exclude_flagged.csv"
"025F9C5926CA5D4BE7C1B16A28F4946E379A6B7948DF1A6D4B3887D27D7D9ECD","1431","03_results\supplement_qc_flagged_cluster\tables\core_state_sensitivity_original_vs_exclude_flagged.csv"
"025F9C5926CA5D4BE7C1B16A28F4946E379A6B7948DF1A6D4B3887D27D7D9ECD","1431","04_submission\package_genome_medicine_2026-07-22\tables_supplementary\Supplementary_Table_S9c_core_state_sensitivity_excluding_flagged_cluster.csv"
"025F9C5926CA5D4BE7C1B16A28F4946E379A6B7948DF1A6D4B3887D27D7D9ECD","1431","04_submission\package_working\tables_supplementary\Supplementary_Table_S9c_core_state_sensitivity_excluding_flagged_cluster.csv"
"02AE5DE8F1778F860B6C17A7F34FE3582E4087945F47DC9488B9FFBACA029510","381373","04_submission\.docx_render_qa\Manuscript\contact_input\final-page-13.png"
"02AE5DE8F1778F860B6C17A7F34FE3582E4087945F47DC9488B9FFBACA029510","381373","04_submission\.docx_render_qa\Manuscript\page-13.png"
"030506E7D0873766718AF653EC3EC9116D43E274467FACD486FD71CC9E02E108","330","_phase17_review_pack\20260806_120548\payload\03_results\figure1_dataset_overview\tables\source_cell_type_counts.csv"
"030506E7D0873766718AF653EC3EC9116D43E274467FACD486FD71CC9E02E108","330","03_results\figure1_dataset_overview\tables\source_cell_type_counts.csv"
"035A9662B43A1085B3E3EA396F6A57563DB142F4F00B47673837891DF7279D15","1364","_phase17_review_pack\20260806_120548\payload\03_results\first_pass_bcell_full\tables\composition\donor_cluster_fraction_summary_by_disease.csv"
