library_uuid,n_bcells,n_samples,n_donors,Processing_Cohort,disease
0103e306-959a-46b0-896d-d8b9dee40157,1741,15,15,1.0,normal
048cb921-e15f-47a6-a9e3-ed512574e5d7,1653,16,16,2.0,normal | systemic lupus erythematosus
0955850b-157b-4396-a3da-83b8bcbed172,1839,16,16,4.0,normal | systemic lupus erythematosus
0be87f87-d01a-495e-9605-d89d36240908,1950,16,16,2.0,normal | systemic lupus erythematosus
0c3a7808-800f-43b1-a57b-08c3b2bb9e5a,2322,16,16,2.0,systemic lupus erythematosus
0c7c125d-46d6-40ba-8088-31fb2b526a78,1302,15,15,2.0,normal | systemic lupus erythematosus
10cec51f-a79f-4907-8745-b45df64f6946,1396,16,16,4.0,normal | systemic lupus erythematosus
1495b93b-a19f-4364-95a3-6d8ac531eac6,1527,16,16,4.0,normal | systemic lupus erythematosus
15024b21-fb68-4bbe-92cf-0c9ab90f11a6,1922,16,16,2.0,normal | systemic lupus erythematosus
152e2bfd-e9ea-4d70-a999-6f37fb3fb96c,1729,18,18,3.0,normal | systemic lupus erythematosus
1556abac-8f1a-404a-8a2f-402ac562143c,1633,16,16,2.0,normal | systemic lupus erythematosus
16552c24-ef48-4e1f-aff5-319a1f739299,1528,16,16,4.0,normal | systemic lupus erythematosus
1e3165e4-e0c0-4bf7-b803-7d8271b99fd5,2090,15,15,4.0,normal | systemic lupus erythematosus
222b358b-71e7-4b0f-9f9b-47b4c67aaa27,2489,16,16,2.0,systemic lupus erythematosus
2236c52d-924b-415a-aae0-00fa08d12d1f,1769,16,16,2.0,normal | systemic lupus erythematosus
272dbb99-7929-46e2-8446-a19c21af05da,1882,15,15,2.0,normal | systemic lupus erythematosus
28401515-eca4-442a-85fc-f8c2793b1c26,1484,15,15,2.0,normal | systemic lupus erythematosus
2dbf699a-f6cd-446d-8dc4-0595319cfa99,1507,16,16,2.0,normal | systemic lupus erythematosus
2e65a160-ba6e-4001-b942-c2aa46cd2c5b,1515,19,19,3.0,normal | systemic lupus erythematosus
3044f2b9-48b5-45ec-ac14-107f0d7372f0,1657,16,16,2.0,normal | systemic lupus erythematosus
30bbf8d6-bd6a-4b4f-8d3e-a54bf78f79d5,1745,17,17,3.0,normal | systemic lupus erythematosus
32436280-1ea6-4678-bb18-4632fe8c4933,1849,16,16,4.0,normal | systemic lupus erythematosus
3332f018-936e-4c4c-9105-99d9503db5a3,1451,16,16,4.0,normal | systemic lupus erythematosus
34585dab-86cd-40a1-9780-83204c304046,1701,16,16,4.0,normal | systemic lupus erythematosus
3639058a-5dc3-49ad-82ff-cec405483912,2433,16,16,1.0,normal
39093cbf-e0a9-480d-ab0b-e9e4cf95a9f8,1364,16,16,4.0,normal | systemic lupus erythematosus
39564abe-76f3-4a33-9f10-f574069834bc,1581,16,16,2.0,normal | systemic lupus erythematosus
3c722d55-1664-4996-8228-63504e862676,992,7,7,3.0,normal | systemic lupus erythematosus
43b9b939-e389-4784-b4e0-ee9d12aa7ca1,1572,16,16,4.0,normal | systemic lupus erythematosus
4e57f7cc-1df2-467f-8bfe-cb19af5d7350,1650,6,6,3.0,normal | systemic lupus erythematosus
54530f14-aadf-4c2a-8f92-9c22a69cc022,1684,16,16,2.0,normal | systemic lupus erythematosus
56b848af-d12b-4f9c-b605-947e296caa46,2312,16,16,1.0,normal
585af22b-b80b-4a1d-8cc8-17d65b2639e1,2505,16,16,2.0,systemic lupus erythematosus
60373b7d-7c45-428f-9622-aa4f854c4860,2216,15,15,4.0,normal | systemic lupus erythematosus
64f6fec6-18a3-4563-b731-189faf6423f2,1342,16,16,4.0,normal | systemic lupus erythematosus
665a3535-8f40-4ae3-9260-cbce7060781f,1750,16,16,2.0,normal | systemic lupus erythematosus
683bd537-4ff4-4741-afe5-be328f499d4b,1926,16,16,2.0,normal | systemic lupus erythematosus
68492085-4a2b-4551-9b12-75062c694069,1907,16,16,2.0,normal | systemic lupus erythematosus
6ab35eea-1bae-4ee8-8e5f-5f1505715ac3,1769,15,15,2.0,normal | systemic lupus erythematosus
6fd714df-b88d-43a6-8f75-3d300278329d,1451,16,16,4.0,normal | systemic lupus erythematosus
70a004b7-4a17-4702-8910-4557aa0c4279,1564,16,16,4.0,normal | systemic lupus erythematosus
78c34b8c-196b-4a31-b700-08882bfaf4ab,2086,16,16,2.0,normal | systemic lupus erythematosus
7a2abe44-abb7-4648-bb14-224625a6da0b,1569,19,19,3.0,normal | systemic lupus erythematosus
7c76a618-92ba-41fd-b0a7-306a1c1a6bf2,1645,19,19,3.0,normal | systemic lupus erythematosus
8321fef1-a067-4a62-a461-37e1f1b4f868,1771,16,16,2.0,normal | systemic lupus erythematosus
8627b3d4-c529-45b3-bf1e-0313791be91d,1659,16,16,2.0,normal | systemic lupus erythematosus
894c6ccb-cb7a-4ea1-b032-b1d93b25247d,1635,16,16,2.0,normal | systemic lupus erythematosus
8950207b-4940-4ef9-ad01-0ad0dace6f27,2508,16,16,1.0,normal
90e60bb7-e776-4dff-a8ba-6390acefdbee,1540,16,16,4.0,normal | systemic lupus erythematosus
91761416-a756-48e5-8768-fd169c7c564c,1601,16,16,4.0,normal | systemic lupus erythematosus
9184b09f-ca66-4623-a733-1f64bc1b424f,1507,15,15,2.0,normal | systemic lupus erythematosus
9586e7f4-5c57-452e-bb13-90ceef874118,1631,15,15,1.0,normal
9850fb76-4155-4910-881f-b5d33ee0835c,1874,16,16,2.0,normal | systemic lupus erythematosus
a5750809-7c9f-409f-baa1-9bfbb22d2fcc,1700,19,19,3.0,normal | systemic lupus erythematosus
a5cedd63-caae-415f-b7e4-c7f660fc89c8,1846,16,16,1.0,normal
b795713b-ff23-4494-b6a3-1438b2baee3e,1537,16,16,2.0,normal | systemic lupus erythematosus
b816335c-8d84-4ecc-aa3e-2dea51795320,1840,18,18,3.0,normal | systemic lupus erythematosus
b993ef60-52c8-41e2-83a2-bb44f1fb916f,2190,16,16,1.0,normal
bdc30514-427c-403e-a0ee-61e7d04e407e,2001,16,16,2.0,normal | systemic lupus erythematosus
c2641f62-eb23-4dad-9c22-b52e72b79df2,1346,16,16,4.0,normal | systemic lupus erythematosus
c64fa002-95f9-4429-b65c-6f55c7f907d4,1762,16,16,2.0,normal | systemic lupus erythematosus
c7f79595-aa68-4139-9a87-094c761cc5ab,1814,16,16,2.0,normal | systemic lupus erythematosus
ca103ed6-7a7e-4450-9546-ac295532bced,1593,16,16,4.0,normal | systemic lupus erythematosus
cd2306bc-106c-4506-b778-d184713c463a,2103,16,16,1.0,normal
cdab3145-edc9-4352-932c-1638e791bfc9,1514,16,16,4.0,normal | systemic lupus erythematosus
cdf51e52-a49a-474f-a6ba-da5a14137d09,1745,16,16,2.0,normal | systemic lupus erythematosus
cfb525cf-987b-42c8-afca-8dd18f45b32d,1603,16,16,2.0,normal | systemic lupus erythematosus
d461010c-38fd-414f-91bd-e1b3e7e2f8fb,1567,15,15,1.0,normal
d49aa545-2b96-409c-85e8-2bf8706475fb,1626,16,16,2.0,normal | systemic lupus erythematosus
d4d2da4e-6580-479c-b5f6-77b109e72715,2187,15,15,4.0,normal | systemic lupus erythematosus
d641571e-6406-4309-ae61-acc6f2e0a50d,1608,16,16,2.0,normal | systemic lupus erythematosus
d8a37460-32f2-4b61-b1d2-1f7f0ba92779,2606,16,16,2.0,systemic lupus erythematosus
d9278721-fad6-4eba-a1bb-4a26c0aea206,1792,16,16,1.0,normal
d9942805-5a63-4958-b714-7088c0428c65,1502,16,16,4.0,normal | systemic lupus erythematosus
d9bf3113-086e-4165-ba13-e78a3d7b4138,1502,15,15,2.0,normal | systemic lupus erythematosus
dac92812-557b-4abd-8fb0-4f823ae8ff59,1777,16,16,2.0,normal | systemic lupus erythematosus
ddae4c77-2b07-4e3e-97f1-84a37cf04321,1811,16,16,4.0,normal | systemic lupus erythematosus
ddb0a996-79fe-4eac-8760-76ee74c7c333,1608,6,6,3.0,normal | systemic lupus erythematosus
df159c28-05fb-4f35-83b8-8c14af793f2a,1701,18,18,3.0,normal | systemic lupus erythematosus
e16d2c39-bfd1-4fb1-8ed6-ad6b16f3652e,501,15,15,2.0,normal | systemic lupus erythematosus
e3629615-6d5c-4167-808f-996d53989dbf,1592,16,16,2.0,normal | systemic lupus erythematosus
e7240495-f3e8-42a3-ac5c-4a9a7eebc341,1668,15,15,1.0,normal
e9ebbe1e-ce77-4c97-a04e-4a64befe98c8,1027,7,7,3.0,normal | systemic lupus erythematosus
ecd9109f-7197-46df-b3a8-1ac2d9990185,1819,16,16,4.0,normal | systemic lupus erythematosus
f1568b25-4a87-414f-8329-1a860a3a8aeb,1972,16,16,1.0,normal
f2380b81-e46f-430b-8fd2-e3897ddf7be9,1805,16,16,2.0,normal | systemic lupus erythematosus
fb1e97d1-dd9c-4314-aae2-9c3745df1411,2267,15,15,4.0,normal | systemic lupus erythematosus
fc140c51-9b4f-427f-8e11-640bc7400007,1724,15,15,2.0,normal | systemic lupus erythematosus
