sample_uuid,n_bcells,library_uuid_n_unique,library_uuid,Processing_Cohort_n_unique,Processing_Cohort,multi_library_sample,multi_cohort_sample,interpretation
00d8685c-548c-4e5f-b151-47d678b31cd6,539,4,1e3165e4-e0c0-4bf7-b803-7d8271b99fd5 | 60373b7d-7c45-428f-9622-aa4f854c4860 | d4d2da4e-6580-479c-b5f6-77b109e72715 | fb1e97d1-dd9c-4314-aae2-9c3745df1411,1,4.0,True,False,expected technical multiplicity; not a biological conflict
02404cf5-4210-43b8-b998-797422f7b1a8,462,4,1495b93b-a19f-4364-95a3-6d8ac531eac6 | 3332f018-936e-4c4c-9105-99d9503db5a3 | 70a004b7-4a17-4702-8910-4557aa0c4279 | cdab3145-edc9-4352-932c-1638e791bfc9,1,4.0,True,False,expected technical multiplicity; not a biological conflict
025b6b04-0e79-4c4b-bbb5-15042ca0474e,451,4,28401515-eca4-442a-85fc-f8c2793b1c26 | 9184b09f-ca66-4623-a733-1f64bc1b424f | d9bf3113-086e-4165-ba13-e78a3d7b4138 | e16d2c39-bfd1-4fb1-8ed6-ad6b16f3652e,1,2.0,True,False,expected technical multiplicity; not a biological conflict
0332dc59-e2c0-4b55-9921-3e0d0f565e5e,244,4,2236c52d-924b-415a-aae0-00fa08d12d1f | 894c6ccb-cb7a-4ea1-b032-b1d93b25247d | 9850fb76-4155-4910-881f-b5d33ee0835c | f2380b81-e46f-430b-8fd2-e3897ddf7be9,1,2.0,True,False,expected technical multiplicity; not a biological conflict
037d2b66-6091-42f8-b0ff-07c9130dea62,486,4,16552c24-ef48-4e1f-aff5-319a1f739299 | 43b9b939-e389-4784-b4e0-ee9d12aa7ca1 | 91761416-a756-48e5-8768-fd169c7c564c | d9942805-5a63-4958-b714-7088c0428c65,1,4.0,True,False,expected technical multiplicity; not a biological conflict
0426d045-1567-4897-8407-e7925395251c,343,4,0c3a7808-800f-43b1-a57b-08c3b2bb9e5a | 222b358b-71e7-4b0f-9f9b-47b4c67aaa27 | 585af22b-b80b-4a1d-8cc8-17d65b2639e1 | d8a37460-32f2-4b61-b1d2-1f7f0ba92779,1,2.0,True,False,expected technical multiplicity; not a biological conflict
09e143b6-bb61-40d5-99d8-bcf32ae0a20a,68,4,28401515-eca4-442a-85fc-f8c2793b1c26 | 9184b09f-ca66-4623-a733-1f64bc1b424f | d9bf3113-086e-4165-ba13-e78a3d7b4138 | e16d2c39-bfd1-4fb1-8ed6-ad6b16f3652e,1,2.0,True,False,expected technical multiplicity; not a biological conflict
09fc2399-2a9e-47ec-a0f4-f0c83ee59b98,403,4,1e3165e4-e0c0-4bf7-b803-7d8271b99fd5 | 60373b7d-7c45-428f-9622-aa4f854c4860 | d4d2da4e-6580-479c-b5f6-77b109e72715 | fb1e97d1-dd9c-4314-aae2-9c3745df1411,1,4.0,True,False,expected technical multiplicity; not a biological conflict
0a1148dc-356f-4dc4-9c32-bf0823257d93,579,4,1495b93b-a19f-4364-95a3-6d8ac531eac6 | 3332f018-936e-4c4c-9105-99d9503db5a3 | 70a004b7-4a17-4702-8910-4557aa0c4279 | cdab3145-edc9-4352-932c-1638e791bfc9,1,4.0,True,False,expected technical multiplicity; not a biological conflict
0a4bb8a3-0abf-46eb-a33c-c14a23d44387,368,4,3639058a-5dc3-49ad-82ff-cec405483912 | 56b848af-d12b-4f9c-b605-947e296caa46 | 8950207b-4940-4ef9-ad01-0ad0dace6f27 | b993ef60-52c8-41e2-83a2-bb44f1fb916f,1,1.0,True,False,expected technical multiplicity; not a biological conflict
0b078cad-b547-43a9-a401-35cab69549b4,608,4,2dbf699a-f6cd-446d-8dc4-0595319cfa99 | 39564abe-76f3-4a33-9f10-f574069834bc | 78c34b8c-196b-4a31-b700-08882bfaf4ab | cdf51e52-a49a-474f-a6ba-da5a14137d09,1,2.0,True,False,expected technical multiplicity; not a biological conflict
0e4725c3-8e87-420e-bbf1-15781f6bbf5c,1207,4,0c7c125d-46d6-40ba-8088-31fb2b526a78 | 272dbb99-7929-46e2-8446-a19c21af05da | 6ab35eea-1bae-4ee8-8e5f-5f1505715ac3 | fc140c51-9b4f-427f-8e11-640bc7400007,1,2.0,True,False,expected technical multiplicity; not a biological conflict
0e59aacb-7550-45ed-8510-b29b63163539,465,4,16552c24-ef48-4e1f-aff5-319a1f739299 | 43b9b939-e389-4784-b4e0-ee9d12aa7ca1 | 91761416-a756-48e5-8768-fd169c7c564c | d9942805-5a63-4958-b714-7088c0428c65,1,4.0,True,False,expected technical multiplicity; not a biological conflict
