resolution,cluster,n_cells,n_samples,n_donors,n_libraries,n_processing_cohorts,max_library_fraction,max_sample_fraction
0.2,0,15177,271,259,88,4,0.016735850299795744,0.007247809184950912
0.2,1,1592,256,246,88,4,0.029522613065326633,0.025753768844221106
0.2,2,227,102,97,72,4,0.04405286343612335,0.048458149779735685
0.4,0,10332,269,258,88,4,0.018002322880371662,0.009194734804490902
0.4,1,5355,271,259,88,4,0.02464985994397759,0.017553688141923436
0.4,2,765,211,202,88,4,0.032679738562091505,0.0392156862745098
0.4,3,317,164,163,81,4,0.03785488958990536,0.01892744479495268
0.4,4,227,102,97,72,4,0.04405286343612335,0.048458149779735685
0.6,0,6045,259,248,88,4,0.023986765922249794,0.012241521918941274
0.6,1,4278,256,249,88,4,0.026881720430107527,0.013090229079008883
0.6,2,3933,270,258,88,4,0.022374777523518942,0.01932367149758454
0.6,3,1412,260,249,88,4,0.03186968838526912,0.014872521246458924
0.6,4,764,211,201,88,4,0.032722513089005235,0.03926701570680628
0.6,5,337,170,169,82,4,0.03560830860534125,0.020771513353115726
0.6,6,227,102,97,72,4,0.04405286343612335,0.048458149779735685
0.8,0,5394,261,250,87,4,0.024657026325546904,0.011308861698183166
0.8,1,4264,271,259,88,4,0.03048780487804878,0.0150093808630394
0.8,2,3694,244,238,87,4,0.03194369247428262,0.013806172171088251
0.8,3,1238,221,214,88,4,0.029079159935379646,0.03715670436187399
0.8,4,888,233,226,86,4,0.03265765765765766,0.015765765765765764
0.8,5,779,212,203,88,4,0.03209242618741977,0.038510911424903725
0.8,6,362,175,174,82,4,0.03591160220994475,0.022099447513812154
0.8,7,227,102,97,72,4,0.04405286343612335,0.048458149779735685
0.8,8,150,68,64,66,4,0.04666666666666667,0.07333333333333333
1.0,0,3314,244,237,87,4,0.02776101388050694,0.013277006638503319
1.0,1,2759,243,235,86,4,0.04095686843059079,0.015585357013410656
1.0,10,227,102,97,72,4,0.04405286343612335,0.048458149779735685
1.0,2,2660,256,249,88,4,0.02180451127819549,0.02180451127819549
1.0,3,2358,232,222,87,4,0.035199321458863446,0.020356234096692113
1.0,4,1647,261,250,88,4,0.024286581663630843,0.012750455373406194
1.0,5,1212,224,217,88,4,0.028877887788778877,0.03547854785478548
1.0,6,840,231,224,85,4,0.03571428571428571,0.015476190476190477
1.0,7,830,198,191,87,4,0.05301204819277108,0.02530120481927711
1.0,8,779,212,202,88,4,0.03209242618741977,0.038510911424903725
1.0,9,370,178,177,82,4,0.032432432432432434,0.021621621621621623
1.2,0,2575,238,229,83,4,0.04349514563106796,0.015922330097087378
1.2,1,2549,228,224,87,4,0.030992546096508436,0.014515496273048253
1.2,10,520,150,148,74,4,0.04423076923076923,0.04423076923076923
1.2,11,454,168,165,78,4,0.04185022026431718,0.039647577092511016
1.2,12,394,180,179,82,4,0.03553299492385787,0.017766497461928935
1.2,13,227,102,97,72,4,0.04405286343612335,0.048458149779735685
1.2,2,2212,241,238,87,4,0.025768535262206148,0.024864376130198915
1.2,3,1460,256,246,88,4,0.03493150684931507,0.013013698630136987
1.2,4,1431,192,182,88,4,0.03214535290006988,0.02445842068483578
1.2,5,1370,222,220,88,4,0.032116788321167884,0.02846715328467153
1.2,6,1138,222,215,88,4,0.029876977152899824,0.03690685413005272
1.2,7,997,207,200,87,4,0.055165496489468405,0.023069207622868605
1.2,8,887,231,224,85,4,0.033821871476888386,0.015783540022547914
1.2,9,782,212,202,88,4,0.0319693094629156,0.03836317135549872
