resolution,cluster,n_cells,n_samples,n_donors,n_libraries,n_processing_cohorts,max_library_fraction,max_sample_fraction
0.2,0,149100,271,259,88,4,0.01710261569416499,0.017625754527162977
0.2,1,1302,225,218,88,4,0.030721966205837174,0.03225806451612903
0.4,0,95768,269,259,88,4,0.019244424024726422,0.020925570127808872
0.4,1,50217,271,259,88,4,0.020650377362247844,0.042157038453113485
0.4,2,1866,239,233,88,4,0.02304394426580922,0.023579849946409433
0.4,3,1300,225,218,88,4,0.03076923076923077,0.031538461538461536
0.4,4,1251,227,221,88,4,0.027977617905675458,0.02877697841726619
0.6,0,53860,266,257,88,4,0.018455254363163757,0.018529520980319347
0.6,1,48676,271,259,88,4,0.020749445311858,0.0419714027446791
0.6,2,41032,269,258,88,4,0.020057516085006825,0.029074868395398714
0.6,3,4161,260,252,88,4,0.023792357606344627,0.021869742850276375
0.6,4,1366,231,225,88,4,0.02562225475841874,0.030014641288433383
0.6,5,1307,226,219,88,4,0.030604437643458302,0.032134659525631215
0.8,0,51962,266,257,88,4,0.018186366960471115,0.018552018782956776
0.8,1,40055,268,257,88,4,0.02049681687679441,0.029484458869055048
0.8,2,28606,269,258,88,4,0.02244284415856813,0.05292595958889743
0.8,3,22160,271,259,88,4,0.0194043321299639,0.06159747292418773
0.8,4,4759,259,251,88,4,0.023744484135322548,0.02458499684807733
0.8,5,1541,237,231,88,4,0.025308241401687217,0.027903958468526932
0.8,6,1319,227,220,88,4,0.030326004548900682,0.0310841546626232
1.0,0,45710,265,256,88,4,0.018748632684314155,0.019251804856705315
1.0,1,36188,267,257,88,4,0.020918536531446888,0.03061788438156295
1.0,2,24864,271,259,88,4,0.019747425997426,0.061052123552123555
1.0,3,24521,270,259,88,4,0.023938664817911178,0.05346437747237062
1.0,4,11513,260,252,88,4,0.021714583514288194,0.027620950230174586
1.0,5,6229,264,256,88,4,0.021993899502327822,0.023117675389308076
1.0,6,1351,229,222,88,4,0.029607698001480384,0.031088082901554404
1.0,7,22,21,21,19,4,0.09090909090909091,0.09090909090909091
1.0,8,4,4,4,4,4,0.25,0.25
1.2,0,30538,261,255,88,4,0.019811382539786496,0.022922260789835613
1.2,1,26256,271,259,88,4,0.019728823887873247,0.06059567336989641
1.2,2,26246,266,257,88,4,0.024613274403718664,0.01752648022555818
1.2,3,23044,263,254,88,4,0.022782503037667073,0.038101024127755595
1.2,4,21583,269,258,88,4,0.024880693138117964,0.055506648751332065
1.2,5,14108,265,257,88,4,0.023249220300538703,0.044868159909271337
1.2,6,6758,263,255,88,4,0.021899970405445397,0.023527670908552827
1.2,7,1360,229,222,88,4,0.029411764705882353,0.030882352941176472
1.2,8,502,180,178,88,4,0.027888446215139442,0.027888446215139442
1.2,9,4,4,4,4,3,0.25,0.25
1.2,10,3,3,3,3,2,0.3333333333333333,0.3333333333333333
