resolution,cluster,n_cells,residual_auto_calls,residual_auto_call_fraction,median_residual_doublet_score,max_library_fraction
0.2,0,149100,1970,0.013212608987256874,0.1493212669683257,0.01710261569416499
0.2,1,1302,2,0.0015360983102918587,0.1096075778078484,0.030721966205837174
0.4,0,95768,1494,0.015600200484504218,0.1582089552238806,0.019244424024726422
0.4,1,50217,433,0.008622578011430392,0.1354515050167224,0.020650377362247844
0.4,2,1866,21,0.011254019292604502,0.1482701812191103,0.02304394426580922
0.4,3,1300,3,0.002307692307692308,0.1096075778078484,0.03076923076923077
0.4,4,1251,21,0.016786570743405275,0.1582089552238806,0.027977617905675458
0.6,0,53860,694,0.012885258076494616,0.1582089552238806,0.018455254363163757
0.6,1,48676,423,0.008690114224669242,0.1354515050167224,0.020749445311858
0.6,2,41032,780,0.01900955351920452,0.1582089552238806,0.020057516085006825
0.6,3,4161,49,0.011776015380918048,0.1545380212591986,0.023792357606344627
0.6,4,1366,23,0.01683748169838946,0.1607142857142856,0.02562225475841874
0.6,5,1307,3,0.0022953328232593728,0.1096075778078484,0.030604437643458302
0.8,0,51962,661,0.012720834455948578,0.1582089552238806,0.018186366960471115
0.8,1,40055,768,0.019173636250156036,0.1582089552238806,0.02049681687679441
0.8,2,28606,294,0.010277564147381669,0.1423357664233576,0.02244284415856813
0.8,3,22160,154,0.0069494584837545125,0.1288963774220724,0.0194043321299639
0.8,4,4759,65,0.013658331582265182,0.1582089552238806,0.023744484135322548
0.8,5,1541,27,0.01752109020116807,0.165680473372781,0.025308241401687217
0.8,6,1319,3,0.002274450341167551,0.1096075778078484,0.030326004548900682
1.0,0,45710,545,0.01192299278057318,0.1582089552238806,0.018748632684314155
1.0,1,36188,694,0.019177627942964518,0.1582089552238806,0.020918536531446888
1.0,2,24864,176,0.007078507078507079,0.1288963774220724,0.019747425997426
1.0,3,24521,270,0.011010970188817748,0.1423357664233576,0.023938664817911178
1.0,4,11513,190,0.01650308347085903,0.1582089552238806,0.021714583514288194
1.0,5,6229,94,0.01509070476802055,0.1582089552238806,0.021993899502327822
1.0,6,1351,3,0.0022205773501110288,0.1073776479181884,0.029607698001480384
1.0,7,22,0,0.0,0.1391543239369326,0.09090909090909091
1.0,8,4,0,0.0,0.17934749097767533,0.25
1.2,0,30538,351,0.01149387648176043,0.1545380212591986,0.019811382539786496
1.2,1,26256,186,0.007084095063985375,0.1288963774220724,0.019728823887873247
1.2,2,26246,491,0.018707612588584926,0.1639135959339263,0.024613274403718664
1.2,3,23044,349,0.015144940114563445,0.1545380212591986,0.022782503037667073
1.2,4,21583,236,0.010934531807441042,0.1423357664233576,0.024880693138117964
1.2,5,14108,248,0.017578678763821944,0.1629563668744433,0.023249220300538703
1.2,6,6758,100,0.01479727730097662,0.1582089552238806,0.021899970405445397
1.2,7,1360,3,0.0022058823529411764,0.1079991687866804,0.029411764705882353
1.2,8,502,8,0.01593625498007968,0.1772428884026257,0.027888446215139442
1.2,9,4,0,0.0,0.1379365126944635,0.25
1.2,10,3,0,0.0,0.1423357664233576,0.3333333333333333
