resolution,comparison,n_common_cells,primary_clusters,comparison_clusters,adjusted_rand_index,normalized_mutual_information
0.2,primary_all_cells_vs_singlet_sensitivity,148430,2,3,0.08241536326619146,0.17939514317952418
0.2,primary_all_cells_vs_isg_excluded,150402,2,3,0.19535555326351473,0.27980592057147824
0.4,primary_all_cells_vs_singlet_sensitivity,148430,5,5,0.7925222585974417,0.7058351452689063
0.4,primary_all_cells_vs_isg_excluded,150402,5,5,0.7722130177957055,0.6597788960819199
0.6,primary_all_cells_vs_singlet_sensitivity,148430,6,6,0.5608145727692776,0.5916409655997605
0.6,primary_all_cells_vs_isg_excluded,150402,6,7,0.4283130866214018,0.5080860801625824
0.8,primary_all_cells_vs_singlet_sensitivity,148430,7,7,0.7018838438013233,0.6746777948671642
0.8,primary_all_cells_vs_isg_excluded,150402,7,7,0.43212251677712055,0.45874799820077783
1.0,primary_all_cells_vs_singlet_sensitivity,148430,9,11,0.7064188753418451,0.6641306180798637
1.0,primary_all_cells_vs_isg_excluded,150402,9,10,0.38122636835175033,0.4416251323599747
1.2,primary_all_cells_vs_singlet_sensitivity,148430,11,20,0.6389342174547505,0.6334593890088572
1.2,primary_all_cells_vs_isg_excluded,150402,11,10,0.3883368137726294,0.45163710361908443
0.2_to_0.4,primary_adjacent_resolution,150402,2,5,0.03660064334971311,0.11697161404435671
0.4_to_0.6,primary_adjacent_resolution,150402,5,6,0.5611004607613401,0.6806926100807266
0.6_to_0.8,primary_adjacent_resolution,150402,6,7,0.7510627891649289,0.7590695145145795
0.8_to_1,primary_adjacent_resolution,150402,7,9,0.7788361509629428,0.7575323179264613
1_to_1.2,primary_adjacent_resolution,150402,9,11,0.5082630554225294,0.5980725546801143
