module,gene,present,var_name
B_identity,CD79A,True,ENSG00000105369
B_identity,CD79B,True,ENSG00000007312
B_identity,MS4A1,True,ENSG00000156738
B_identity,CD19,True,ENSG00000177455
B_identity,CD22,True,ENSG00000012124
B_identity,CD37,True,ENSG00000104894
B_identity,CD74,True,ENSG00000019582
naive,TCL1A,True,ENSG00000100721
naive,IGHD,False,
naive,IL4R,True,ENSG00000077238
naive,FCER2,True,ENSG00000104921
naive,CCR7,True,ENSG00000126353
memory,CD27,True,ENSG00000139193
memory,AIM2,True,ENSG00000163568
memory,GPR183,True,ENSG00000169508
memory,TNFRSF13B,True,ENSG00000240505
memory,BANK1,True,ENSG00000153064
atypical,FCRL3,True,ENSG00000160856
atypical,FCRL5,True,ENSG00000143297
atypical,ITGAX,True,ENSG00000140678
atypical,TBX21,True,ENSG00000073861
atypical,ZEB2,True,ENSG00000169554
plasmablast,MZB1,True,ENSG00000170476
plasmablast,JCHAIN,True,ENSG00000132465
plasmablast,XBP1,True,ENSG00000100219
plasmablast,SDC1,True,ENSG00000115884
plasmablast,TNFRSF17,True,ENSG00000048462
plasmablast,DERL3,True,ENSG00000099958
interferon,IFI6,True,ENSG00000126709
interferon,IFIT1,True,ENSG00000185745
interferon,IFIT3,True,ENSG00000119917
interferon,ISG15,True,ENSG00000187608
interferon,MX1,True,ENSG00000157601
interferon,OAS1,True,ENSG00000089127
T_NK,CD3D,True,ENSG00000167286
T_NK,CD3E,True,ENSG00000198851
T_NK,TRAC,False,
T_NK,NKG7,True,ENSG00000105374
T_NK,GNLY,True,ENSG00000115523
myeloid,LYZ,True,ENSG00000090382
myeloid,LST1,True,ENSG00000204482
myeloid,TYROBP,True,ENSG00000011600
myeloid,FCER1G,True,ENSG00000158869
myeloid,S100A8,True,ENSG00000143546
platelet,PPBP,True,ENSG00000163736
platelet,PF4,True,ENSG00000163737
platelet,GNG11,True,ENSG00000127920
platelet,RGS18,True,ENSG00000150681
erythroid,HBA1,True,ENSG00000206172
erythroid,HBA2,True,ENSG00000188536
erythroid,HBB,True,ENSG00000244734
