cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
0,B_identity,95768,7,1.9279217720031738,0.9998329295798178
0,naive,95768,4,0.7550879120826721,0.8203992983042352
0,memory,95768,5,0.2398798018693924,0.5089069417759585
0,atypical,95768,5,0.1077798530459404,0.2515245175841617
0,plasmablast,95768,6,0.1671435832977295,0.4077562442569543
0,interferon,95768,6,0.1849745213985443,0.3867680227215771
0,T_NK,95768,4,0.210091233253479,0.3623966251775123
0,myeloid,95768,5,0.5238345861434937,0.7575181689081948
0,platelet,95768,4,0.1104636937379837,0.1977487260880461
0,erythroid,95768,3,0.11775925010442734,0.14336730431877037
1,B_identity,50217,7,1.8255940675735474,0.9995818149232332
1,naive,50217,4,0.13760913908481598,0.2713224605213374
1,memory,50217,5,0.583469569683075,0.8324073520919211
1,atypical,50217,5,0.14425259828567505,0.31590895513471534
1,plasmablast,50217,6,0.23012109100818634,0.5346794910090209
1,interferon,50217,6,0.17924079298973083,0.41886213831969255
1,T_NK,50217,4,0.23221445083618164,0.432662245852998
1,myeloid,50217,5,0.5177785754203796,0.7980166079216202
1,platelet,50217,4,0.12085140496492386,0.23320787781030328
1,erythroid,50217,3,0.12158852815628052,0.15924885994782642
2,B_identity,1866,7,1.9254902601242065,1.0
2,naive,1866,4,0.6972519159317017,0.7797427652733119
2,memory,1866,5,0.25383955240249634,0.5284030010718114
2,atypical,1866,5,0.09707938879728317,0.22936763129689175
2,plasmablast,1866,6,0.15960200130939484,0.394962486602358
2,interferon,1866,6,0.1559353619813919,0.36066452304394425
2,T_NK,1866,4,0.19459472596645355,0.334941050375134
2,myeloid,1866,5,0.5173396468162537,0.7497320471596999
2,platelet,1866,4,0.735686719417572,0.8858520900321544
2,erythroid,1866,3,0.1057014986872673,0.12968917470525188
3,B_identity,1300,7,1.1085304021835327,0.9976923076923077
3,naive,1300,4,0.10672745108604431,0.2853846153846154
3,memory,1300,5,0.5849349498748779,0.9276923076923077
3,atypical,1300,5,0.0950457826256752,0.37846153846153846
3,plasmablast,1300,6,2.283620834350586,0.9923076923076923
3,interferon,1300,6,0.5618368983268738,0.8423076923076923
3,T_NK,1300,4,0.4130328297615051,0.7446153846153846
3,myeloid,1300,5,0.8011721968650818,0.9569230769230769
3,platelet,1300,4,0.13021576404571533,0.34307692307692306
3,erythroid,1300,3,0.290985643863678,0.4346153846153846
4,B_identity,1251,7,1.8557093143463135,1.0
4,naive,1251,4,0.6157822012901306,0.7114308553157475
4,memory,1251,5,0.2960827946662903,0.5579536370903277
4,atypical,1251,5,0.09149403125047684,0.21742605915267785
4,plasmablast,1251,6,0.1848403662443161,0.4324540367705835
4,interferon,1251,6,0.13798925280570984,0.3437250199840128
4,T_NK,1251,4,0.22192324697971344,0.37889688249400477
4,myeloid,1251,5,0.5741081237792969,0.7897681854516387
4,platelet,1251,4,0.11927958577871323,0.21502797761790568
4,erythroid,1251,3,0.1234479695558548,0.1518784972022382
