resolution,cluster,gene,n_cells,mean_log_normalized_expression,fraction_detected
0.2,0,CD79A,149100,2.2423605918884277,0.8480080482897384
0.2,0,CD79B,149100,1.6345940828323364,0.6972904091213951
0.2,0,MS4A1,149100,1.7644189596176147,0.7387323943661972
0.2,0,CD19,149100,0.2884851396083832,0.16150905432595575
0.2,0,CD22,149100,0.5325320959091187,0.2821395036887995
0.2,0,CD37,149100,2.490654230117798,0.8956002682763247
0.2,0,CD74,149100,4.296839237213135,0.9985580147551979
0.2,0,TCL1A,149100,0.9736472964286804,0.41317236753856473
0.2,0,IL4R,149100,0.4223940968513489,0.20941649899396378
0.2,0,FCER2,149100,0.5157161951065063,0.2624413145539906
0.2,0,CCR7,149100,0.2692907452583313,0.14413816230717638
0.2,0,CD27,149100,0.11804861575365067,0.07172367538564722
0.2,0,AIM2,149100,0.08832011371850967,0.054708249496981894
0.2,0,GPR183,149100,0.45993953943252563,0.2384507042253521
0.2,0,TNFRSF13B,149100,0.13964715600013733,0.08458752515090544
0.2,0,BANK1,149100,0.9751429557800293,0.48316566063044936
0.2,0,FCRL3,149100,0.12870176136493683,0.07178403755868544
0.2,0,FCRL5,149100,0.21857218444347382,0.11676056338028169
0.2,0,ITGAX,149100,0.02259689010679722,0.014245472837022133
0.2,0,TBX21,149100,0.014416665770113468,0.009000670690811535
0.2,0,ZEB2,149100,0.21468929946422577,0.12075788061703555
0.2,0,MZB1,149100,0.24549227952957153,0.1367270288397049
0.2,0,JCHAIN,149100,0.6700587868690491,0.30327967806841044
0.2,0,XBP1,149100,0.12160606682300568,0.07061032863849766
0.2,0,SDC1,149100,7.386231300188228e-05,4.024144869215292e-05
0.2,0,TNFRSF17,149100,0.028820963576436043,0.01698859825620389
0.2,0,DERL3,149100,0.0642867460846901,0.03704896042924212
0.2,0,IFI6,149100,0.2827163636684418,0.1494433266264252
0.2,0,IFIT1,149100,0.019735906273126602,0.0113682092555332
0.2,0,IFIT3,149100,0.052475348114967346,0.02914822266934943
0.2,0,ISG15,149100,0.41881367564201355,0.21319919517102615
0.2,0,MX1,149100,0.20675136148929596,0.11354795439302481
0.2,0,OAS1,149100,0.11322148889303207,0.06492287055667337
0.2,0,CD3D,149100,0.13907848298549652,0.08033534540576794
0.2,0,CD3E,149100,0.08353465795516968,0.05046948356807512
0.2,0,NKG7,149100,0.3065676689147949,0.1708987256874581
0.2,0,GNLY,149100,0.34058529138565063,0.18920858484238767
0.2,0,LYZ,149100,0.6834008693695068,0.35510395707578807
0.2,0,LST1,149100,0.3599281907081604,0.19681421864520457
0.2,0,TYROBP,149100,0.3743937015533447,0.20649228705566733
0.2,0,FCER1G,149100,0.24470274150371552,0.13681421864520457
0.2,0,S100A8,149100,0.9482333660125732,0.46653923541247483
0.2,0,PPBP,149100,0.19208140671253204,0.10119382964453387
0.2,0,PF4,149100,0.13886533677577972,0.07386317907444669
0.2,0,GNG11,149100,0.09765887260437012,0.05439302481556003
0.2,0,RGS18,149100,0.0588628314435482,0.03126760563380282
0.2,0,HBA1,149100,0.04695172235369682,0.02516431924882629
0.2,0,HBA2,149100,0.11129193007946014,0.058169014084507045
0.2,0,HBB,149100,0.19858522713184357,0.09692823608316566
0.2,1,CD79A,1302,2.0804407596588135,0.8894009216589862
0.2,1,CD79B,1302,0.9346799254417419,0.6566820276497696
0.2,1,MS4A1,1302,0.36096635460853577,0.22734254992319508
0.2,1,CD19,1302,0.22193631529808044,0.22427035330261136
0.2,1,CD22,1302,0.07627975940704346,0.06221198156682028
0.2,1,CD37,1302,1.012892723083496,0.6728110599078341
0.2,1,CD74,1302,3.065837860107422,0.988479262672811
0.2,1,TCL1A,1302,0.1258809119462967,0.08294930875576037
0.2,1,IL4R,1302,0.05808093398809433,0.055299539170506916
0.2,1,FCER2,1302,0.1413739174604416,0.12365591397849462
0.2,1,CCR7,1302,0.08990424126386642,0.08678955453149001
0.2,1,CD27,1302,1.5234051942825317,0.7519201228878648
0.2,1,AIM2,1302,0.19466546177864075,0.1935483870967742
0.2,1,GPR183,1302,0.24963906407356262,0.2304147465437788
0.2,1,TNFRSF13B,1302,0.735049843788147,0.5668202764976958
0.2,1,BANK1,1302,0.2351260781288147,0.19431643625192013
0.2,1,FCRL3,1302,0.020626092329621315,0.019969278033794162
0.2,1,FCRL5,1302,0.29737889766693115,0.2780337941628264
0.2,1,ITGAX,1302,0.021794429048895836,0.023809523809523808
0.2,1,TBX21,1302,0.03406776115298271,0.03917050691244239
0.2,1,ZEB2,1302,0.10030361264944077,0.09984639016897082
0.2,1,MZB1,1302,3.269958019256592,0.9362519201228878
0.2,1,JCHAIN,1302,4.934457778930664,0.9308755760368663
0.2,1,XBP1,1302,1.9321993589401245,0.8625192012288786
0.2,1,SDC1,1302,0.09128273278474808,0.08755760368663594
0.2,1,TNFRSF17,1302,1.9602073431015015,0.8517665130568356
0.2,1,DERL3,1302,1.5070030689239502,0.7757296466973886
0.2,1,IFI6,1302,0.9721614122390747,0.576036866359447
0.2,1,IFIT1,1302,0.04617902263998985,0.047619047619047616
0.2,1,IFIT3,1302,0.028042472898960114,0.029953917050691243
0.2,1,ISG15,1302,1.3212039470672607,0.6920122887864824
0.2,1,MX1,1302,0.46475523710250854,0.3579109062980031
0.2,1,OAS1,1302,0.5352571606636047,0.45314900153609833
0.2,1,CD3D,1302,0.3000534176826477,0.2803379416282642
0.2,1,CD3E,1302,0.19544582068920135,0.195852534562212
0.2,1,NKG7,1302,0.5808261036872864,0.46543778801843316
0.2,1,GNLY,1302,0.577385425567627,0.45852534562211983
0.2,1,LYZ,1302,0.966656506061554,0.6781874039938556
0.2,1,LST1,1302,0.49019721150398254,0.42857142857142855
0.2,1,TYROBP,1302,0.6676743626594543,0.5284178187403994
0.2,1,FCER1G,1302,0.4454736113548279,0.39093701996927804
0.2,1,S100A8,1302,1.435835838317871,0.8179723502304147
0.2,1,PPBP,1302,0.19672195613384247,0.17895545314900155
0.2,1,PF4,1302,0.14728029072284698,0.13748079877112135
0.2,1,GNG11,1302,0.10714632272720337,0.10445468509984639
0.2,1,RGS18,1302,0.06678074598312378,0.06144393241167435
0.2,1,HBA1,1302,0.13794337213039398,0.12672811059907835
0.2,1,HBA2,1302,0.30651596188545227,0.2465437788018433
0.2,1,HBB,1302,0.42866620421409607,0.30030721966205837
0.4,0,CD79A,95768,2.2797980308532715,0.8441024141675716
0.4,0,CD79B,95768,1.7209430932998657,0.7063528527274247
0.4,0,MS4A1,95768,1.6789323091506958,0.7013825077270069
0.4,0,CD19,95768,0.28595131635665894,0.15310959819563946
0.4,0,CD22,95768,0.5908503532409668,0.3000167070420182
0.4,0,CD37,95768,2.5929038524627686,0.9007184028067831
0.4,0,CD74,95768,4.346072673797607,0.9988722746637708
0.4,0,TCL1A,95768,1.4187414646148682,0.5974020549661683
0.4,0,IL4R,95768,0.5948090553283691,0.28951215437306826
0.4,0,FCER2,95768,0.6827132105827332,0.3382549494611979
0.4,0,CCR7,95768,0.32408788800239563,0.16711218778715228
0.4,0,CD27,95768,0.02795952558517456,0.01598655083117534
0.4,0,AIM2,95768,0.011575352400541306,0.00668281680728427
0.4,0,GPR183,95768,0.2526216208934784,0.1300747640130315
0.4,0,TNFRSF13B,95768,0.02752593718469143,0.01611185364631192
0.4,0,BANK1,95768,0.8797166347503662,0.42714685489934007
0.4,0,FCRL3,95768,0.11956305056810379,0.06320482833514326
0.4,0,FCRL5,95768,0.20071087777614594,0.10432503550246429
0.4,0,ITGAX,95768,0.013083106838166714,0.007403307994319605
0.4,0,TBX21,95768,0.009451888501644135,0.005377579149611561
0.4,0,ZEB2,95768,0.19609034061431885,0.10525436471472725
0.4,0,MZB1,95768,0.26031583547592163,0.13770779383510148
0.4,0,JCHAIN,95768,0.542655885219574,0.25371731684905185
0.4,0,XBP1,95768,0.11115620285272598,0.06068833013115028
0.4,0,SDC1,95768,6.693637260468677e-05,3.132570378414502e-05
0.4,0,TNFRSF17,95768,0.025431428104639053,0.013783309665023807
0.4,0,DERL3,95768,0.06323518604040146,0.034604460780218865
0.4,0,IFI6,95768,0.3032531440258026,0.15316180770194637
0.4,0,IFIT1,95768,0.02055182307958603,0.01123548575724668
0.4,0,IFIT3,95768,0.05347246676683426,0.028349761924651242
0.4,0,ISG15,95768,0.41482841968536377,0.2019150446913374
0.4,0,MX1,95768,0.2078246772289276,0.10865842452593769
0.4,0,OAS1,95768,0.10991670191287994,0.059163812546988555
0.4,0,CD3D,95768,0.13405999541282654,0.07281137749561441
0.4,0,CD3E,95768,0.07991620898246765,0.04500459443655501
0.4,0,NKG7,95768,0.297629714012146,0.15750563862668115
0.4,0,GNLY,95768,0.32875901460647583,0.1733668866427199
0.4,0,LYZ,95768,0.6841479539871216,0.33988388605797343
0.4,0,LST1,95768,0.37554460763931274,0.19529487929162143
0.4,0,TYROBP,95768,0.3717125952243805,0.19435510817809706
0.4,0,FCER1G,95768,0.2455403357744217,0.13034625344582743
0.4,0,S100A8,95768,0.942227303981781,0.4458900676635202
0.4,0,PPBP,95768,0.18248452246189117,0.09260922228719405
0.4,0,PF4,95768,0.13014350831508636,0.0665462367387854
0.4,0,GNG11,95768,0.07845547795295715,0.04155876702029906
0.4,0,RGS18,95768,0.05077126622200012,0.026198730264806618
0.4,0,HBA1,95768,0.046642426401376724,0.023797092974688832
0.4,0,HBA2,95768,0.1101035475730896,0.05499749394369727
0.4,0,HBB,95768,0.1965317577123642,0.09244215186701195
0.4,1,CD79A,50217,2.1722238063812256,0.8560845928669574
0.4,1,CD79B,50217,1.4670236110687256,0.6798494533723639
0.4,1,MS4A1,50217,1.9314888715744019,0.8116574068542526
0.4,1,CD19,50217,0.2944246530532837,0.1785451142043531
0.4,1,CD22,50217,0.42000171542167664,0.24788418264731066
0.4,1,CD37,50217,2.2899703979492188,0.8849592767389529
0.4,1,CD74,50217,4.2040252685546875,0.99792898819125
0.4,1,TCL1A,50217,0.11046463251113892,0.05529999800864249
0.4,1,IL4R,50217,0.08807443827390671,0.05414501065376267
0.4,1,FCER2,50217,0.19089388847351074,0.11500089611087878
0.4,1,CCR7,50217,0.16100357472896576,0.0986120238166358
0.4,1,CD27,50217,0.29360130429267883,0.1804169902622618
0.4,1,AIM2,50217,0.23844781517982483,0.14867475157815083
0.4,1,GPR183,50217,0.8651627898216248,0.4502061055021208
0.4,1,TNFRSF13B,50217,0.35808730125427246,0.2180735607463608
0.4,1,BANK1,50217,1.1620484590530396,0.5929067845550312
0.4,1,FCRL3,50217,0.147795170545578,0.08919290280184002
0.4,1,FCRL5,50217,0.2563052773475647,0.14242188900173247
0.4,1,ITGAX,50217,0.04125145822763443,0.027640042216779178
0.4,1,TBX21,50217,0.024258971214294434,0.016169822968317503
0.4,1,ZEB2,50217,0.2516520619392395,0.1514626520899297
0.4,1,MZB1,50217,0.21787989139556885,0.13551187844753768
0.4,1,JCHAIN,50217,0.9184610843658447,0.39996415556484854
0.4,1,XBP1,50217,0.14216578006744385,0.09018858155604675
0.4,1,SDC1,50217,9.16524077183567e-05,5.974072525240457e-05
0.4,1,TNFRSF17,50217,0.03573888912796974,0.023398450723858454
0.4,1,DERL3,50217,0.06638939678668976,0.041858334826851466
0.4,1,IFI6,50217,0.24586401879787445,0.14369635780711712
0.4,1,IFIT1,50217,0.018817273899912834,0.011987972200649183
0.4,1,IFIT3,50217,0.05237875133752823,0.03170241153394269
0.4,1,ISG15,50217,0.4302119314670563,0.2367524941752793
0.4,1,MX1,50217,0.20739023387432098,0.12459923930143178
0.4,1,OAS1,50217,0.12078248709440231,0.07680665909950814
0.4,1,CD3D,50217,0.1488053798675537,0.09508732102674393
0.4,1,CD3E,50217,0.09075576812028885,0.061194416233546406
0.4,1,NKG7,50217,0.3249901533126831,0.19772188701037496
0.4,1,GNLY,50217,0.3643064796924591,0.22062249835713005
0.4,1,LYZ,50217,0.6811590790748596,0.3846107891749806
0.4,1,LST1,50217,0.33018916845321655,0.20021108389589182
0.4,1,TYROBP,50217,0.37792298197746277,0.22948403926957006
0.4,1,FCER1G,50217,0.24207863211631775,0.14913276380508592
0.4,1,S100A8,50217,0.9575431942939758,0.5060238564629508
0.4,1,PPBP,50217,0.18184427917003632,0.10482505924288588
0.4,1,PF4,50217,0.12835650146007538,0.07487504231634705
0.4,1,GNG11,50217,0.12047217786312103,0.07186809247864269
0.4,1,RGS18,50217,0.0527326725423336,0.030766473504988352
0.4,1,HBA1,50217,0.04720786586403847,0.027640042216779178
0.4,1,HBA2,50217,0.11385712027549744,0.0645598104227652
0.4,1,HBB,50217,0.20370060205459595,0.10621900949877532
0.4,2,CD79A,1866,2.296038866043091,0.8547695605573419
0.4,2,CD79B,1866,1.7166292667388916,0.7106109324758842
0.4,2,MS4A1,1866,1.6565760374069214,0.7020364415862809
0.4,2,CD19,1866,0.27939772605895996,0.15005359056806003
0.4,2,CD22,1866,0.5910242795944214,0.3027867095391211
0.4,2,CD37,1866,2.657761573791504,0.9281886387995713
0.4,2,CD74,1866,4.281003475189209,0.9989281886387996
0.4,2,TCL1A,1866,1.2695673704147339,0.5503751339764201
0.4,2,IL4R,1866,0.5564419031143188,0.2733118971061093
0.4,2,FCER2,1866,0.6471104025840759,0.3236870310825295
0.4,2,CCR7,1866,0.31588807702064514,0.16559485530546625
0.4,2,CD27,1866,0.04222364351153374,0.02465166130760986
0.4,2,AIM2,1866,0.017721615731716156,0.010718113612004287
0.4,2,GPR183,1866,0.2882375121116638,0.15005359056806003
0.4,2,TNFRSF13B,1866,0.04288073629140854,0.02465166130760986
0.4,2,BANK1,1866,0.8781341910362244,0.4292604501607717
0.4,2,FCRL3,1866,0.10530810058116913,0.05734190782422294
0.4,2,FCRL5,1866,0.15938670933246613,0.08520900321543408
0.4,2,ITGAX,1866,0.01469860877841711,0.00857449088960343
0.4,2,TBX21,1866,0.008192123845219612,0.00482315112540193
0.4,2,ZEB2,1866,0.19781140983104706,0.10557341907824223
0.4,2,MZB1,1866,0.23319478332996368,0.12433011789924973
0.4,2,JCHAIN,1866,0.5255398154258728,0.2497320471596999
0.4,2,XBP1,1866,0.1116814985871315,0.06002143622722401
0.4,2,SDC1,1866,0.0,0.0
0.4,2,TNFRSF17,1866,0.0214215237647295,0.011254019292604502
0.4,2,DERL3,1866,0.06577438861131668,0.03644158628081458
0.4,2,IFI6,1866,0.2664594352245331,0.13665594855305466
0.4,2,IFIT1,1866,0.011561685241758823,0.006966773847802787
