resolution,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
0.2,0,B_identity,149100,7,1.8928406238555908,0.9997518443997317
0.2,0,naive,149100,4,0.5452620983123779,0.6340778001341382
0.2,0,memory,149100,5,0.35621964931488037,0.6185043594902749
0.2,0,atypical,149100,5,0.11979535222053528,0.27264922870556674
0.2,0,plasmablast,149100,6,0.18838977813720703,0.4505499664654594
0.2,0,interferon,149100,6,0.18228568136692047,0.3968947015425889
0.2,0,T_NK,149100,4,0.21744151413440704,0.3858417169684775
0.2,0,myeloid,149100,5,0.5221318006515503,0.7713279678068411
0.2,0,platelet,149100,4,0.1218671128153801,0.21845070422535212
0.2,0,erythroid,149100,3,0.11894296109676361,0.1486116700201207
0.2,1,B_identity,1302,7,1.1075761318206787,0.9976958525345622
0.2,1,naive,1302,4,0.10380999743938446,0.282642089093702
0.2,1,memory,1302,5,0.5875771641731262,0.9285714285714286
0.2,1,atypical,1302,5,0.09483416378498077,0.3778801843317972
0.2,1,plasmablast,1302,6,2.282518148422241,0.9915514592933948
0.2,1,interferon,1302,6,0.5612665414810181,0.8410138248847926
0.2,1,T_NK,1302,4,0.4134276807308197,0.7457757296466974
0.2,1,myeloid,1302,5,0.8011675477027893,0.956989247311828
0.2,1,platelet,1302,4,0.12948232889175415,0.3425499231950845
0.2,1,erythroid,1302,3,0.29104185104370117,0.434715821812596
0.4,0,B_identity,95768,7,1.9279217720031738,0.9998329295798178
0.4,0,naive,95768,4,0.7550879120826721,0.8203992983042352
0.4,0,memory,95768,5,0.2398798018693924,0.5089069417759585
0.4,0,atypical,95768,5,0.1077798530459404,0.2515245175841617
0.4,0,plasmablast,95768,6,0.1671435832977295,0.4077562442569543
0.4,0,interferon,95768,6,0.1849745213985443,0.3867680227215771
0.4,0,T_NK,95768,4,0.210091233253479,0.3623966251775123
0.4,0,myeloid,95768,5,0.5238345861434937,0.7575181689081948
0.4,0,platelet,95768,4,0.1104636937379837,0.1977487260880461
0.4,0,erythroid,95768,3,0.11775925010442734,0.14336730431877037
0.4,1,B_identity,50217,7,1.8255940675735474,0.9995818149232332
0.4,1,naive,50217,4,0.13760913908481598,0.2713224605213374
0.4,1,memory,50217,5,0.583469569683075,0.8324073520919211
0.4,1,atypical,50217,5,0.14425259828567505,0.31590895513471534
0.4,1,plasmablast,50217,6,0.23012109100818634,0.5346794910090209
0.4,1,interferon,50217,6,0.17924079298973083,0.41886213831969255
0.4,1,T_NK,50217,4,0.23221445083618164,0.432662245852998
0.4,1,myeloid,50217,5,0.5177785754203796,0.7980166079216202
0.4,1,platelet,50217,4,0.12085140496492386,0.23320787781030328
0.4,1,erythroid,50217,3,0.12158852815628052,0.15924885994782642
0.4,2,B_identity,1866,7,1.9254902601242065,1.0
0.4,2,naive,1866,4,0.6972519159317017,0.7797427652733119
0.4,2,memory,1866,5,0.25383955240249634,0.5284030010718114
0.4,2,atypical,1866,5,0.09707938879728317,0.22936763129689175
0.4,2,plasmablast,1866,6,0.15960200130939484,0.394962486602358
0.4,2,interferon,1866,6,0.1559353619813919,0.36066452304394425
0.4,2,T_NK,1866,4,0.19459472596645355,0.334941050375134
0.4,2,myeloid,1866,5,0.5173396468162537,0.7497320471596999
0.4,2,platelet,1866,4,0.735686719417572,0.8858520900321544
0.4,2,erythroid,1866,3,0.1057014986872673,0.12968917470525188
0.4,3,B_identity,1300,7,1.1085304021835327,0.9976923076923077
0.4,3,naive,1300,4,0.10672745108604431,0.2853846153846154
0.4,3,memory,1300,5,0.5849349498748779,0.9276923076923077
0.4,3,atypical,1300,5,0.0950457826256752,0.37846153846153846
0.4,3,plasmablast,1300,6,2.283620834350586,0.9923076923076923
0.4,3,interferon,1300,6,0.5618368983268738,0.8423076923076923
0.4,3,T_NK,1300,4,0.4130328297615051,0.7446153846153846
0.4,3,myeloid,1300,5,0.8011721968650818,0.9569230769230769
0.4,3,platelet,1300,4,0.13021576404571533,0.34307692307692306
0.4,3,erythroid,1300,3,0.290985643863678,0.4346153846153846
0.4,4,B_identity,1251,7,1.8557093143463135,1.0
0.4,4,naive,1251,4,0.6157822012901306,0.7114308553157475
0.4,4,memory,1251,5,0.2960827946662903,0.5579536370903277
0.4,4,atypical,1251,5,0.09149403125047684,0.21742605915267785
0.4,4,plasmablast,1251,6,0.1848403662443161,0.4324540367705835
0.4,4,interferon,1251,6,0.13798925280570984,0.3437250199840128
0.4,4,T_NK,1251,4,0.22192324697971344,0.37889688249400477
0.4,4,myeloid,1251,5,0.5741081237792969,0.7897681854516387
0.4,4,platelet,1251,4,0.11927958577871323,0.21502797761790568
0.4,4,erythroid,1251,3,0.1234479695558548,0.1518784972022382
0.6,0,B_identity,53860,7,1.8347010612487793,0.9997400668399554
0.6,0,naive,53860,4,0.7398660778999329,0.7895098403267731
0.6,0,memory,53860,5,0.21873122453689575,0.46656145562569623
0.6,0,atypical,53860,5,0.09800540655851364,0.2215187523208318
0.6,0,plasmablast,53860,6,0.12873119115829468,0.3206275529149647
0.6,0,interferon,53860,6,0.09696207195520401,0.25235796509468994
0.6,0,T_NK,53860,4,0.20266303420066833,0.34129223913850726
0.6,0,myeloid,53860,5,0.5088435411453247,0.7358336427775715
0.6,0,platelet,53860,4,0.09491776674985886,0.17029335313776459
0.6,0,erythroid,53860,3,0.1194448322057724,0.14032677311548458
0.6,1,B_identity,48676,7,1.8260612487792969,0.999609663900074
0.6,1,naive,48676,4,0.13466480374336243,0.268119812638672
0.6,1,memory,48676,5,0.5868862867355347,0.8355863259100994
0.6,1,atypical,48676,5,0.1452004760503769,0.3169940011504643
