min_b_specific_detected,min_total_b_panel_detected,min_b_panel_purity,candidate_cells_outside_source_b,candidate_fraction_outside_source_b
1,2,0.5,74141,0.06675189858602046
1,2,0.75,16539,0.01489067655837111
1,2,0.9,2912,0.002621781857305561
1,3,0.5,52362,0.04714345522398138
1,3,0.75,13856,0.012475071914431955
1,3,0.9,1703,0.0015332742111920914
1,4,0.5,25311,0.022788434268633605
1,4,0.75,9000,0.008103034586452626
1,4,0.9,1056,0.0009507560581437748
2,2,0.5,19039,0.017141519499052394
2,2,0.75,4947,0.004453968011020127
2,2,0.9,712,0.00064104006950603
2,3,0.5,17558,0.015808120140992803
2,3,0.75,4711,0.004241488437419814
2,3,0.9,588,0.0005293982596482383
2,4,0.5,13394,0.012059116138994054
2,4,0.75,4245,0.0038219313132768222
2,4,0.9,524,0.0004717766803667974
3,2,0.5,2961,0.0026658983789429143
3,2,0.75,1055,0.0009498557209675024
3,2,0.9,153,0.00013775158796969466
3,3,0.5,2961,0.0026658983789429143
3,3,0.75,1055,0.0009498557209675024
3,3,0.9,153,0.00013775158796969466
3,4,0.5,2858,0.0025731636497868453
3,4,0.75,1037,0.0009336496517945971
3,4,0.9,152,0.00013685125079342214
