cell_type,gene,candidate_cells,detected_cells,detected_fraction,median_umi_among_detected
"CD4-positive, alpha-beta T cell",CD79A,705,274,0.38865248226950355,1.0
"CD4-positive, alpha-beta T cell",CD79B,705,312,0.4425531914893617,1.0
"CD4-positive, alpha-beta T cell",MS4A1,705,160,0.22695035460992907,1.0
"CD4-positive, alpha-beta T cell",CD19,705,18,0.02553191489361702,1.0
"CD4-positive, alpha-beta T cell",CD22,705,38,0.05390070921985816,1.0
"CD4-positive, alpha-beta T cell",CD37,705,673,0.9546099290780142,1.0
"CD4-positive, alpha-beta T cell",BANK1,705,49,0.06950354609929078,1.0
"CD4-positive, alpha-beta T cell",CD74,705,515,0.7304964539007093,2.0
"CD4-positive, alpha-beta T cell",HLA-DRA,705,330,0.46808510638297873,1.0
"CD4-positive, alpha-beta T cell",CD40,705,17,0.024113475177304965,1.0
"CD4-positive, alpha-beta T cell",MZB1,705,13,0.018439716312056736,1.0
"CD4-positive, alpha-beta T cell",JCHAIN,705,42,0.059574468085106386,1.0
"CD4-positive, alpha-beta T cell",SDC1,705,0,0.0,
"CD4-positive, alpha-beta T cell",DERL3,705,1,0.0014184397163120568,1.0
"CD4-positive, alpha-beta T cell",TNFRSF17,705,3,0.00425531914893617,1.0
"CD4-positive, alpha-beta T cell",SEC11C,705,153,0.2170212765957447,1.0
"CD4-positive, alpha-beta T cell",CD38,705,15,0.02127659574468085,1.0
"CD4-positive, alpha-beta T cell",CD3D,705,264,0.37446808510638296,1.0
"CD4-positive, alpha-beta T cell",CD3E,705,156,0.22127659574468084,1.0
"CD4-positive, alpha-beta T cell",NKG7,705,37,0.0524822695035461,1.0
"CD4-positive, alpha-beta T cell",GNLY,705,41,0.05815602836879433,1.0
"CD4-positive, alpha-beta T cell",LST1,705,33,0.04680851063829787,1.0
"CD4-positive, alpha-beta T cell",TYROBP,705,48,0.06808510638297872,1.0
"CD4-positive, alpha-beta T cell",FCER1G,705,38,0.05390070921985816,1.0
"CD4-positive, alpha-beta T cell",S100A8,705,108,0.15319148936170213,1.0
"CD4-positive, alpha-beta T cell",S100A9,705,162,0.2297872340425532,1.0
"CD4-positive, alpha-beta T cell",FCGR3A,705,3,0.00425531914893617,1.0
"CD4-positive, alpha-beta T cell",PPBP,705,18,0.02553191489361702,1.0
"CD4-positive, alpha-beta T cell",PF4,705,20,0.028368794326241134,1.0
"CD8-positive, alpha-beta T cell",CD79A,153,71,0.46405228758169936,1.0
"CD8-positive, alpha-beta T cell",CD79B,153,53,0.3464052287581699,1.0
"CD8-positive, alpha-beta T cell",MS4A1,153,46,0.3006535947712418,1.0
"CD8-positive, alpha-beta T cell",CD19,153,3,0.0196078431372549,1.0
"CD8-positive, alpha-beta T cell",CD22,153,3,0.0196078431372549,1.0
"CD8-positive, alpha-beta T cell",CD37,153,146,0.954248366013072,1.0
"CD8-positive, alpha-beta T cell",BANK1,153,7,0.0457516339869281,1.0
"CD8-positive, alpha-beta T cell",CD74,153,120,0.7843137254901961,2.0
"CD8-positive, alpha-beta T cell",HLA-DRA,153,86,0.5620915032679739,1.0
"CD8-positive, alpha-beta T cell",CD40,153,0,0.0,
"CD8-positive, alpha-beta T cell",MZB1,153,6,0.0392156862745098,1.0
"CD8-positive, alpha-beta T cell",JCHAIN,153,9,0.058823529411764705,1.0
"CD8-positive, alpha-beta T cell",SDC1,153,0,0.0,
"CD8-positive, alpha-beta T cell",DERL3,153,0,0.0,
"CD8-positive, alpha-beta T cell",TNFRSF17,153,2,0.013071895424836602,1.0
"CD8-positive, alpha-beta T cell",SEC11C,153,20,0.13071895424836602,1.0
"CD8-positive, alpha-beta T cell",CD38,153,1,0.006535947712418301,1.0
"CD8-positive, alpha-beta T cell",CD3D,153,65,0.42483660130718953,1.0
"CD8-positive, alpha-beta T cell",CD3E,153,34,0.2222222222222222,1.0
"CD8-positive, alpha-beta T cell",NKG7,153,18,0.11764705882352941,1.0
"CD8-positive, alpha-beta T cell",GNLY,153,10,0.06535947712418301,1.0
"CD8-positive, alpha-beta T cell",LST1,153,11,0.0718954248366013,1.0
"CD8-positive, alpha-beta T cell",TYROBP,153,12,0.0784313725490196,1.0
"CD8-positive, alpha-beta T cell",FCER1G,153,5,0.032679738562091505,1.0
