replicate,resolution,n_cells,reference_clusters,resampled_clusters,adjusted_rand_index,adjusted_mutual_information,majority_mapping_agreement
1,0.4,120320,5,5,0.5491071111181355,0.6214115235533905,0.9605219414893617
1,0.6,120320,6,6,0.6909477530275431,0.677809971284098,0.8735289228723404
1,0.8,120320,7,8,0.6669100108250594,0.6448764048550641,0.8626745345744681
2,0.4,120320,5,4,0.8789058857900579,0.801298737689665,0.9630568484042553
2,0.6,120320,6,6,0.5203198428132279,0.5917031830294102,0.7008560505319149
2,0.8,120320,7,7,0.6665944039398244,0.6531269293088497,0.8184175531914893
3,0.4,120320,5,4,0.5476676790821152,0.6002299237133524,0.9542885638297872
3,0.6,120320,6,7,0.6871183194466491,0.6754937812832538,0.9098653590425532
3,0.8,120320,7,8,0.6187571776265832,0.6211960646030169,0.8061003989361702
4,0.4,120320,5,4,0.8816110368097623,0.8059558802092212,0.9638547207446808
4,0.6,120320,6,7,0.4221748977871275,0.5397766986375668,0.7049285239361702
4,0.8,120320,7,7,0.7436354791550868,0.7089452194475581,0.8930934175531915
5,0.4,120320,5,5,0.8928297642370593,0.8120119269237531,0.9671126994680851
5,0.6,120320,6,7,0.4393001337358893,0.5550847724007738,0.6953125
5,0.8,120320,7,8,0.6468370171756156,0.6247130228255253,0.8237865691489362
6,0.4,120320,5,6,0.8915584817470567,0.8108573929767979,0.9669963430851064
6,0.6,120320,6,7,0.43483284564488667,0.5591687662930623,0.7006233377659574
6,0.8,120320,7,6,0.637219596699221,0.6225937714620546,0.8419464760638298
7,0.4,120320,5,5,0.6514199808036444,0.6571111485808123,0.9615275930851064
7,0.6,120320,6,6,0.5569514917983999,0.5758160494115547,0.8040226063829787
7,0.8,120320,7,7,0.7077068516774421,0.6826922290801927,0.8742769281914894
8,0.4,120320,5,6,0.31879519309724313,0.4297918049312209,0.7840342420212766
8,0.6,120320,6,6,0.5501091320308403,0.56381267108012,0.8654753989361702
8,0.8,120320,7,8,0.6016832181389666,0.6185537055623437,0.8468999335106383
9,0.4,120320,5,6,0.39182991007206414,0.453711434159979,0.8046043882978723
9,0.6,120320,6,5,0.6814683704723176,0.6562253887576976,0.8630900930851064
9,0.8,120320,7,7,0.7037491528275287,0.6831142852183524,0.875922539893617
10,0.4,120320,5,5,0.8949639286982777,0.8158975353500687,0.9682430186170212
10,0.6,120320,6,5,0.5419253563508006,0.6261693879870814,0.6981715425531915
10,0.8,120320,7,6,0.6137529597220742,0.6001759098279861,0.8263131648936171
11,0.4,120320,5,6,0.6559615712005652,0.5962721804003102,0.9196642287234043
11,0.6,120320,6,6,0.523126212476255,0.5785380520858526,0.8305684840425532
11,0.8,120320,7,10,0.4446466362278952,0.5256746871323913,0.7693484042553191
12,0.4,120320,5,5,0.886758041499536,0.8010922460901829,0.9635638297872341
12,0.6,120320,6,7,0.6314768431361238,0.6487940983247752,0.9005319148936171
12,0.8,120320,7,9,0.5280786144331657,0.5727958973335804,0.8050698138297873
13,0.4,120320,5,5,0.688784866584457,0.6728735517360284,0.9620013297872341
13,0.6,120320,6,6,0.562928878494408,0.5855284131351004,0.8529670877659574
13,0.8,120320,7,7,0.6818343784412113,0.6715660288202446,0.8681848404255319
14,0.4,120320,5,5,0.8916164519218048,0.8129145088538543,0.9670960771276595
14,0.6,120320,6,5,0.6966178266060026,0.6610831441932206,0.8707363696808511
14,0.8,120320,7,8,0.7473416467903498,0.7108041785444059,0.8956366356382979
15,0.4,120320,5,5,0.8898290284435583,0.8055641040475998,0.965342420212766
15,0.6,120320,6,6,0.4034420162175853,0.5244911001690723,0.6754737367021276
15,0.8,120320,7,6,0.597283843376038,0.5842887452326445,0.8100398936170212
16,0.4,120320,5,4,0.8817915570534932,0.8053663144468255,0.9638879654255319
16,0.6,120320,6,6,0.7788261313723831,0.7237087397214694,0.9137217420212767
16,0.8,120320,7,7,0.7156084412796989,0.6892913227457242,0.8744099069148936
17,0.4,120320,5,5,0.6565141133724863,0.6601029297204044,0.9616605718085106
17,0.6,120320,6,5,0.6810078362306394,0.6443346608355404,0.8640874335106383
17,0.8,120320,7,7,0.45944841958003946,0.5187293485202281,0.7630236037234043
18,0.4,120320,5,5,0.8889157254157397,0.8015592355136112,0.9640126329787234
18,0.6,120320,6,7,0.581377294974565,0.6231113756706872,0.8810588430851064
18,0.8,120320,7,7,0.6312617523566729,0.6189882500677295,0.8372007978723405
19,0.4,120320,5,6,0.7442701716448537,0.7073996053376932,0.9650099734042553
19,0.6,120320,6,7,0.5696334182827436,0.625634354284989,0.8703623670212766
19,0.8,120320,7,8,0.6246395653629312,0.6224440349029088,0.8368683510638298
20,0.4,120320,5,5,0.5320438860655325,0.6139589375468228,0.9592918882978724
20,0.6,120320,6,6,0.5826245566712857,0.5974063473173978,0.8734125664893617
20,0.8,120320,7,7,0.5897880235690754,0.5798212501158113,0.8270611702127659
