replicate,policy,n_states,n_cells,resampled_clusters,adjusted_rand_index,adjusted_mutual_information,majority_mapping_agreement
1,five_state,5,120320,5,0.5491071111181355,0.6214115235533905,0.9605219414893617
1,four_state_platelet_overlay_merged,4,120320,5,0.5596921993215507,0.6390467344907692,0.9725149601063829
1,three_state_identity_core,3,120320,5,0.5439420159630857,0.6160361259709457,0.9738031914893617
2,five_state,5,120320,4,0.8789058857900579,0.801298737689665,0.9630568484042553
2,four_state_platelet_overlay_merged,4,120320,4,0.9052289227566789,0.8344253133549007,0.9746343085106383
2,three_state_identity_core,3,120320,4,0.8864691127867359,0.8093632132210546,0.9756981382978723
3,five_state,5,120320,4,0.5476676790821152,0.6002299237133524,0.9542885638297872
3,four_state_platelet_overlay_merged,4,120320,4,0.5526886018086302,0.6200538967158957,0.9661901595744681
3,three_state_identity_core,3,120320,4,0.5602792959109779,0.6331548119654449,0.9740691489361702
4,five_state,5,120320,4,0.8816110368097623,0.8059558802092212,0.9638547207446808
4,four_state_platelet_overlay_merged,4,120320,4,0.9084921579288087,0.8398294425825162,0.9756648936170212
4,three_state_identity_core,3,120320,4,0.889763546732013,0.8138481978478217,0.9766373005319149
5,five_state,5,120320,5,0.8928297642370593,0.8120119269237531,0.9671126994680851
5,four_state_platelet_overlay_merged,4,120320,5,0.8634215555630823,0.7852910420692301,0.9744680851063829
5,three_state_identity_core,3,120320,5,0.8461014774358806,0.7622243679315138,0.9757064494680852
6,five_state,5,120320,6,0.8915584817470567,0.8108573929767979,0.9669963430851064
6,four_state_platelet_overlay_merged,4,120320,6,0.8614413380697649,0.7830835961102852,0.9741273271276596
6,three_state_identity_core,3,120320,6,0.8432565008679705,0.7573039490491076,0.9751745345744681
7,five_state,5,120320,5,0.6514199808036444,0.6571111485808123,0.9615275930851064
7,four_state_platelet_overlay_merged,4,120320,5,0.667324472867264,0.6785449815794659,0.973296210106383
7,three_state_identity_core,3,120320,5,0.6516361752338793,0.6573294740096087,0.9746841755319149
8,five_state,5,120320,6,0.31879519309724313,0.4297918049312209,0.7840342420212766
8,four_state_platelet_overlay_merged,4,120320,6,0.2953981672991925,0.39734149810162755,0.7935339095744681
8,three_state_identity_core,3,120320,6,0.2808512963131773,0.3691227756169086,0.7948886303191489
9,five_state,5,120320,6,0.39182991007206414,0.453711434159979,0.8046043882978723
9,four_state_platelet_overlay_merged,4,120320,6,0.3667316577230389,0.4206152271195805,0.813530585106383
9,three_state_identity_core,3,120320,6,0.35064571226691565,0.391064987615926,0.8146193484042553
10,five_state,5,120320,5,0.8949639286982777,0.8158975353500687,0.9682430186170212
10,four_state_platelet_overlay_merged,4,120320,5,0.8657851337848889,0.7888962407608843,0.9749251994680851
10,three_state_identity_core,3,120320,5,0.8473862025742591,0.764896435576765,0.9760804521276596
11,five_state,5,120320,6,0.6559615712005652,0.5962721804003102,0.9196642287234043
11,four_state_platelet_overlay_merged,4,120320,6,0.6297811966955357,0.5653773811502318,0.9243184840425532
11,three_state_identity_core,3,120320,6,0.614423155413848,0.5412350108093787,0.9255568484042553
12,five_state,5,120320,5,0.886758041499536,0.8010922460901829,0.9635638297872341
12,four_state_platelet_overlay_merged,4,120320,5,0.8569416718276168,0.7736461604403443,0.9716090425531915
12,three_state_identity_core,3,120320,5,0.8393029462367532,0.7486919622145598,0.9727559840425531
13,five_state,5,120320,5,0.688784866584457,0.6728735517360284,0.9620013297872341
13,four_state_platelet_overlay_merged,4,120320,5,0.6797344034087028,0.6865710510588784,0.9737367021276596
13,three_state_identity_core,3,120320,5,0.6632727498389233,0.663856963870522,0.9750498670212766
14,five_state,5,120320,5,0.8916164519218048,0.8129145088538543,0.9670960771276595
14,four_state_platelet_overlay_merged,4,120320,5,0.8613893616952173,0.7862648199314467,0.975
14,three_state_identity_core,3,120320,5,0.8424014320987405,0.7601419698356982,0.9760388962765958
15,five_state,5,120320,5,0.8898290284435583,0.8055641040475998,0.965342420212766
15,four_state_platelet_overlay_merged,4,120320,5,0.8600893741394279,0.778239708463178,0.9730634973404255
15,three_state_identity_core,3,120320,5,0.8419601253433504,0.7540773268105971,0.9741688829787234
16,five_state,5,120320,4,0.8817915570534932,0.8053663144468255,0.9638879654255319
16,four_state_platelet_overlay_merged,4,120320,4,0.9077921859878033,0.8385442804972276,0.9754155585106383
16,three_state_identity_core,3,120320,4,0.8894560306352437,0.8129903590941495,0.9765043218085107
17,five_state,5,120320,5,0.6565141133724863,0.6601029297204044,0.9616605718085106
17,four_state_platelet_overlay_merged,4,120320,5,0.6726694453727855,0.681403923180716,0.973296210106383
17,three_state_identity_core,3,120320,5,0.655495194877215,0.6583340030474953,0.9745262632978723
18,five_state,5,120320,5,0.8889157254157397,0.8015592355136112,0.9640126329787234
18,four_state_platelet_overlay_merged,4,120320,5,0.8596592449083434,0.7744943755560008,0.9717669547872341
18,three_state_identity_core,3,120320,5,0.8425277403301747,0.7516105364947906,0.9729803856382979
19,five_state,5,120320,6,0.7442701716448537,0.7073996053376932,0.9650099734042553
19,four_state_platelet_overlay_merged,4,120320,6,0.7160395826740665,0.6794243916282793,0.9714428191489362
19,three_state_identity_core,3,120320,6,0.699532655180614,0.6559441133363066,0.9725814494680851
20,five_state,5,120320,5,0.5320438860655325,0.6139589375468228,0.9592918882978724
20,four_state_platelet_overlay_merged,4,120320,5,0.5419358376705797,0.6304088134031693,0.9715591755319148
20,three_state_identity_core,3,120320,5,0.5255345542768296,0.6067993963290016,0.9728141622340426
