replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
1,0.4,0,76672,78901,0.9422832030762316,0.9843880425709516
1,0.4,1,40087,39470,0.9238507484342128,0.9530271659141367
1,0.4,2,1511,0,0.0,0.0
1,0.4,3,1024,1030,0.9903100775193798,0.998046875
1,0.4,4,1026,919,0.8076208178438662,0.8469785575048733
1,0.6,0,43094,51206,0.7472670001852881,0.9358611407620551
1,0.6,1,38842,38994,0.9257279992082932,0.9633129087070696
1,0.6,2,32866,24498,0.6418799015398706,0.6823464979005659
1,0.6,3,3367,3492,0.7346990389479009,0.8627858627858628
1,0.6,4,1122,1100,0.815359477124183,0.8894830659536542
1,0.6,5,1029,1030,0.9951550387596899,0.9980563654033042
1,0.8,0,41582,48621,0.7621903571149489,0.9382665576451349
1,0.8,1,32058,27201,0.7299372354400817,0.7799613201073055
1,0.8,2,22820,23025,0.7950976937233251,0.8898334794040316
1,0.8,3,17705,16275,0.8160440382662605,0.8624117480937589
1,0.8,4,3848,4157,0.6552936311000828,0.8235446985446986
1,0.8,5,1267,0,0.0,0.0
1,0.8,6,1040,1041,0.9875835721107927,0.9942307692307693
2,0.4,0,76573,77950,0.9461580120656431,0.9810768808849072
2,0.4,1,40200,40356,0.9299935312297851,0.9655970149253731
2,0.4,2,1486,0,0.0,0.0
2,0.4,3,1056,1054,0.994328922495274,0.9962121212121212
2,0.4,4,1005,960,0.814404432132964,0.8776119402985074
2,0.6,0,43069,71536,0.556350747586132,0.9512178132763704
2,0.6,1,38943,38647,0.8703596567351268,0.9271499370875382
2,0.6,2,32818,4354,0.06656719843911396,0.07069291242610762
2,0.6,3,3331,3574,0.7219451371571073,0.8691083758631042
2,0.6,4,1097,1143,0.7820206841686556,0.8960802187784868
2,0.6,5,1062,1066,0.983224603914259,0.9934086629001884
2,0.8,0,41546,42449,0.8191367249258225,0.9103644153468444
2,0.8,1,32031,32488,0.7932405014035966,0.8910118322874715
2,0.8,2,22842,33053,0.598735770264859,0.9164258821469223
2,0.8,3,17766,6401,0.3378542958370239,0.343521332883035
2,0.8,4,3829,3619,0.6543758329631275,0.7693914860276835
2,0.8,5,1235,1237,0.7519489723600283,0.8591093117408907
2,0.8,6,1071,1073,0.9907149489322191,0.996265172735761
3,0.4,0,76683,80324,0.9342983861032401,0.9889675677790384
3,0.4,1,40055,38952,0.9240903998831036,0.9473224316564723
3,0.4,2,1526,0,0.0,0.0
3,0.4,3,1052,1044,0.9810964083175804,0.9866920152091255
3,0.4,4,1004,0,0.0,0.0
3,0.6,0,43092,41187,0.807049893865649,0.8734799962870138
3,0.6,1,38834,39281,0.9224995077771215,0.9652108976669929
3,0.6,2,32859,34422,0.7802032068582314,0.8973797133205514
3,0.6,3,3374,3364,0.7496754089846793,0.8556609365737996
