replicate,resolution,reference_cluster,mapped_reference_cluster,n_cells,fraction_of_reference_cluster
1,0.4,0,0,75475,0.9843880425709516
1,0.4,0,1,1157,0.015090254590984975
1,0.4,0,3,1,1.3042570951585977e-05
1,0.4,0,4,39,0.0005086602671118531
1,0.4,1,0,1866,0.046548756454711
1,0.4,1,1,38204,0.9530271659141367
1,0.4,1,3,7,0.00017462020106268864
1,0.4,1,4,10,0.0002494574300895552
1,0.4,2,0,1443,0.9549966909331569
1,0.4,2,1,67,0.04434149569821311
1,0.4,2,4,1,0.0006618133686300463
1,0.4,3,0,2,0.001953125
1,0.4,3,3,1022,0.998046875
1,0.4,4,0,115,0.11208576998050682
1,0.4,4,1,42,0.04093567251461988
1,0.4,4,4,869,0.8469785575048733
1,0.6,0,0,40330,0.9358611407620551
1,0.6,0,1,881,0.02044368125493108
1,0.6,0,2,1618,0.03754583004594607
1,0.6,0,3,222,0.005151529215203973
1,0.6,0,4,43,0.0009978187218638325
1,0.6,1,0,924,0.023788682354152723
1,0.6,1,1,37417,0.9633129087070696
1,0.6,1,2,332,0.00854744863807219
1,0.6,1,3,137,0.003527109829565934
1,0.6,1,4,30,0.0007723598166932702
1,0.6,1,5,2,5.149065444621801e-05
1,0.6,2,0,9603,0.2921864540862898
1,0.6,2,1,583,0.017738696525284488
1,0.6,2,2,22426,0.6823464979005659
1,0.6,2,3,227,0.00690683381001643
1,0.6,2,4,26,0.0007910910971824987
1,0.6,2,5,1,3.042658066086533e-05
1,0.6,3,0,274,0.08137808137808138
1,0.6,3,1,88,0.026136026136026135
1,0.6,3,2,97,0.02880902880902881
1,0.6,3,3,2905,0.8627858627858628
1,0.6,3,4,3,0.000891000891000891
1,0.6,4,0,75,0.06684491978609626
1,0.6,4,1,24,0.0213903743315508
1,0.6,4,2,24,0.0213903743315508
1,0.6,4,3,1,0.00089126559714795
1,0.6,4,4,998,0.8894830659536542
1,0.6,5,1,1,0.0009718172983479105
1,0.6,5,2,1,0.0009718172983479105
1,0.6,5,5,1027,0.9980563654033042
1,0.8,0,0,39015,0.9382665576451349
1,0.8,0,1,1455,0.03499110191909961
1,0.8,0,2,634,0.015246981867154057
1,0.8,0,3,201,0.0048338223269684
1,0.8,0,4,276,0.006637487374344668
1,0.8,0,6,1,2.4048867298350248e-05
1,0.8,1,0,6219,0.1939921392476137
1,0.8,1,1,25004,0.7799613201073055
1,0.8,1,2,491,0.015315989768544513
1,0.8,1,3,61,0.0019028011728741655
1,0.8,1,4,282,0.008796556241811717
1,0.8,1,6,1,3.1193461850396155e-05
1,0.8,2,0,1311,0.057449605609114815
1,0.8,2,1,391,0.017134092900964067
1,0.8,2,2,20306,0.8898334794040316
1,0.8,2,3,691,0.03028045574057844
1,0.8,2,4,118,0.005170902716914987
1,0.8,2,6,3,0.00013146362839614373
1,0.8,3,0,438,0.02473877435752612
1,0.8,3,1,178,0.010053657158994634
1,0.8,3,2,1510,0.08528664219147133
1,0.8,3,3,15269,0.8624117480937589
1,0.8,3,4,308,0.017396215758260378
1,0.8,3,6,2,0.00011296243998870376
1,0.8,4,0,463,0.12032224532224532
1,0.8,4,1,143,0.037162162162162164
1,0.8,4,2,56,0.014553014553014554
1,0.8,4,3,17,0.004417879417879418
1,0.8,4,4,3169,0.8235446985446986
1,0.8,5,0,1175,0.9273875295974744
1,0.8,5,1,29,0.022888713496448304
1,0.8,5,2,28,0.022099447513812154
1,0.8,5,3,31,0.0244672454617206
1,0.8,5,4,4,0.0031570639305445935
1,0.8,6,1,1,0.0009615384615384616
1,0.8,6,3,5,0.004807692307692308
1,0.8,6,6,1034,0.9942307692307693
2,0.4,0,0,75124,0.9810768808849072
2,0.4,0,1,1397,0.018244028574040456
2,0.4,0,3,1,1.305943348177556e-05
2,0.4,0,4,51,0.0006660311075705536
2,0.4,1,0,1359,0.03380597014925373
2,0.4,1,1,38817,0.9655970149253731
2,0.4,1,3,1,2.4875621890547263e-05
2,0.4,1,4,23,0.0005721393034825871
2,0.4,2,0,1393,0.9374158815612382
2,0.4,2,1,89,0.059892328398384924
2,0.4,2,4,4,0.0026917900403768506
2,0.4,3,0,1,0.000946969696969697
2,0.4,3,1,3,0.002840909090909091
2,0.4,3,3,1052,0.9962121212121212
2,0.4,4,0,73,0.07263681592039802
2,0.4,4,1,50,0.04975124378109453
2,0.4,4,4,882,0.8776119402985074
2,0.6,0,0,40968,0.9512178132763704
2,0.6,0,1,1616,0.03752118693259653
2,0.6,0,2,68,0.0015788618263716362
2,0.6,0,3,336,0.007801434906777496
2,0.6,0,4,79,0.0018342659453435186
2,0.6,0,5,2,4.643711254034224e-05
2,0.6,1,0,773,0.019849523662789206
2,0.6,1,1,36106,0.9271499370875382
2,0.6,1,2,1961,0.050355647998356574
2,0.6,1,3,66,0.0016947846853092982
2,0.6,1,4,31,0.0007960352309786098
2,0.6,1,5,6,0.00015407133502811802
2,0.6,2,0,29433,0.8968553842403559
2,0.6,2,1,741,0.022579072460235237
2,0.6,2,2,2320,0.07069291242610762
2,0.6,2,3,275,0.008379547809129136
2,0.6,2,4,46,0.0014016698153452374
2,0.6,2,5,3,9.14132488268633e-05
2,0.6,3,0,290,0.0870609426598619
2,0.6,3,1,141,0.04232963074151906
2,0.6,3,2,1,0.0003002101471029721
2,0.6,3,3,2895,0.8691083758631042
2,0.6,3,4,4,0.0012008405884118883
2,0.6,4,0,71,0.06472196900638104
2,0.6,4,1,38,0.03463992707383774
2,0.6,4,2,3,0.0027347310847766638
2,0.6,4,3,2,0.0018231540565177757
2,0.6,4,4,983,0.8960802187784868
2,0.6,5,0,1,0.0009416195856873823
2,0.6,5,1,5,0.004708097928436911
2,0.6,5,2,1,0.0009416195856873823
2,0.6,5,5,1055,0.9934086629001884
2,0.8,0,0,37822,0.9103644153468444
2,0.8,0,1,2793,0.06722668848986665
2,0.8,0,2,672,0.016174842343426563
2,0.8,0,3,16,0.00038511529389110866
2,0.8,0,4,162,0.003899292350647475
2,0.8,0,5,79,0.001901506763587349
2,0.8,0,6,2,4.813941173638858e-05
2,0.8,1,0,2907,0.09075583028940713
2,0.8,1,1,28540,0.8910118322874715
2,0.8,1,2,357,0.011145452842558771
2,0.8,1,3,48,0.0014985482813524398
2,0.8,1,4,137,0.004277106553026756
2,0.8,1,5,41,0.0012800099903218756
2,0.8,1,6,1,3.1219755861509166e-05
2,0.8,2,0,766,0.033534716749846774
2,0.8,2,1,741,0.03244024166009982
2,0.8,2,2,20933,0.9164258821469223
2,0.8,2,3,228,0.00998161281849225
2,0.8,2,4,144,0.006304176516942475
2,0.8,2,5,29,0.0012695911041064704
2,0.8,2,6,1,4.3779003589878295e-05
2,0.8,3,0,337,0.01896881684115727
2,0.8,3,1,105,0.00591016548463357
2,0.8,3,2,10968,0.6173590003377237
2,0.8,3,3,6103,0.343521332883035
2,0.8,3,4,229,0.012889789485534167
2,0.8,3,5,22,0.0012383203872565576
2,0.8,3,6,2,0.00011257458065968704
2,0.8,4,0,538,0.14050665970227214
2,0.8,4,1,269,0.07025332985113607
2,0.8,4,2,71,0.01854270044398015
2,0.8,4,4,2946,0.7693914860276835
2,0.8,4,5,5,0.0013058239749281796
2,0.8,5,0,77,0.062348178137651825
2,0.8,5,1,39,0.031578947368421054
2,0.8,5,2,51,0.04129554655870445
2,0.8,5,3,6,0.004858299595141701
2,0.8,5,4,1,0.0008097165991902834
2,0.8,5,5,1061,0.8591093117408907
2,0.8,6,0,2,0.0018674136321195146
2,0.8,6,1,1,0.0009337068160597573
2,0.8,6,2,1,0.0009337068160597573
2,0.8,6,6,1067,0.996265172735761
3,0.4,0,0,75837,0.9889675677790384
3,0.4,0,1,845,0.011019391520936844
3,0.4,0,3,1,1.304070002477733e-05
3,0.4,1,0,2105,0.05255273998252403
3,0.4,1,1,37945,0.9473224316564723
3,0.4,1,3,5,0.00012482836100362001
3,0.4,2,0,1432,0.9384010484927916
3,0.4,2,1,94,0.061598951507208385
3,0.4,3,0,2,0.0019011406844106464
3,0.4,3,1,12,0.011406844106463879
3,0.4,3,3,1038,0.9866920152091255
3,0.4,4,0,948,0.9442231075697212
3,0.4,4,1,56,0.055776892430278883
3,0.6,0,0,37640,0.8734799962870138
3,0.6,0,1,1025,0.023786317645966767
3,0.6,0,2,4172,0.096816114359974
3,0.6,0,3,219,0.005082149818991924
3,0.6,0,4,36,0.000835421888053467
3,0.6,1,0,687,0.017690683421743833
3,0.6,1,1,37483,0.9652108976669929
3,0.6,1,2,529,0.013622083741051656
3,0.6,1,3,111,0.0028583200288407064
3,0.6,1,4,20,0.0005150126178091363
3,0.6,1,5,4,0.00010300252356182726
3,0.6,2,0,2568,0.07815210444627042
3,0.6,2,1,632,0.019233695486776833
3,0.6,2,2,29487,0.8973797133205514
3,0.6,2,3,147,0.0044736601844243586
3,0.6,2,4,24,0.0007303934994978545
3,0.6,2,5,1,3.043306247907727e-05
3,0.6,3,0,215,0.06372258446947243
3,0.6,3,1,94,0.027860106698280974
3,0.6,3,2,175,0.05186721991701245
3,0.6,3,3,2887,0.8556609365737996
3,0.6,3,4,3,0.0008891523414344991
3,0.6,4,0,77,0.06987295825771325
3,0.6,4,1,41,0.03720508166969147
3,0.6,4,2,57,0.05172413793103448
3,0.6,4,4,927,0.8411978221415608
3,0.6,5,1,6,0.0056657223796034
3,0.6,5,2,2,0.0018885741265344666
3,0.6,5,5,1051,0.9924457034938622
3,0.8,0,0,35921,0.8638801375628292
3,0.8,0,1,4247,0.10213799571919867
3,0.8,0,2,1052,0.02530001683461196
3,0.8,0,3,15,0.00036074168490416293
3,0.8,0,4,296,0.007118635915442149
3,0.8,0,5,48,0.0011543733916933214
3,0.8,0,6,2,4.809889132055506e-05
3,0.8,1,0,2758,0.08593774343314742
3,0.8,1,1,28424,0.8856760041130465
3,0.8,1,2,594,0.018508709064281932
3,0.8,1,3,76,0.002368117658056274
3,0.8,1,4,200,0.0062318885738323
3,0.8,1,5,37,0.0011528993861589754
3,0.8,1,6,4,0.000124637771476646
3,0.8,2,0,696,0.030479527041821764
3,0.8,2,1,513,0.022465513466170352
3,0.8,2,2,21352,0.9350558353404861
3,0.8,2,3,110,0.00481716663017298
3,0.8,2,4,148,0.0064812787387781914
3,0.8,2,5,16,0.0007006787825706152
3,0.8,3,0,217,0.012283482395562097
3,0.8,3,1,97,0.005490773236725914
3,0.8,3,2,11059,0.6260047548964112
3,0.8,3,3,6024,0.34099399977357636
3,0.8,3,4,245,0.013868447865957206
3,0.8,3,5,21,0.001188724102796332
3,0.8,3,6,3,0.00016981772897090456
3,0.8,4,0,347,0.09036458333333333
3,0.8,4,1,236,0.06145833333333333
3,0.8,4,2,78,0.0203125
3,0.8,4,3,1,0.00026041666666666666
3,0.8,4,4,3172,0.8260416666666667
3,0.8,4,5,6,0.0015625
3,0.8,5,0,93,0.07530364372469636
3,0.8,5,1,62,0.05020242914979757
3,0.8,5,2,37,0.029959514170040485
3,0.8,5,3,2,0.0016194331983805667
3,0.8,5,4,3,0.0024291497975708503
3,0.8,5,5,1038,0.8404858299595142
3,0.8,6,1,2,0.001869158878504673
3,0.8,6,2,9,0.008411214953271028
3,0.8,6,6,1059,0.9897196261682243
4,0.4,0,0,75234,0.9820388983161468
4,0.4,0,1,1332,0.017386764130009138
4,0.4,0,3,2,2.6106252447461166e-05
4,0.4,0,4,42,0.0005482313013966845
4,0.4,1,0,1329,0.03310499439531698
4,0.4,1,1,38802,0.9665462697720762
4,0.4,1,3,3,7.47291069871715e-05
4,0.4,1,4,11,0.00027400672561962887
4,0.4,2,0,1421,0.9361001317523057
4,0.4,2,1,94,0.061923583662714096
4,0.4,2,4,3,0.001976284584980237
4,0.4,3,0,1,0.0009551098376313276
4,0.4,3,1,7,0.0066857688634192934
4,0.4,3,3,1039,0.9923591212989494
4,0.4,4,0,72,0.072
4,0.4,4,1,32,0.032
4,0.4,4,4,896,0.896
4,0.6,0,0,40037,0.9312013024770323
4,0.6,0,1,2485,0.05779741830445401
4,0.6,0,2,112,0.002604954064426096
4,0.6,0,3,302,0.007024072566577509
4,0.6,0,4,58,0.0013489940690777997
4,0.6,0,5,1,2.325851843237586e-05
4,0.6,1,0,514,0.013204881181759795
4,0.6,1,1,38117,0.9792421323057161
4,0.6,1,2,218,0.0056005138086062944
4,0.6,1,3,26,0.000667951188182402
4,0.6,1,4,41,0.0010533076429030187
4,0.6,1,5,9,0.00023121387283236994
4,0.6,2,0,29423,0.8936099131385531
4,0.6,2,1,1144,0.03474457875235376
4,0.6,2,2,1975,0.0599829921642471
4,0.6,2,3,354,0.010751381886654924
4,0.6,2,4,28,0.0008503917876450222
4,0.6,2,5,2,6.0742270546073014e-05
4,0.6,3,0,306,0.09186430501350945
4,0.6,3,1,352,0.10567397178024618
4,0.6,3,2,2,0.0006004202942059442
4,0.6,3,3,2669,0.8012608826178325
4,0.6,3,4,2,0.0006004202942059442
4,0.6,4,0,70,0.0641025641025641
4,0.6,4,1,44,0.040293040293040296
4,0.6,4,2,4,0.003663003663003663
4,0.6,4,3,1,0.0009157509157509158
4,0.6,4,4,973,0.8910256410256411
4,0.6,5,0,1,0.0009514747859181732
4,0.6,5,1,4,0.003805899143672693
4,0.6,5,5,1046,0.9952426260704091
