policy,reference_state,median_jaccard,minimum_jaccard,median_recall
five_state,0,0.9466479257513265,0.7063702977449817,0.9813186099935729
five_state,1,0.9254424344499924,0.3885116717054071,0.9554282114541186
five_state,2,0.45473596051089776,0.0,0.9495120897179921
five_state,3,0.9913709736725989,0.9810964083175804,0.9971125414082127
five_state,4,0.8054131862784851,0.0,0.8596917834419928
four_state_platelet_overlay_merged,0,0.9606991879190677,0.7194457007889844,0.9838644851328664
four_state_platelet_overlay_merged,1,0.9254424344499924,0.3885116717054071,0.9554282114541186
four_state_platelet_overlay_merged,3,0.9913709736725989,0.9810964083175804,0.9971125414082127
four_state_platelet_overlay_merged,4,0.8054131862784851,0.0,0.8596917834419928
three_state_identity_core,0,0.9620168651593883,0.723348804884708,0.9839406950975943
three_state_identity_core,1,0.9254424344499924,0.3885116717054071,0.9554282114541186
three_state_identity_core,3,0.9913709736725989,0.9810964083175804,0.9971125414082127
