resolution,mapped_cluster,n_candidates,n_source_labels,median_mapping_confidence,distance_support_fraction,low_non_b_fraction
0.4,0,162,8,0.64,0.16049382716049382,0.04938271604938271
0.4,1,605,7,0.8,0.21487603305785125,0.07933884297520662
0.4,4,1,1,0.52,0.0,1.0
0.6,0,7,2,0.6,1.0,0.5714285714285714
0.6,1,610,7,0.8,0.22295081967213115,0.07868852459016394
0.6,2,147,8,0.64,0.08843537414965986,0.027210884353741496
0.6,3,3,1,0.52,0.0,0.0
0.6,4,1,1,0.52,0.0,1.0
0.8,0,19,3,0.44,0.6842105263157895,0.42105263157894735
0.8,1,204,8,0.54,0.08333333333333333,0.0196078431372549
0.8,2,330,6,0.52,0.17272727272727273,0.03939393939393939
0.8,3,211,6,0.56,0.32701421800947866,0.14691943127962084
0.8,4,3,1,0.44,0.0,0.0
0.8,5,1,1,0.6,0.0,1.0
