resolution,cluster,rank,gene_id,gene,n_cells,cluster_cpm,rest_cpm,log2_fold_change,cluster_detection_fraction,rest_detection_fraction,detection_difference,marker_score,technical_nuisance,eligible_samples,samples_with_at_least_5pct_detection,sample_support_fraction
0.4,0,1,ENSG00000100721,TCL1A,95768,704.008978976387,56.899120761062896,3.6060282866027484,0.5974020549661683,0.082366292052568,0.5150357629136003,1.8572335296784694,False,263,263,1.0
0.4,0,2,ENSG00000077238,IL4R,95768,218.56588820567603,30.434894373648255,2.8042151138540756,0.28951215437306826,0.06534392502837061,0.22416822934469766,0.6286159367743078,False,263,260,0.9885931558935361
0.4,0,3,ENSG00000104921,FCER2,95768,250.07351123702082,60.68366368544181,2.0251494679810276,0.3382549494611979,0.12624007028590256,0.21201487917529532,0.42936181976591115,False,263,262,0.9961977186311787
0.4,0,4,ENSG00000060138,YBX3,95768,187.77689948438325,40.36156433923228,2.1903195776875033,0.26107885723832597,0.0808287879342534,0.18025006930407256,0.3948052556762394,False,263,261,0.9923954372623575
0.4,0,5,ENSG00000147535,PLPP5,95768,275.0853538251607,80.0889247639967,1.767537568031654,0.36272032411661514,0.15226781857451405,0.2104525055421011,0.37198270983205356,False,263,263,1.0
0.4,0,6,ENSG00000257275,ENSG00000257275,95768,66.90036280140856,4.184367131326045,3.7111794915134246,0.09895789825411411,0.009170113848519236,0.08978778440559487,0.3332185840744726,False,263,212,0.8060836501901141
0.4,0,7,ENSG00000110848,CD69,95768,827.962168799272,292.2921758407836,1.4989676783897414,0.5994173419096149,0.39563275615916826,0.20378458575044667,0.30546650739396225,False,263,263,1.0
0.4,0,8,ENSG00000084234,APLP2,95768,134.50251692122734,33.34396015522913,1.9801913402405116,0.2138710216356194,0.08057253724786763,0.13329848438775177,0.26395650445181107,False,263,261,0.9923954372623575
0.4,0,9,ENSG00000106537,TSPAN13,95768,137.6970710026306,36.3977898738081,1.890912403548977,0.21835059727675216,0.0864846066551964,0.13186599062155574,0.24934703727257282,False,263,262,0.9961977186311787
0.4,0,10,ENSG00000121966,CXCR4,95768,2114.5140853616067,815.9653776501976,1.372661446874573,0.9152848550664104,0.7351649156203097,0.18011993944610072,0.2472436966910451,False,263,263,1.0
0.4,0,11,ENSG00000110987,BCL7A,95768,136.73702047904544,42.32621776992079,1.668604169271737,0.21132319772784228,0.09613061463557492,0.11519258309226736,0.19221082441693832,False,263,263,1.0
0.4,0,12,ENSG00000184226,PCDH9,95768,59.11328633232887,14.441926095762874,1.9608311794342579,0.0963369810375073,0.03226928286415053,0.06406769817335678,0.1256259401729012,False,263,210,0.7984790874524715
0.4,0,13,ENSG00000091972,CD200,95768,38.373949290670325,6.548844768961685,2.382913640295009,0.06656712054130816,0.016637990994618736,0.04992912954668942,0.11897680384486277,False,263,168,0.6387832699619772
0.4,0,14,ENSG00000110852,CLEC2B,95768,156.7015799051791,68.06662447234493,1.1911364926546204,0.23996533288781222,0.14038876889848811,0.0995765639893241,0.11860927918084188,False,263,263,1.0
0.4,0,15,ENSG00000112182,BACH2,95768,75.0130704422306,22.4659843179433,1.6956765334316706,0.12413332219530532,0.055112201193396056,0.06902112100190927,0.11703749519408538,False,263,240,0.9125475285171103
0.4,0,16,ENSG00000163534,FCRL1,95768,123.34684212377863,47.006918399526036,1.3730556333632817,0.19599448667613398,0.11172529926419446,0.08426918741193952,0.1157062824949097,False,263,249,0.9467680608365019
0.4,0,17,ENSG00000122986,HVCN1,95768,215.24220452168527,98.61870869975355,1.1181595094701346,0.3120666610976527,0.21063806420910056,0.10142859688855213,0.11341335014314748,False,263,263,1.0
0.4,0,18,ENSG00000188820,CALHM6,95768,229.1152153040183,105.65009992537557,1.1094710608446248,0.325536713724835,0.2237251528352308,0.10181156088960419,0.11295698046643628,False,263,262,0.9961977186311787
