replicate,resolution,n_cells,reference_clusters,resampled_clusters,adjusted_rand_index,adjusted_mutual_information,majority_mapping_agreement
1,0.4,120320,5,5,0.5275792768001416,0.6048805512398975,0.9570811170212766
1,0.6,120320,6,6,0.45112635862162787,0.5117973788481832,0.8253407579787234
1,0.8,120320,7,8,0.4370664540765464,0.5212909193710143,0.7745262632978723
2,0.4,120320,5,6,0.573402191082445,0.5926407428663619,0.9563248005319149
2,0.6,120320,6,7,0.5278540351936807,0.5334384742911945,0.8437832446808511
2,0.8,120320,7,8,0.46383861502731005,0.4706457588503088,0.7187333776595745
3,0.4,120320,5,5,0.5087374493872349,0.5973201960000898,0.9562749335106383
3,0.6,120320,6,7,0.585462426063104,0.5876341268226689,0.8565990691489361
3,0.8,120320,7,7,0.5873265278606326,0.5832918499785976,0.8231299867021277
4,0.4,120320,5,6,0.8263412899284062,0.7266626705064112,0.9594498005319149
4,0.6,120320,6,7,0.5666329063507803,0.5549693983421258,0.844672539893617
4,0.8,120320,7,8,0.4830980401268351,0.5140887429140175,0.7164644281914894
5,0.4,120320,5,7,0.818358132440663,0.7099398547686633,0.954047539893617
5,0.6,120320,6,7,0.5830206370211466,0.5689993597311231,0.8503823138297872
5,0.8,120320,7,9,0.4790331205311938,0.554482186563428,0.8214012632978723
6,0.4,120320,5,5,0.4826915884146919,0.5563298210779897,0.948969414893617
6,0.6,120320,6,8,0.5081499114870371,0.5206612684962256,0.8391871675531914
6,0.8,120320,7,9,0.36204828010227436,0.4748352746332028,0.7283660239361702
7,0.4,120320,5,6,0.8144635499600903,0.7167476111233906,0.9564910239361702
7,0.6,120320,6,7,0.550673311578562,0.5706130410645671,0.851313164893617
7,0.8,120320,7,9,0.47776797105831015,0.505192474543935,0.7474484707446809
8,0.4,120320,5,7,0.7394179976622132,0.6436471373678593,0.9471492686170213
8,0.6,120320,6,9,0.6587521678647227,0.638303820797202,0.8837267287234043
8,0.8,120320,7,9,0.5881535631141895,0.5886807626740886,0.7470246010638298
9,0.4,120320,5,6,0.5954049897131392,0.6014631251776221,0.9573886303191489
9,0.6,120320,6,6,0.6180181850875681,0.5973893064389272,0.8598986037234042
9,0.8,120320,7,8,0.3792422456975915,0.4881983970184225,0.7081117021276596
10,0.4,120320,5,6,0.30484367472199314,0.4114179246850293,0.7557014627659574
10,0.6,120320,6,8,0.4934465157008689,0.5372773602304777,0.8426695478723404
10,0.8,120320,7,9,0.32809322683660036,0.44542415893347526,0.6727726063829788
11,0.4,120320,5,7,0.8160877979075957,0.7096902132419642,0.953341090425532
11,0.6,120320,6,8,0.5360601653151326,0.5437211557869402,0.8503656914893617
11,0.8,120320,7,8,0.4898322987615813,0.5223267680546902,0.7600980718085106
12,0.4,120320,5,5,0.8693249220734968,0.7751418093301706,0.957845744680851
12,0.6,120320,6,8,0.6790368930406657,0.6502320938150549,0.9
12,0.8,120320,7,10,0.41364422175223803,0.5039784456349793,0.7828873005319149
13,0.4,120320,5,5,0.531594338075805,0.5982396523131811,0.9544298537234043
13,0.6,120320,6,7,0.48031607959371325,0.5176149978173649,0.8305518617021277
13,0.8,120320,7,7,0.5572548097868302,0.5648136104332764,0.8129072473404255
14,0.4,120320,5,5,0.8478030579080855,0.745512456247322,0.9491273271276596
14,0.6,120320,6,6,0.6095012802345156,0.5750354128455379,0.8396775265957447
14,0.8,120320,7,7,0.438558425221654,0.5008971843156937,0.7262716090425532
15,0.4,120320,5,7,0.4755970838943502,0.5727971524723584,0.9568484042553191
15,0.6,120320,6,10,0.49135906204490426,0.5444498431467117,0.8152426861702128
15,0.8,120320,7,9,0.33951430097129776,0.46700558628911437,0.6994431515957447
16,0.4,120320,5,5,0.6114648599681901,0.630449219137777,0.9570977393617022
16,0.6,120320,6,6,0.5750111854352856,0.5849782753832352,0.8675947473404255
16,0.8,120320,7,7,0.5905889065085592,0.5869261954611801,0.8254571143617021
17,0.4,120320,5,6,0.5571008928380998,0.5362765258100408,0.9321808510638298
17,0.6,120320,6,7,0.49940620259854684,0.5319157806431692,0.8387134308510639
17,0.8,120320,7,9,0.4374891377247758,0.48088402763676297,0.742403590425532
18,0.4,120320,5,6,0.8193144133313767,0.7099663882854605,0.9530834441489362
18,0.6,120320,6,8,0.6046471927012089,0.61411670553193,0.8580452127659575
18,0.8,120320,7,9,0.5145306990425376,0.5269207938705256,0.7790309175531915
19,0.4,120320,5,6,0.4126362210437812,0.43648023182903095,0.8222157579787234
19,0.6,120320,6,7,0.5413930552864771,0.5498477818813943,0.8519946808510638
19,0.8,120320,7,8,0.4627797708500747,0.5111891605375861,0.7524351728723404
20,0.4,120320,5,6,0.8006831368462601,0.6876825407984468,0.9473986037234042
20,0.6,120320,6,8,0.5667181999102665,0.5595129985458164,0.8493434175531915
20,0.8,120320,7,8,0.5060394692455713,0.5275917373970742,0.7924950132978723
