replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
1,0.4,0,76672,79178,0.937782088104741,0.9837098288814691
1,0.4,1,40087,39034,0.9162730993727143,0.9437473495148053
1,0.4,2,1511,0,0.0,0.0
1,0.4,3,1024,1033,0.9778846153846154,0.9931640625
1,0.4,4,1026,1075,0.7263763352506163,0.8615984405458089
1,0.6,0,43094,56880,0.6803482587064676,0.939295493572191
1,0.6,1,38842,39281,0.8989086312923847,0.9521136913650172
1,0.6,2,32866,23102,0.5923070357620416,0.6334509827785554
1,0.6,3,3367,0,0.0,0.0
1,0.6,4,1122,0,0.0,0.0
1,0.6,5,1029,1057,0.9679245283018868,0.9970845481049563
1,0.8,0,41582,59553,0.6417486445245284,0.9507238709056803
1,0.8,1,32058,20591,0.5410215132445485,0.5765799488427226
1,0.8,2,22820,19169,0.7272315919374743,0.774715162138475
1,0.8,3,17705,19938,0.7768704271890489,0.9295679186670432
1,0.8,4,3848,0,0.0,0.0
1,0.8,5,1267,0,0.0,0.0
1,0.8,6,1040,1069,0.9673507462686567,0.9971153846153846
2,0.4,0,76573,79390,0.9372841775768266,0.9854256722343385
2,0.4,1,40200,38875,0.912842594160478,0.9387064676616915
2,0.4,2,1486,0,0.0,0.0
2,0.4,3,1056,1051,0.9914933837429112,0.9933712121212122
2,0.4,4,1005,1004,0.693929173693086,0.8189054726368159
2,0.6,0,43069,44170,0.6890743286414064,0.8263484176553901
2,0.6,1,38943,39677,0.8895404729859643,0.950414708676784
2,0.6,2,32818,35399,0.6905062820608133,0.8490462551039064
2,0.6,3,3331,0,0.0,0.0
2,0.6,4,1097,0,0.0,0.0
2,0.6,5,1062,1074,0.9814471243042672,0.9962335216572504
2,0.8,0,41546,45178,0.6646000882934413,0.8334135656862273
2,0.8,1,32031,28954,0.6790099664115412,0.7699728388124005
2,0.8,2,22842,17818,0.3447101233587988,0.45630855441730145
2,0.8,3,17766,27284,0.5349756380115166,0.8837667454688731
2,0.8,4,3829,0,0.0,0.0
2,0.8,5,1235,0,0.0,0.0
2,0.8,6,1071,1086,0.9770852428964253,0.9953314659197012
3,0.4,0,76683,79283,0.9368883811037703,0.9838164912692513
3,0.4,1,40055,38948,0.9140642035130224,0.9419048807889152
3,0.4,2,1526,0,0.0,0.0
3,0.4,3,1052,1065,0.972972972972973,0.9923954372623575
3,0.4,4,1004,1024,0.7142857142857143,0.8416334661354582
