replicate,policy,n_states,n_cells,mapped_adjusted_rand_index,mapping_agreement,exact_saved_policy_agreement,agreement_reconstruction_delta
1,five_state,5,120320,0.8690179849097482,0.9605219414893617,0.9605219414893617,0.0
1,four_state_platelet_overlay_merged,4,120320,0.8970601789676784,0.9725149601063829,0.9725149601063828,1.1102230246251565e-16
1,three_state_identity_core,3,120320,0.898156410874648,0.9738031914893617,0.9738031914893616,1.1102230246251565e-16
1,two_compartment_asc_vs_conventional,2,120320,0.9950054093867815,0.9999168882978723,,
2,five_state,5,120320,0.8789058857900578,0.9630568484042553,0.9630568484042552,1.1102230246251565e-16
2,four_state_platelet_overlay_merged,4,120320,0.9052289227566789,0.9746343085106383,0.9746343085106384,-1.1102230246251565e-16
2,three_state_identity_core,3,120320,0.9054042783874318,0.9756981382978723,0.9756981382978724,-1.1102230246251565e-16
2,two_compartment_asc_vs_conventional,2,120320,0.9970806400318056,0.9999501329787234,,
3,five_state,5,120320,0.8531957530220916,0.9542885638297872,0.9542885638297872,0.0
3,four_state_platelet_overlay_merged,4,120320,0.8806253373075089,0.9661901595744681,0.966190159574468,1.1102230246251565e-16
3,three_state_identity_core,3,120320,0.8993435524901934,0.9740691489361702,0.9740691489361702,0.0
3,two_compartment_asc_vs_conventional,2,120320,0.9902066569784328,0.9998337765957447,,
4,five_state,5,120320,0.8816110368097624,0.9638547207446808,0.9638547207446808,0.0
4,four_state_platelet_overlay_merged,4,120320,0.9084921579288087,0.9756648936170212,0.9756648936170212,0.0
4,three_state_identity_core,3,120320,0.9090858941670524,0.9766373005319149,0.9766373005319148,1.1102230246251565e-16
4,two_compartment_asc_vs_conventional,2,120320,0.9936191323373585,0.999891954787234,,
5,five_state,5,120320,0.8928297642370593,0.9671126994680851,0.9671126994680852,-1.1102230246251565e-16
5,four_state_platelet_overlay_merged,4,120320,0.9043034915260972,0.9744680851063829,0.9744680851063828,1.1102230246251565e-16
5,three_state_identity_core,3,120320,0.9053485729988341,0.9757064494680852,0.9757064494680852,0.0
5,two_compartment_asc_vs_conventional,2,120320,0.9975132160534873,0.9999584441489362,,
6,five_state,5,120320,0.8924223329332743,0.9669963430851064,0.9669963430851064,0.0
6,four_state_platelet_overlay_merged,4,120320,0.9024730553647833,0.9741273271276596,0.9741273271276596,0.0
6,three_state_identity_core,3,120320,0.9034623308859934,0.9751745345744681,0.975174534574468,1.1102230246251565e-16
6,two_compartment_asc_vs_conventional,2,120320,0.9950754615343301,0.9999168882978723,,
7,five_state,5,120320,0.8734979739417059,0.9615275930851064,0.9615275930851064,0.0
7,four_state_platelet_overlay_merged,4,120320,0.9005695938392559,0.973296210106383,0.973296210106383,0.0
7,three_state_identity_core,3,120320,0.901526612315323,0.9746841755319149,0.9746841755319148,1.1102230246251565e-16
7,two_compartment_asc_vs_conventional,2,120320,0.9955407822662524,0.9999251994680851,,
8,five_state,5,120320,0.35156528582925295,0.7840342420212766,0.7840342420212766,0.0
8,four_state_platelet_overlay_merged,4,120320,0.33769655887011185,0.7935339095744681,0.7935339095744681,0.0
8,three_state_identity_core,3,120320,0.3248987221875242,0.7948886303191489,0.7948886303191489,0.0
8,two_compartment_asc_vs_conventional,2,120320,0.9951390482629269,0.9999168882978723,,
9,five_state,5,120320,0.41089643520986474,0.8046043882978723,0.8046043882978723,0.0
9,four_state_platelet_overlay_merged,4,120320,0.4086199869405556,0.813530585106383,0.813530585106383,0.0
9,three_state_identity_core,3,120320,0.40334620859506687,0.8146193484042553,0.8146193484042553,0.0
9,two_compartment_asc_vs_conventional,2,120320,0.9925473075262832,0.9998753324468085,,
10,five_state,5,120320,0.8949639286982776,0.9682430186170212,0.9682430186170212,0.0
10,four_state_platelet_overlay_merged,4,120320,0.9065211934573764,0.9749251994680851,0.9749251994680852,-1.1102230246251565e-16
10,three_state_identity_core,3,120320,0.906838633915938,0.9760804521276596,0.9760804521276596,0.0
10,two_compartment_asc_vs_conventional,2,120320,0.9964987164730231,0.9999418218085107,,
11,five_state,5,120320,0.7274909597553585,0.9196642287234043,0.9196642287234044,-1.1102230246251565e-16
11,four_state_platelet_overlay_merged,4,120320,0.7242154155573667,0.9243184840425532,0.9243184840425532,0.0
11,three_state_identity_core,3,120320,0.7226298304227221,0.9255568484042553,0.9255568484042552,1.1102230246251565e-16
11,two_compartment_asc_vs_conventional,2,120320,0.9980465157299568,0.9999667553191489,,
12,five_state,5,120320,0.886758041499536,0.9635638297872341,0.963563829787234,1.1102230246251565e-16
12,four_state_platelet_overlay_merged,4,120320,0.8934412850146665,0.9716090425531915,0.9716090425531916,-1.1102230246251565e-16
12,three_state_identity_core,3,120320,0.894151087445956,0.9727559840425531,0.9727559840425531,0.0
12,two_compartment_asc_vs_conventional,2,120320,0.9960931613501539,0.9999335106382978,,
13,five_state,5,120320,0.8749087723407154,0.9620013297872341,0.962001329787234,1.1102230246251565e-16
13,four_state_platelet_overlay_merged,4,120320,0.9016296442826744,0.9737367021276596,0.9737367021276596,0.0
13,three_state_identity_core,3,120320,0.9028873077078896,0.9750498670212766,0.9750498670212766,0.0
13,two_compartment_asc_vs_conventional,2,120320,0.9959813824022506,0.9999335106382978,,
14,five_state,5,120320,0.8916164519218048,0.9670960771276595,0.9670960771276595,0.0
14,four_state_platelet_overlay_merged,4,120320,0.906529390953191,0.975,0.975,0.0
14,three_state_identity_core,3,120320,0.9067208146106679,0.9760388962765958,0.9760388962765958,0.0
14,two_compartment_asc_vs_conventional,2,120320,0.9935530584217839,0.999891954787234,,
15,five_state,5,120320,0.8898290284435582,0.965342420212766,0.965342420212766,0.0
15,four_state_platelet_overlay_merged,4,120320,0.8993527848601905,0.9730634973404255,0.9730634973404256,-1.1102230246251565e-16
15,three_state_identity_core,3,120320,0.8995581806818032,0.9741688829787234,0.9741688829787234,0.0
15,two_compartment_asc_vs_conventional,2,120320,0.9955823292889079,0.9999251994680851,,
16,five_state,5,120320,0.8817915570534932,0.9638879654255319,0.963887965425532,-1.1102230246251565e-16
16,four_state_platelet_overlay_merged,4,120320,0.9077921859878033,0.9754155585106383,0.9754155585106384,-1.1102230246251565e-16
16,three_state_identity_core,3,120320,0.9085219835982338,0.9765043218085107,0.9765043218085108,-1.1102230246251565e-16
