replicate,policy,reference_state,reference_cells,mapped_cells,jaccard,recall
1,two_compartment_asc_vs_conventional,0,119296,119290,0.99991617629801,0.9999329399141631
1,two_compartment_asc_vs_conventional,3,1024,1030,0.9903100775193798,0.998046875
2,two_compartment_asc_vs_conventional,0,119264,119266,0.9999496931280812,0.999983230480279
2,two_compartment_asc_vs_conventional,3,1056,1054,0.994328922495274,0.9962121212121212
3,two_compartment_asc_vs_conventional,0,119268,119276,0.9998323301084824,0.9999496931280812
3,two_compartment_asc_vs_conventional,3,1052,1044,0.9810964083175804,0.9866920152091255
4,two_compartment_asc_vs_conventional,0,119273,119276,0.9998910136568272,0.9999580793641478
4,two_compartment_asc_vs_conventional,3,1047,1044,0.9876425855513308,0.9923591212989494
5,two_compartment_asc_vs_conventional,0,119289,119288,0.9999580856896162,0.9999748509921284
5,two_compartment_asc_vs_conventional,3,1031,1032,0.995164410058027,0.9980601357904947
6,two_compartment_asc_vs_conventional,0,119278,119278,0.9999161657570651,0.9999580811214138
6,two_compartment_asc_vs_conventional,3,1042,1042,0.9904489016236867,0.9952015355086372
7,two_compartment_asc_vs_conventional,0,119286,119283,0.999924552976385,0.9999497007192797
7,two_compartment_asc_vs_conventional,3,1034,1037,0.9913461538461539,0.9970986460348162
8,two_compartment_asc_vs_conventional,0,119268,119260,0.9999161559164578,0.9999245396921219
8,two_compartment_asc_vs_conventional,3,1052,1060,0.9905749293119699,0.9990494296577946
9,two_compartment_asc_vs_conventional,0,119291,119284,0.9998742612850496,0.9999077885171556
9,two_compartment_asc_vs_conventional,3,1029,1036,0.9855769230769231,0.9961127308066083
10,two_compartment_asc_vs_conventional,0,119296,119293,0.999941323408607,0.999958087446352
10,two_compartment_asc_vs_conventional,3,1024,1027,0.9931972789115646,0.998046875
11,two_compartment_asc_vs_conventional,0,119269,119269,0.9999664629289601,0.9999832311832916
11,two_compartment_asc_vs_conventional,3,1051,1051,0.9962013295346629,0.9980970504281637
12,two_compartment_asc_vs_conventional,0,119269,119269,0.9999329269826365,0.9999664623665832
12,two_compartment_asc_vs_conventional,3,1051,1051,0.9924170616113744,0.9961941008563273
13,two_compartment_asc_vs_conventional,0,119298,119300,0.9999329438488554,0.999974852889403
13,two_compartment_asc_vs_conventional,3,1022,1020,0.9921951219512195,0.9951076320939335
14,two_compartment_asc_vs_conventional,0,119291,119280,0.9998910237065353,0.9998994056550787
14,two_compartment_asc_vs_conventional,3,1029,1040,0.9875120076849183,0.9990281827016521
15,two_compartment_asc_vs_conventional,0,119274,119275,0.9999245466511288,0.9999664637724902
15,two_compartment_asc_vs_conventional,3,1046,1045,0.9914285714285714,0.9952198852772467
16,two_compartment_asc_vs_conventional,0,119297,119296,0.9999245605652929,0.9999580877976815
16,two_compartment_asc_vs_conventional,3,1023,1024,0.9912451361867705,0.9960899315738025
17,two_compartment_asc_vs_conventional,0,119256,119252,0.9999329185463449,0.9999496880660093
17,two_compartment_asc_vs_conventional,3,1064,1068,0.9925233644859813,0.9981203007518797
18,two_compartment_asc_vs_conventional,0,119269,119267,0.9999329264202831,0.9999580779582289
18,two_compartment_asc_vs_conventional,3,1051,1053,0.9924242424242424,0.9971455756422455
19,two_compartment_asc_vs_conventional,0,119283,119274,0.9999245491813586,0.9999245491813586
19,two_compartment_asc_vs_conventional,3,1037,1046,0.9913957934990439,1.0
20,two_compartment_asc_vs_conventional,0,119276,119270,0.9998993955348385,0.9999245447533451
20,two_compartment_asc_vs_conventional,3,1044,1050,0.9886039886039886,0.9971264367816092
