analysis_id,variant,term,estimate_log_odds,standard_error,z_value,p_value,odds_ratio,ci_low,ci_high,hc1_sandwich_standard_error,hc1_sandwich_z_value,hc1_sandwich_p_value,hc1_sandwich_ci_low,hc1_sandwich_ci_high
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,intercept,-4.226220896812052,0.1939173004029452,-21.793934259760686,2.6488671628138544e-105,0.014607489580819144,0.009988720170378485,0.021361971124840777,0.2235646716898453,-18.903795778051876,1.0613501354832208e-79,0.009424829336698054,0.02264006532435485
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,is_managed,-0.054822503502106,0.203162567401452,-0.2698454946859181,0.7872791209333905,0.9466531606629469,0.6357046974785294,1.40969889029869,0.1909034690182857,-0.2871739512332006,0.7739791305681175,0.6511642901582742,1.3762305767340612
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,age_centered,-0.011556742903803503,0.006900983032062569,-1.6746516909416915,0.0940025909899358,0.9885097797411615,0.9752292868352088,1.0019711239548077,0.005513760960622125,-2.0959818509251336,0.03608380095290991,0.9778844997011026,0.9992505095873726
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,ethnicity_asian,0.1841080718995677,0.20848611896671623,0.8830711263274063,0.37719784336030004,1.20214573424936,0.798895826732215,1.8089396865235343,0.20727195631105452,0.8882440016307628,0.3744095145264441,0.8007992700799631,1.8046399645564466
C3A_VALIDATION_C2_EUROPEAN_FEMALE,frozen_base50,intercept,-4.536123592437091,0.31474570424253895,-14.412027015122066,4.3476077023125374e-47,0.010714861323290406,0.005781887036062059,0.01985653688169226,0.5072111130059742,-8.94326539013285,3.778369381642246e-19,0.003964968478242572,0.02895565344525314
C3A_VALIDATION_C2_EUROPEAN_FEMALE,frozen_base50,is_managed,-0.2582935454775934,0.3723116473929659,-0.6937562853223629,0.4878350614190351,0.772368473554135,0.3723115130847988,1.6022954917444943,0.3643721860446355,-0.7088728376373726,0.4784033923632497,0.3781504940741034,1.5775546198901496
C3A_VALIDATION_C2_EUROPEAN_FEMALE,frozen_base50,age_centered,-0.021215870703311268,0.014907875274634707,-1.4231317550267826,0.15469796444593048,0.9790076026971211,0.9508154385069205,1.0080356789787106,0.013721153113145944,-1.546216307650178,0.12205233635368878,0.9530295858895208,1.0056937374553576
C3A_SECONDARY_C3_FLARE_VS_NORMAL,frozen_base50,intercept,-4.7310965711925945,0.4138561456644863,-11.431741731408527,2.902281690502967e-30,0.008816797490689239,0.003917683997696596,0.019842314499466766,0.46456612049733437,-10.183903566036605,2.3398259367699135e-24,0.0035470246014505,0.02191581021457681
C3A_SECONDARY_C3_FLARE_VS_NORMAL,frozen_base50,is_flare,0.8341542977726298,0.38004928561935986,2.1948582179630276,0.028173769780472015,2.3028656858960335,1.0933623772780412,4.850350146929202,0.27006184493323265,3.088752866880761,0.002009985615829341,1.3563985763696247,3.9097581342729644
C3A_SECONDARY_C3_FLARE_VS_NORMAL,frozen_base50,age_centered,0.0005259998136955745,0.018266569274710126,0.028795763768504457,0.9770274795035093,1.000526138175856,0.9653384864700877,1.036996418565677,0.017004463015141996,0.030933044649936108,0.9753229367059754,0.9677294276230973,1.034434341458275
C3A_SECONDARY_C3_FLARE_VS_NORMAL,frozen_base50,ethnicity_european,-0.15406019851449188,0.34546382860824526,-0.4459517487985568,0.6556321004220846,0.8572204160625633,0.4355397107452121,1.687163819017052,0.3114338970844323,-0.4946802514330188,0.620825843880082,0.4655803268437913,1.578303032466874
