analysis_id,variant,term,estimate_log_odds,standard_error,z_value,p_value,odds_ratio,ci_low,ci_high,hc1_sandwich_standard_error,hc1_sandwich_z_value,hc1_sandwich_p_value,hc1_sandwich_ci_low,hc1_sandwich_ci_high,n_strata,reference_n,exposed_n,converged,hessian_positive_definite
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,minimum_cells_20,is_managed,-0.0026527427187183887,0.20285737696059336,-0.013076885634943927,0.9895664522140395,0.9973507726940652,0.6701503414389319,1.4843065835908293,0.18286409974250672,-0.014506634831296846,0.988425785991327,0.6969327357811712,1.427266237793393,94,44,50,True,True
C3A_VALIDATION_C2_EUROPEAN_FEMALE,minimum_cells_20,is_managed,-0.23969754334736917,0.3620395591437978,-0.6620755585777414,0.5079227989348247,0.7868658178802744,0.3870137413303292,1.5998341899181332,0.34733115623346433,-0.6901124159050464,0.4901234958518661,0.3983331316650555,1.5543718715043304,68,21,47,True,True
C3A_SECONDARY_C3_FLARE_VS_NORMAL,minimum_cells_20,is_flare,0.8702519445368004,0.3810599641982584,2.2837664050270696,0.02238526304455688,2.3875122984358503,1.131307919985169,5.038606089893866,0.26096712938650024,3.3347186160289595,0.0008538575332638737,1.431547992390567,3.981853913024284,37,18,19,True,True
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,minimum_cells_100,is_managed,-0.1276033024477105,0.20093469055252325,-0.6350486424063031,0.525396690905601,0.8802024840664799,0.5936678471324082,1.3050334740193614,0.19181946932836802,-0.6652260216050935,0.505905939300595,0.6043695306988965,1.281925003831462,87,41,46,True,True
C3A_VALIDATION_C2_EUROPEAN_FEMALE,minimum_cells_100,is_managed,-0.2748238768391657,0.3765652952437512,-0.7298173259999221,0.4655018524096195,0.7597059132496077,0.36316723238949356,1.589221226895903,0.3696600912199983,-0.7434502218839953,0.4572091480608125,0.3681158223701225,1.5678572871722993,62,21,41,True,True
C3A_SECONDARY_C3_FLARE_VS_NORMAL,minimum_cells_100,is_flare,0.8397711375804884,0.3568962257571113,2.3529840804536883,0.018623431385970158,2.315836908089024,1.1505666211748762,4.661269053147846,0.31970526083324396,2.626704156796804,0.008621625602820532,1.2375688203857582,4.333577653641612,33,18,15,True,True
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,exclude_explicit_non_b_ct_cov,is_managed,-0.05509706694992772,0.2031679668607379,-0.2711897342935669,0.7862451080937967,0.946393279985764,0.6355234544218242,1.4093268063836466,0.19095757829790141,-0.2885304026215399,0.7729407616276763,0.6509164927066237,1.3759986886764874,90,43,47,True,True
C3A_VALIDATION_C2_EUROPEAN_FEMALE,exclude_explicit_non_b_ct_cov,is_managed,-0.25819099491662423,0.3723295433685718,-0.6934475104518876,0.488028755359293,0.7724476844358636,0.37233663544646844,1.602516025517754,0.3643935809498458,-0.7085497890594318,0.47860390464297276,0.37817341694595424,1.5777825686663745,64,21,43,True,True
C3A_SECONDARY_C3_FLARE_VS_NORMAL,exclude_explicit_non_b_ct_cov,is_flare,0.834154709640266,0.3800387476541646,2.194920162191848,0.02816932525185833,2.302866634372075,1.0933854105979992,4.850251964495961,0.27004350693394624,3.088964141782915,0.0020085568009104247,1.356447888249451,3.909619220645585,34,18,16,True,True
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,exclude_residual_doublet_auto_call,is_managed,-0.05348971030910847,0.20320227586108544,-0.2632338150861828,0.7923703689117979,0.9479156947131115,0.6365029851842603,1.411688845455018,0.1909325926527845,-0.2801497092032935,0.779362648511406,0.6519955176111984,1.3781446958033625,90,43,47,True,True
C3A_VALIDATION_C2_EUROPEAN_FEMALE,exclude_residual_doublet_auto_call,is_managed,-0.26271641647435084,0.3726840971442009,-0.7049305792425568,0.4808534390163076,0.7689599307626003,0.37039797367053334,1.5963893356619172,0.36368150834848295,-0.7223804632448169,0.47006059502236286,0.37699167544058326,1.5684679891867168,64,21,43,True,True
C3A_SECONDARY_C3_FLARE_VS_NORMAL,exclude_residual_doublet_auto_call,is_flare,0.8353018840734537,0.38009939248000646,2.1975880535441563,0.027978475321972392,2.3055099399744865,1.0945103286612061,4.856396457969359,0.2699652660938219,3.0941087205757745,0.0019740513223788624,1.3582131322711213,3.9135066191217813,34,18,16,True,True
