analysis_id,variant,n_strata,n_donors,reference_n,exposed_n,total_b_cells,total_asc_cells,zero_asc_strata,design_rank,design_columns,converged,optimizer_status,optimizer_message,negative_log_likelihood,aic,kappa,intraclass_rho,pearson_chi2_over_df,gradient_norm,hessian_positive_definite,hessian_condition_number,uncertainty_primary,uncertainty_audit
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,90,90,43,47,38846,481,13,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,254.21720070485705,518.4344014097142,53.797574848898755,0.018248982783589312,2.1083485812462435,0.003173508824319095,True,1701.9930464644583,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_VALIDATION_C2_EUROPEAN_FEMALE,frozen_base50,64,64,21,43,27045,171,19,3,3,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,144.84255556829277,297.68511113658553,52.461800474494986,0.018704944299005977,5.441012165841698,0.0033771222425992855,True,1807.5721923087287,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_SECONDARY_C3_FLARE_VS_NORMAL,frozen_base50,34,34,18,16,15082,150,3,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,91.08845127689197,192.17690255378395,88.80186343739744,0.011135626385939292,2.0756257045653594,0.001233632341875606,True,1267.9186285106284,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_VALIDATION_C2_EUROPEAN_FEMALE,exclude_primary_sample_or_donor_overlap,53,53,21,32,22151,125,16,3,3,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,103.2455588971655,214.491117794331,205.5127629203996,0.004842315728376799,1.280124067358034,0.0033980575572442285,True,1882.5970064314458,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_SECONDARY_C3_FLARE_VS_NORMAL,exclude_primary_sample_or_donor_overlap,30,30,15,15,13049,120,3,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78.32248468612846,166.64496937225692,82.89992030717795,0.01191896245358467,2.356691900590405,0.002145717185825082,True,924.8126078562167,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,minimum_cells_20,94,94,44,50,39001,491,15,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,265.41145934310623,540.8229186862125,45.871758107551635,0.021334808856655355,2.226122586139076,0.0016283928219914517,True,1762.675526430609,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_VALIDATION_C2_EUROPEAN_FEMALE,minimum_cells_20,68,68,21,47,27200,172,22,3,3,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,147.2195668794468,302.4391337588936,53.93342798162873,0.018203852130517468,5.237904899254937,0.0023536024308735996,True,1731.9344415570517,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_SECONDARY_C3_FLARE_VS_NORMAL,minimum_cells_20,37,37,18,19,15180,155,4,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,97.64229508885836,205.28459017771672,77.67207952125585,0.012710989795684975,1.9088618401431845,0.0013112807787904763,True,1410.6652634078648,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,minimum_cells_100,87,87,41,46,38598,469,12,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,241.8083250067873,493.6166500135746,65.67052568664546,0.01499913177076248,1.802867033287601,0.010992772840000454,True,1694.0749113556037,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
C3A_VALIDATION_C2_EUROPEAN_FEMALE,minimum_cells_100,62,62,21,41,26891,170,18,3,3,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,142.77408046480807,293.54816092961613,51.08153878083237,0.019200661566628505,5.527700316620717,0.0014983767868185023,True,1812.887891778568,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores
