analysis,minimum_basc_cells,disease_state,total_strata,eligible_strata,eligible_donors
primary_c4,1,managed,51,43,43
primary_c4,1,na,44,37,37
primary_c4,5,managed,51,16,16
primary_c4,5,na,44,18,18
primary_c4,10,managed,51,9,9
primary_c4,10,na,44,7,7
primary_c4,20,managed,51,4,4
primary_c4,20,na,44,1,1
primary_c4,50,managed,51,0,0
primary_c4,50,na,44,0,0
validation_c2_european_female,1,managed,47,27,27
validation_c2_european_female,1,na,21,19,19
validation_c2_european_female,5,managed,47,5,5
validation_c2_european_female,5,na,21,6,6
validation_c2_european_female,10,managed,47,1,1
validation_c2_european_female,10,na,21,1,1
validation_c2_european_female,20,managed,47,1,1
validation_c2_european_female,20,na,21,0,0
validation_c2_european_female,50,managed,47,0,0
validation_c2_european_female,50,na,21,0,0
flare_c3,1,flare,19,18,18
flare_c3,1,na,18,15,15
flare_c3,5,flare,19,9,9
flare_c3,5,na,18,2,2
flare_c3,10,flare,19,4,4
flare_c3,10,na,18,1,1
flare_c3,20,flare,19,1,1
flare_c3,20,na,18,0,0
flare_c3,50,flare,19,0,0
flare_c3,50,na,18,0,0
