relative_path,size_bytes,sha256,distribution
00_GATE_C4A_RUN_STATUS.json,306,549F5B78ED1CB39CF9F3191314B38FC91E1F5B5F493CD131EE83CF09FAF2359A,git_trackable
00_GATE_C4A_RUN_STATUS.md,428,1E48839CCF9459EEF73D5B4127DE6355EC5378F9FF6B4975990DFD25EF24B92B,git_trackable
01_raw_input_and_cell_id_audit.json,1088,C83D17C9370E436A1FB306A8DBAEBB0791E9AF1F7C4965D05F98527F264E3999,git_trackable
01_raw_input_and_cell_id_audit.md,481,0B6FA92E594E60591180A9D42A243C62DB2C4C4C23CA6AB3F251B60F1837D946,git_trackable
02_pseudobulk_counts_all_branches.npz,24099636,28DF02DD8C46232000F5492B3A6B026AD2D94DC1C77319B2925C5AA770DE4B11,local_only_recomputable
03_pseudobulk_row_metadata.csv,248344,1262AF43E9F572F4B063CD770BACE939AE171781210220B563D1F15FE69909C7,git_trackable
04_gene_universe.csv.gz,284866,4EB3798F120E61B809200CBCE63459D08A5425125834A0862CD7B560B13F1386,local_only_recomputable
05_compartment_support_audit.csv,126731,984A2220EEF0DB52FCB91676A37A482B9FDFBADD0A643FF20DA633A216BB3F4F,git_trackable
06_primary_bconv_model_matrix.csv,21482,E3CDB2B7038712534D032FF008F7386976BF63EDCD3E07589EE0C97CC3295876,git_trackable
07_validation_bconv_model_matrix.csv,16504,70E235D47D5FF544FFD4122845693A60218EC55F1A71A5B0AF8E062A86B29BAD,git_trackable
08_flare_bconv_model_matrix.csv,8978,EB2421EA19CD282C721E126DEA34DF66E45F92A6BE1F0FACF645F9BC22BC5A27,git_trackable
09_replication_nonoverlap_audit.csv,187,BF92E753D269FC940B99330676A860100A440E2148DD8B9E3D53D5AA48735410,git_trackable
10_basc_pseudobulk_support.csv,1080,7B0AFE983D92251CC68AEB4B2786AD124D637984E90BCE0B6BEF178127E07654,git_trackable
11_program_dictionary.csv,14689,B32D20C3739916BA4FB2C825520E003E72C13EE48EFA678782F0B9AE2B2E9BE0,git_trackable
12_program_gene_availability.csv,10478,133E6B5D47BCE7CA8ABF0669E252E83B5E8B2C27B013D23D89F84EBB7FFFBBDE,git_trackable
13_GATE_C4A_FREEZE_CONTRACT.json,2904,0A0C72F908A1184718549C48784056C33B41A4DCE4C5CECA360EB6DAFFC44B68,git_trackable
13_GATE_C4A_FREEZE_CONTRACT.md,960,DF66CB8C9627978EF229C36544097124699F21737C31567E3122CB57EA394FD9,git_trackable
14_GATE_C4A_ADVISOR_DECISION.json,3616,7174C04828697E94570F91E606D9658D0F518044F662E0A2A5B9B5C0F4ABA593,git_trackable
14_GATE_C4A_ADVISOR_DECISION.md,2623,DF62021D3DF47E50B1584AC2F0F3AC5B4327298C45D11AEEE942F190469FD1B4,git_trackable
14_gene_count_conservation_audit.json,417,5CA220D705B4BF63635B275AE233E80EB7C9F917FF5FD3D79E3788B52D02178F,git_trackable
14_gene_count_conservation_audit.md,331,50CA923C09ECE91578284908881D5D66B9CD3E4249CF9D9863878E3DDD16554F,git_trackable
figures/gate_c4a_raw_pseudobulk_and_program_freeze.pdf,31941,F8CED3B413F49FAAADDD493EF570EABB4DC7E7A524ECB02712C5088235761097,git_trackable
figures/gate_c4a_raw_pseudobulk_and_program_freeze.png,242678,83FEFAA3BF1E75CC3F85C5B763C4C6A77BC6F739A9BCFFD9B43E8FF6B0F436D7,git_trackable
