"analysis_name","program_id","program_label","analysis_family","publication_role","positive_available","positive_total","negative_available","negative_total","availability_pass","effect","se_hc3","ci_low","ci_high","statistic","df","p_value","q_value_primary4"
"primary_base","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,-0.54071793846408,0.21998114527191,-0.978099389858302,-0.103336487069858,-2.4580194716039,85,0.0160010752151502,0.0213347669535336
"primary_base","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,-0.0568095515021531,0.176211640205524,-0.40716550064672,0.293546397642414,-0.32239386362838,85,0.747945959835198,0.747945959835198
"primary_base","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.267679688655413,0.108354633660698,0.052241647921395,0.48311772938943,2.47040370690214,85,0.0154941551722226,0.0213347669535336
"primary_base","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,0.836556476435973,0.156481030828288,0.525430264711135,1.14768268816081,5.34605678405811,85,7.44251044920975e-07,2.9770041796839e-06
"primary_base","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,-0.4356702406767,0.110914094761799,-0.656197175778472,-0.215143305574928,-3.92799708289874,85,0.000173701696345173,NA
"primary_base","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.334661559660616,0.0894399517462459,0.156830973957244,0.512492145363988,3.74174575373318,85,0.000331163413877907,NA
"primary_base","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",10,10,0,0,TRUE,0.0150762078641597,0.0993395653794576,-0.182437461922551,0.212589877650871,0.151764383169702,85,0.879732408392451,NA
"primary_base","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",10,10,0,0,TRUE,-0.0359215944171226,0.0792407228885208,-0.193473380701664,0.121630191867419,-0.453322396713349,85,0.651471774035226,NA
"primary_base","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,0.408920593284872,0.145800805179712,0.119029531461712,0.698811655108032,2.80465250367336,85,0.00624119286644489,NA
"primary_min20","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,-0.352326323889002,0.200552247184246,-0.750758367450872,0.0461057196728687,-1.75678073337828,90,0.0823563052608232,0.164712610521646
"primary_min20","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,0.110671373469667,0.163504441404029,-0.214158737559708,0.435501484499042,0.676870747481358,90,0.500224011087438,0.500224011087438
"primary_min20","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.165248988378644,0.142447747737661,-0.117748325432359,0.448246302189648,1.16006740017382,90,0.249089534962252,0.33211937994967
"primary_min20","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,0.813036553044015,0.142914204634987,0.529112541190759,1.09696056489727,5.68898350671699,90,1.57232627837433e-07,6.2893051134973e-07
"primary_min20","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,-0.408612885092477,0.117344805491199,-0.641738822645679,-0.175486947539276,-3.4821557152193,90,0.000769698246898593,NA
"primary_min20","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.295405846262277,0.108584184727164,0.0796844109417448,0.511127281582809,2.72052368403864,90,0.00782323425320884,NA
