member_name,sample_id,accession,role,size_bytes,sha256_compressed_member
GSM4029896_JB17001_barcodes.tsv.gz,JB17001,GSM4029896,barcodes,19412,FADECEE044D976E822655710B60D9A49BA663B3BDE0B640BCC439BDE9A846750
GSM4029896_JB17001_matrix.mtx.gz,JB17001,GSM4029896,matrix,14878134,F5B3B59E8BBBE71DAF465FCE86E93DEEFE721C060D79F372240C65A625FFF92A
GSM4029897_JB17002_barcodes.tsv.gz,JB17002,GSM4029897,barcodes,21644,11BFACE7586FD33082EF0FE5299AEBA119DA854ACDEAACAFA491684DED3E03A7
GSM4029897_JB17002_matrix.mtx.gz,JB17002,GSM4029897,matrix,15986553,1F401BF444D76F3E831D62D8ACB395CE5B635525B581F6835696651FCCF7AB26
GSM4029898_JB17003_barcodes.tsv.gz,JB17003,GSM4029898,barcodes,16587,5ACFCF6AFD5CB80E81B54626BC0D57AA06E2DF66F5711B6805C9F18E3AB7751E
GSM4029898_JB17003_matrix.mtx.gz,JB17003,GSM4029898,matrix,15618963,5C114F169D3977841ECE5E3D3D2764702615FD79D70BF9B6FB7A5DE0A4147F67
GSM4029899_JB17004_barcodes.tsv.gz,JB17004,GSM4029899,barcodes,25125,FB59300EFB0997E491EE36DEA8D1B16786F0A1C330F222C2A7CE119E814453AC
GSM4029899_JB17004_matrix.mtx.gz,JB17004,GSM4029899,matrix,21625171,85A6F493D5054101FFD98EAB3E3141CF84A36AA86810DCD53E9F04FA7BE2B3ED
GSM4029900_JB17005_barcodes.tsv.gz,JB17005,GSM4029900,barcodes,17845,EB1A47D3B81EE855F1D61C1CCF352000F05CD1DDACA076D2B0EE45F8B91126B0
GSM4029900_JB17005_matrix.mtx.gz,JB17005,GSM4029900,matrix,14048820,71A601AE84A39F1781FFE916B0559175841D4347DFD3EE2D98D08191F15DEFC7
GSM4029901_JB17006_barcodes.tsv.gz,JB17006,GSM4029901,barcodes,22380,5CB2A98EA9DE72310C7CCE3CB74C90E1E5BA5B80BEA76ACCE3C985ED94937ECA
GSM4029901_JB17006_matrix.mtx.gz,JB17006,GSM4029901,matrix,18330927,BCB6ED64E2F1A639BDBFCED724A0118786983798E06F3934317BD6B406267CC0
GSM4029902_JB17007_barcodes.tsv.gz,JB17007,GSM4029902,barcodes,16839,540472AB6910B1C5E7FC43B0AFA44D2F4D0359E58DBAD78E50297CBC800F1EC7
GSM4029902_JB17007_matrix.mtx.gz,JB17007,GSM4029902,matrix,13891766,E23604759B382792E69AA4D6249E7E1E68EF18D94268B0D1378900D7DF70E252
GSM4029903_JB17008_barcodes.tsv.gz,JB17008,GSM4029903,barcodes,25608,20188AAB27279699FD10DADF5E5A4B982BAC608EB4C067A20C8EF01ABF6F7C4F
GSM4029903_JB17008_matrix.mtx.gz,JB17008,GSM4029903,matrix,22041596,7B544F0F6741D3BCCF2BE0518635625F470EA10AE76DB544DBCF07923C9449C9
GSM4029907_JB17010_barcodes.tsv.gz,JB17010,GSM4029907,barcodes,52187,0D0355C970A0478D3ED1499FB3505A797E3D88AB60E33DDF9B2F3162909AD8F1
GSM4029907_JB17010_matrix.mtx.gz,JB17010,GSM4029907,matrix,45455842,FC991DB6813FBA94910B5A481FCFF948F841DDEA9B7DAB81FE49639A4DF598F6
GSM4029906_JB17014_barcodes.tsv.gz,JB17014,GSM4029906,barcodes,53417,B04667DF91735733BEE2BA947CF4D0D485FCF845BA5F71A651C4FB1C3D659AE3
GSM4029906_JB17014_matrix.mtx.gz,JB17014,GSM4029906,matrix,47569441,11D94DA75CA427EB0AB50765A5A4762B113227F1CDC3A7DE12E3082C647B5B98
GSM4029904_JB17015_barcodes.tsv.gz,JB17015,GSM4029904,barcodes,52471,1EBD6D4C902B493972A6D3668B4C563230E892123F739CADBD2971419A2E5A44
GSM4029904_JB17015_matrix.mtx.gz,JB17015,GSM4029904,matrix,44714419,146D0FF074F884A87FBA05144DDF677823C2CDCF4B6B0441C41C2B9B6F2F8F87
