sample_id,accession,donor_name,cohort,metadata_cells,matrix_barcodes,matched_metadata_cells,unmatched_metadata_cells,unannotated_matrix_barcodes,matrix_genes,matrix_nnz,matrix_total_umi,integer_nonnegative,bconv_cells,bconv_library_size_umi,basc_control_cells,basc_control_library_size_umi
JB17001,GSM4029896,cSLE1,childhood,4221,4644,4221,0,423,32738,4587909,12140606,True,1340,3236607,0,0
JB17002,GSM4029897,cSLE2,childhood,4819,5205,4819,0,386,32738,4908148,13314062,True,977,2146070,0,0
JB17003,GSM4029898,cSLE3,childhood,3685,3894,3685,0,209,32738,4867643,13219152,True,399,1061522,10,90666
JB17004,GSM4029899,cSLE4,childhood,5826,6171,5826,0,345,32738,6683476,17996746,True,438,1084844,0,0
JB17005,GSM4029900,cSLE5,childhood,3916,4234,3916,0,318,32738,4306690,13031948,True,373,936948,4,24435
JB17006,GSM4029901,cSLE6,childhood,5096,5438,5096,0,342,32738,5617042,16926643,True,386,1035575,0,0
JB17007,GSM4029902,cSLE7,childhood,3575,3974,3575,0,399,32738,4295907,12213684,True,386,998577,0,0
JB17008,GSM4029903,cSLE8,childhood,5712,6260,5712,0,548,32738,6786957,20664055,True,536,1536767,1,8594
JB17010,GSM4029907,cHD1,childhood,12170,13454,12170,0,1284,32738,13819740,48864377,True,1761,4834285,15,99772
JB17014,GSM4029906,cSLE9,childhood,11922,13834,11922,0,1912,32738,14457983,53862146,True,616,1812163,2,7883
JB17015,GSM4029904,cSLE10,childhood,12107,13538,12106,1,1432,32738,13530612,51665421,True,1355,4508126,10,83118
JB17016,GSM4029905,cSLE11,childhood,8711,10253,8710,1,1543,32738,14328418,49510604,True,1604,4509045,76,540845
JB17017,GSM4029914,cHD2,childhood,7992,8869,7992,0,877,32738,9439588,39609407,True,1157,3882960,22,169337
JB17018,GSM4029915,cHD3,childhood,8176,9009,8176,0,833,32738,11237913,42940994,True,735,2795727,4,22067
JB17019,GSM4029908,cSLE12,childhood,2750,5545,2749,1,2796,32738,6766932,32053384,True,106,505692,2,14318
JB17020,GSM4029909,cSLE13,childhood,4937,5350,4937,0,413,32738,7678901,30919291,True,558,2549546,62,665993
JB17021,GSM4029910,cSLE14,childhood,4125,4463,4125,0,338,32738,6825484,22613021,True,23,119150,2,17633
JB17022,GSM4029911,cSLE15,childhood,5824,6443,5824,0,619,32738,7504041,30734851,True,464,1771062,0,0
JB17023,GSM4029912,cSLE16,childhood,4995,5570,4995,0,575,32738,7301462,27735530,True,573,2371134,1,4605
JB17024,GSM4029913,cSLE17,childhood,5656,6141,5656,0,485,32738,9262189,35112083,True,1007,4529794,2,16094
JB18063,GSM4029916,cSLE18,childhood,2834,3059,2834,0,225,32738,4766131,14737716,True,755,2296597,110,858455
JB18064,GSM4029917,cSLE19,childhood,6182,6717,6181,1,536,32738,7688383,22829102,True,301,876816,74,483333
JB18065,GSM4029918,cSLE20,childhood,4864,5477,4864,0,613,32738,5073847,16080812,True,216,681960,10,92745
JB18066,GSM4029919,cSLE21,childhood,2379,2965,2379,0,586,32738,3005311,9049133,True,370,1213538,7,53794
JB18067,GSM4029920,cSLE22,childhood,3466,5126,3466,0,1660,32738,4403753,15211999,True,309,845072,1,7455
JB18068,GSM4029921,cSLE23,childhood,3037,4007,3037,0,970,32738,4238758,13558501,True,400,1155332,52,390479
JB18069,GSM4029922,cHD4,childhood,5565,6031,5565,0,466,32738,6583615,20262498,True,446,1450147,4,30519
JB18070,GSM4029923,cHD5,childhood,5058,5615,5058,0,557,32738,5823496,17367038,True,469,1285760,5,50991
JB18071,GSM4029924,cSLE24,childhood,5246,5591,5246,0,345,32738,6496528,19989796,True,1039,3689654,29,240100
JB18072,GSM4029925,cSLE25,childhood,4615,4920,4615,0,305,32738,4845479,15646035,True,606,1870252,15,125481
JB18073,GSM4029926,cSLE26,childhood,5319,5690,5319,0,371,32738,6827259,22379643,True,829,2684845,13,112549
JB18074,GSM4029927,cSLE27,childhood,5450,6041,5450,0,591,32738,8463832,27346945,True,687,2294314,86,717777
JB18075,GSM4029928,cSLE28,childhood,3734,4974,3734,0,1240,32738,4837191,16154031,True,155,479279,1,4733
JB18076,GSM4029929,cSLE29,childhood,5176,5777,5176,0,601,32738,5539456,18518479,True,142,439340,9,69769
JB18077,GSM4029930,cHD6,childhood,7221,7967,7221,0,746,32738,8690638,30470427,True,935,2870171,12,106635
JB18078,GSM4029931,cHD7,childhood,6461,7191,6461,0,730,32738,8028264,27897363,True,790,2473841,9,89789
JB18079,GSM4029932,cSLE30,childhood,7036,7653,7036,0,617,32738,7537642,26613848,True,592,1571051,12,95197
JB18080,GSM4029933,cSLE31,childhood,3872,4534,3872,0,662,32738,5117051,16241784,True,237,748755,0,0
JB18081,GSM4029934,cSLE32,childhood,5988,6896,5988,0,908,32738,6766227,21492025,True,821,1683825,3,12629
JB18082,GSM4029935,cSLE33,childhood,7113,7666,7113,0,553,32738,7634339,26513631,True,991,3061099,10,88051
JB18083,GSM4029938,cHD8,childhood,6826,7405,6826,0,579,32738,8531796,27690514,True,722,2129308,14,111055
JB18084,GSM4029939,cHD9,childhood,6792,7325,6792,0,533,32738,8126663,26855108,True,849,2270329,11,84362
JB18085,GSM4029936,cHD10,childhood,5700,6272,5700,0,572,32738,7062895,25179722,True,1014,3359770,10,95356
JB18086,GSM4029937,cHD11,childhood,6199,6669,6199,0,470,32738,6816482,23433714,True,727,1961383,13,90878
JB19001,GSM4029940,aHD1,adult,6586,7221,6586,0,635,32738,7711184,25381553,True,338,1065298,12,85005
JB19003,GSM4029942,aHD3,adult,6807,7206,6807,0,399,32738,8114168,26915146,True,404,1369764,0,0
JB19004,GSM4029943,aSLE1,adult,3855,4454,3855,0,599,32738,6338442,19748233,True,64,286719,7,54969
JB19006,GSM4029944,aSLE2,adult,3846,4825,3846,0,979,32738,6509488,21470822,True,53,212169,15,152240
JB19007,GSM4029945,aSLE3,adult,6825,7486,6825,0,661,32738,8943755,30814088,True,270,1054849,24,203128
JB19008,GSM4029946,aSLE4,adult,5692,6220,5692,0,528,32738,6984887,22749606,True,89,327436,20,227550
JB19009,GSM4029947,aHD4,adult,6103,6666,6103,0,563,32738,6704260,21676846,True,580,1798011,11,93282
JB19010,GSM4029948,aHD5,adult,7501,8228,7501,0,727,32738,8623329,27601021,True,490,1423831,6,47409
JB19011,GSM4029949,aHD6,adult,10907,12297,10907,0,1390,32738,11120876,35071111,True,414,1059778,25,153126
JB19013,GSM4029950,aSLE5,adult,4316,4592,4316,0,276,32738,5361573,16981042,True,132,455045,3,22543
JB19014,GSM4029951,aSLE6,adult,3360,3782,3360,0,422,32738,4821415,16071198,True,21,79236,3,25032
JB19015,GSM4029952,aSLE7,adult,2964,6249,2964,0,3285,32738,4608701,24299463,True,128,410896,1,12660
