sample_id,childhood_only_cells,extended_version_cells,shared_cells,childhood_only_unique_cells,extended_unique_cells,overlap_over_smaller,jaccard
JB17001,4214,4221,4200,14,21,0.9966777408637874,0.9917355371900827
JB17002,4820,4819,4804,16,15,0.9968873210209587,0.99358841778697
JB17003,3662,3685,3657,5,28,0.9986346258874932,0.9910569105691057
JB17004,5830,5826,5818,12,8,0.9986268451767937,0.9965741692360397
JB17005,3867,3916,3857,10,59,0.9974140160331006,0.9824248599083036
JB17006,5069,5096,5058,11,38,0.9978299467350562,0.9904053260231055
JB17007,3590,3575,3558,32,17,0.9952447552447552,0.9864153035763793
JB17008,5646,5712,5626,20,86,0.9964576691462983,0.9815073272854152
JB17010,11981,12170,11962,19,208,0.9984141557465988,0.9813766510788415
JB17014,12016,11922,11784,232,138,0.98842476094615,0.9695573473753497
JB17015,11843,12107,11742,101,365,0.9914717554673647,0.9618283093053736
JB17016,8772,8711,8642,130,69,0.9920789805992424,0.9774912340233005
JB17017,7871,7992,7868,3,124,0.9996188540210901,0.98411507191995
JB17018,8117,8176,8106,11,70,0.9986448195145989,0.9901062660315134
JB17019,3369,2750,2633,736,117,0.9574545454545454,0.75530694205393
JB17020,4898,4937,4889,9,48,0.9981625153123724,0.9884755357864942
JB17021,4111,4125,4087,24,38,0.9941620043784967,0.985056640154254
JB17022,5817,5824,5807,10,17,0.9982809008079766,0.9953719574905725
JB17023,4912,4995,4907,5,88,0.9989820846905537,0.9814
JB17024,5627,5656,5612,15,44,0.997334281144482,0.9895961911479457
JB18063,2761,2834,2761,0,73,1.0,0.9742413549753
JB18064,6170,6182,6153,17,29,0.9972447325769854,0.9925794482981126
JB18065,4846,4864,4824,22,40,0.9954601733388362,0.9873106835857552
JB18066,2416,2379,2331,85,48,0.9798234552332913,0.9460227272727273
JB18067,3763,3466,3173,590,293,0.915464512406232,0.7822978303747534
JB18068,3147,3037,2934,213,103,0.9660849522555153,0.9027692307692308
JB18069,5513,5565,5496,17,69,0.9969163794667151,0.9845933357219635
JB18070,5080,5058,5027,53,31,0.9938710952945828,0.9835648601056545
JB18071,5186,5246,5172,14,74,0.9973004242190513,0.9832699619771863
JB18072,4576,4615,4559,17,56,0.996284965034965,0.9842400690846287
JB18073,5281,5319,5272,9,47,0.9982957773149025,0.9894894894894894
JB18074,5350,5450,5331,19,119,0.9964485981308411,0.9747668678003292
JB18075,3960,3734,3640,320,94,0.9748259239421532,0.8978786383818451
JB18076,5142,5176,5115,27,61,0.9947491248541424,0.9830866807610994
JB18077,7200,7221,7183,17,38,0.9976388888888889,0.9924012158054711
JB18078,6442,6461,6409,33,52,0.9948773672772431,0.9869109947643979
JB18079,6998,7036,6985,13,51,0.9981423263789654,0.9909206979713434
JB18080,3826,3872,3798,28,74,0.992681651855724,0.9738461538461538
JB18081,6102,5988,5941,161,47,0.9921509686038744,0.9661733615221987
JB18082,7081,7113,7068,13,45,0.9981641011156617,0.9918607914678642
JB18083,6807,6826,6772,35,54,0.9948582341707066,0.9870281300102026
JB18084,6761,6792,6747,14,45,0.9979293003993492,0.9913311783720247
JB18085,5659,5700,5655,4,45,0.999293161335925,0.9914095371669004
JB18086,6180,6199,6173,7,26,0.9988673139158576,0.9946825652594263
