source_label,frozen_compartment,publication_role,disease_blind_rule,metadata_cells,metadata_samples
B-caSC0,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,6517,58
B-caSC1,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,6393,56
B-caSC2,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,6124,58
B-caSC3,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,4166,53
B-caSC4,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,3335,56
B-caSC5,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,2876,58
B-caSC6,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,1722,57
B-caSC7,B_CONV_ANALOG,primary conventional-B source annotation,prefix mapping from source annotation only,1659,56
Eryth,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,843,35
Mono-caSC0,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,18578,58
Mono-caSC1,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,17540,58
Mono-caSC2,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,11979,57
Mono-caSC3,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,6343,58
Mono-caSC4,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,5586,58
Mono-caSC5,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,4689,56
NK-caSC0,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,8590,56
NK-caSC1,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,5812,55
NK-caSC2,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,4087,58
NK-caSC3,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,3741,55
PC-caSC0,B_ASC_CONTROL,plasma-cell/ASC identity control only,prefix mapping from source annotation only,348,33
PC-caSC1,B_ASC_CONTROL,plasma-cell/ASC identity control only,prefix mapping from source annotation only,506,47
T-caSC0,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,62131,58
T-caSC1,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,35863,58
T-caSC2,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,30932,58
T-caSC3,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,22201,57
T-caSC4,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,18599,58
T-caSC5,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,17581,58
T-caSC6,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,10410,57
T-caSC7,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,9882,58
cDC-caSC0,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,762,51
cDC-caSC1,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,673,46
cDC-caSC2,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,386,48
cDC-caSC3,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,251,36
mgk,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,484,57
pDC-caSC0,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,290,44
pDC-caSC1,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,260,40
pDC-caSC2,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,240,44
pDC-caSC3,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,193,42
pDC-caSC4,EXCLUDED_NON_B,excluded from B-lineage pseudobulk,prefix mapping from source annotation only,69,28
