sample_id,source_label,frozen_compartment,cell_count,library_size_umi
JB17001,B-caSC0,B_CONV_ANALOG,456,1086679
JB17001,B-caSC1,B_CONV_ANALOG,54,119888
JB17001,B-caSC2,B_CONV_ANALOG,64,152805
JB17001,B-caSC3,B_CONV_ANALOG,436,1095402
JB17001,B-caSC4,B_CONV_ANALOG,57,120964
JB17001,B-caSC5,B_CONV_ANALOG,76,190274
JB17001,B-caSC6,B_CONV_ANALOG,115,245537
JB17001,B-caSC7,B_CONV_ANALOG,82,225058
JB17001,PC-caSC0,B_ASC_CONTROL,0,0
JB17001,PC-caSC1,B_ASC_CONTROL,0,0
JB17002,B-caSC0,B_CONV_ANALOG,580,1244492
JB17002,B-caSC1,B_CONV_ANALOG,68,142905
JB17002,B-caSC2,B_CONV_ANALOG,57,165298
JB17002,B-caSC3,B_CONV_ANALOG,68,138755
JB17002,B-caSC4,B_CONV_ANALOG,58,113076
JB17002,B-caSC5,B_CONV_ANALOG,35,91720
JB17002,B-caSC6,B_CONV_ANALOG,81,178416
JB17002,B-caSC7,B_CONV_ANALOG,30,71408
JB17002,PC-caSC0,B_ASC_CONTROL,0,0
JB17002,PC-caSC1,B_ASC_CONTROL,0,0
JB17003,B-caSC0,B_CONV_ANALOG,132,321875
JB17003,B-caSC1,B_CONV_ANALOG,4,7921
JB17003,B-caSC2,B_CONV_ANALOG,58,193324
JB17003,B-caSC3,B_CONV_ANALOG,118,288871
JB17003,B-caSC4,B_CONV_ANALOG,10,18302
JB17003,B-caSC5,B_CONV_ANALOG,49,155126
JB17003,B-caSC6,B_CONV_ANALOG,16,43142
JB17003,B-caSC7,B_CONV_ANALOG,12,32961
JB17003,PC-caSC0,B_ASC_CONTROL,5,42360
JB17003,PC-caSC1,B_ASC_CONTROL,5,48306
JB17004,B-caSC0,B_CONV_ANALOG,208,438730
JB17004,B-caSC1,B_CONV_ANALOG,5,9272
JB17004,B-caSC2,B_CONV_ANALOG,84,255415
JB17004,B-caSC3,B_CONV_ANALOG,26,55459
JB17004,B-caSC4,B_CONV_ANALOG,12,24193
JB17004,B-caSC5,B_CONV_ANALOG,67,229343
JB17004,B-caSC6,B_CONV_ANALOG,29,58026
JB17004,B-caSC7,B_CONV_ANALOG,7,14406
JB17004,PC-caSC0,B_ASC_CONTROL,0,0
JB17004,PC-caSC1,B_ASC_CONTROL,0,0
JB17005,B-caSC0,B_CONV_ANALOG,103,235288
JB17005,B-caSC1,B_CONV_ANALOG,149,365976
JB17005,B-caSC2,B_CONV_ANALOG,53,177014
JB17005,B-caSC3,B_CONV_ANALOG,1,2566
JB17005,B-caSC4,B_CONV_ANALOG,28,61120
JB17005,B-caSC5,B_CONV_ANALOG,3,10492
JB17005,B-caSC6,B_CONV_ANALOG,27,62463
JB17005,B-caSC7,B_CONV_ANALOG,9,22029
JB17005,PC-caSC0,B_ASC_CONTROL,0,0
JB17005,PC-caSC1,B_ASC_CONTROL,4,24435
JB17006,B-caSC0,B_CONV_ANALOG,231,602361
JB17006,B-caSC1,B_CONV_ANALOG,39,97947
JB17006,B-caSC2,B_CONV_ANALOG,45,149136
JB17006,B-caSC3,B_CONV_ANALOG,1,2294
JB17006,B-caSC4,B_CONV_ANALOG,12,27400
JB17006,B-caSC5,B_CONV_ANALOG,4,13240
JB17006,B-caSC6,B_CONV_ANALOG,35,99773
JB17006,B-caSC7,B_CONV_ANALOG,19,43424
JB17006,PC-caSC0,B_ASC_CONTROL,0,0
JB17006,PC-caSC1,B_ASC_CONTROL,0,0
JB17007,B-caSC0,B_CONV_ANALOG,170,435510
JB17007,B-caSC1,B_CONV_ANALOG,6,11197
JB17007,B-caSC2,B_CONV_ANALOG,43,131797
JB17007,B-caSC3,B_CONV_ANALOG,79,191197
JB17007,B-caSC4,B_CONV_ANALOG,5,7447
JB17007,B-caSC5,B_CONV_ANALOG,47,137084
JB17007,B-caSC6,B_CONV_ANALOG,25,59040
JB17007,B-caSC7,B_CONV_ANALOG,11,25305
JB17007,PC-caSC0,B_ASC_CONTROL,0,0
JB17007,PC-caSC1,B_ASC_CONTROL,0,0
JB17008,B-caSC0,B_CONV_ANALOG,152,342210
JB17008,B-caSC1,B_CONV_ANALOG,11,26188
JB17008,B-caSC2,B_CONV_ANALOG,135,442928
JB17008,B-caSC3,B_CONV_ANALOG,38,85971
JB17008,B-caSC4,B_CONV_ANALOG,3,5170
JB17008,B-caSC5,B_CONV_ANALOG,176,589497
JB17008,B-caSC6,B_CONV_ANALOG,18,39174
JB17008,B-caSC7,B_CONV_ANALOG,3,5629
JB17008,PC-caSC0,B_ASC_CONTROL,1,8594
JB17008,PC-caSC1,B_ASC_CONTROL,0,0
JB17015,B-caSC0,B_CONV_ANALOG,13,35540
JB17015,B-caSC1,B_CONV_ANALOG,678,2047788
JB17015,B-caSC2,B_CONV_ANALOG,567,2115935
JB17015,B-caSC3,B_CONV_ANALOG,2,12799
JB17015,B-caSC4,B_CONV_ANALOG,46,126469
JB17015,B-caSC5,B_CONV_ANALOG,43,155465
JB17015,B-caSC6,B_CONV_ANALOG,1,2078
JB17015,B-caSC7,B_CONV_ANALOG,5,12052
JB17015,PC-caSC0,B_ASC_CONTROL,1,1979
JB17015,PC-caSC1,B_ASC_CONTROL,9,81139
JB17016,B-caSC0,B_CONV_ANALOG,199,515852
JB17016,B-caSC1,B_CONV_ANALOG,13,42007
JB17016,B-caSC2,B_CONV_ANALOG,54,195779
JB17016,B-caSC3,B_CONV_ANALOG,968,2511875
JB17016,B-caSC4,B_CONV_ANALOG,1,5363
JB17016,B-caSC5,B_CONV_ANALOG,342,1163525
JB17016,B-caSC6,B_CONV_ANALOG,26,72571
JB17016,B-caSC7,B_CONV_ANALOG,1,2073
JB17016,PC-caSC0,B_ASC_CONTROL,58,426421
JB17016,PC-caSC1,B_ASC_CONTROL,18,114424
JB17014,B-caSC0,B_CONV_ANALOG,37,90432
JB17014,B-caSC1,B_CONV_ANALOG,223,619626
JB17014,B-caSC2,B_CONV_ANALOG,156,599501
JB17014,B-caSC3,B_CONV_ANALOG,6,15899
JB17014,B-caSC4,B_CONV_ANALOG,105,254711
JB17014,B-caSC5,B_CONV_ANALOG,26,80612
JB17014,B-caSC6,B_CONV_ANALOG,22,52566
JB17014,B-caSC7,B_CONV_ANALOG,41,98816
JB17014,PC-caSC0,B_ASC_CONTROL,0,0
JB17014,PC-caSC1,B_ASC_CONTROL,2,7883
JB17010,B-caSC0,B_CONV_ANALOG,33,75118
JB17010,B-caSC1,B_CONV_ANALOG,1045,2637469
JB17010,B-caSC2,B_CONV_ANALOG,431,1487954
JB17010,B-caSC3,B_CONV_ANALOG,2,6238
JB17010,B-caSC4,B_CONV_ANALOG,146,342836
JB17010,B-caSC5,B_CONV_ANALOG,17,57780
JB17010,B-caSC6,B_CONV_ANALOG,15,39169
JB17010,B-caSC7,B_CONV_ANALOG,72,187721
JB17010,PC-caSC0,B_ASC_CONTROL,0,0
JB17010,PC-caSC1,B_ASC_CONTROL,15,99772
JB17019,B-caSC0,B_CONV_ANALOG,50,204230
JB17019,B-caSC1,B_CONV_ANALOG,34,179950
JB17019,B-caSC2,B_CONV_ANALOG,7,48062
JB17019,B-caSC3,B_CONV_ANALOG,3,10745
JB17019,B-caSC4,B_CONV_ANALOG,3,15048
JB17019,B-caSC5,B_CONV_ANALOG,6,36096
JB17019,B-caSC6,B_CONV_ANALOG,1,4271
JB17019,B-caSC7,B_CONV_ANALOG,2,7290
JB17019,PC-caSC0,B_ASC_CONTROL,2,14318
JB17019,PC-caSC1,B_ASC_CONTROL,0,0
JB17020,B-caSC0,B_CONV_ANALOG,18,77185
JB17020,B-caSC1,B_CONV_ANALOG,314,1266059
JB17020,B-caSC2,B_CONV_ANALOG,176,1004075
JB17020,B-caSC3,B_CONV_ANALOG,0,0
JB17020,B-caSC4,B_CONV_ANALOG,18,69432
JB17020,B-caSC5,B_CONV_ANALOG,15,67974
JB17020,B-caSC6,B_CONV_ANALOG,11,39911
JB17020,B-caSC7,B_CONV_ANALOG,6,24910
JB17020,PC-caSC0,B_ASC_CONTROL,1,2714
JB17020,PC-caSC1,B_ASC_CONTROL,61,663279
JB17021,B-caSC0,B_CONV_ANALOG,6,29339
JB17021,B-caSC1,B_CONV_ANALOG,0,0
JB17021,B-caSC2,B_CONV_ANALOG,7,32938
JB17021,B-caSC3,B_CONV_ANALOG,2,7783
JB17021,B-caSC4,B_CONV_ANALOG,0,0
JB17021,B-caSC5,B_CONV_ANALOG,8,49090
JB17021,B-caSC6,B_CONV_ANALOG,0,0
JB17021,B-caSC7,B_CONV_ANALOG,0,0
JB17021,PC-caSC0,B_ASC_CONTROL,1,10707
JB17021,PC-caSC1,B_ASC_CONTROL,1,6926
JB17022,B-caSC0,B_CONV_ANALOG,179,628031
JB17022,B-caSC1,B_CONV_ANALOG,148,568130
JB17022,B-caSC2,B_CONV_ANALOG,37,203881
JB17022,B-caSC3,B_CONV_ANALOG,5,16865
JB17022,B-caSC4,B_CONV_ANALOG,27,86746
JB17022,B-caSC5,B_CONV_ANALOG,11,52000
JB17022,B-caSC6,B_CONV_ANALOG,25,83722
JB17022,B-caSC7,B_CONV_ANALOG,32,131687
JB17022,PC-caSC0,B_ASC_CONTROL,0,0
JB17022,PC-caSC1,B_ASC_CONTROL,0,0
JB17023,B-caSC0,B_CONV_ANALOG,103,388110
JB17023,B-caSC1,B_CONV_ANALOG,148,599508
JB17023,B-caSC2,B_CONV_ANALOG,62,330225
JB17023,B-caSC3,B_CONV_ANALOG,73,259147
JB17023,B-caSC4,B_CONV_ANALOG,82,295818
JB17023,B-caSC5,B_CONV_ANALOG,59,303995
JB17023,B-caSC6,B_CONV_ANALOG,10,41314
JB17023,B-caSC7,B_CONV_ANALOG,36,153017
JB17023,PC-caSC0,B_ASC_CONTROL,0,0
JB17023,PC-caSC1,B_ASC_CONTROL,1,4605
JB17024,B-caSC0,B_CONV_ANALOG,347,1468583
JB17024,B-caSC1,B_CONV_ANALOG,86,407203
JB17024,B-caSC2,B_CONV_ANALOG,80,412440
JB17024,B-caSC3,B_CONV_ANALOG,199,803056
JB17024,B-caSC4,B_CONV_ANALOG,85,354262
JB17024,B-caSC5,B_CONV_ANALOG,154,845800
JB17024,B-caSC6,B_CONV_ANALOG,30,120669
JB17024,B-caSC7,B_CONV_ANALOG,26,117781
JB17024,PC-caSC0,B_ASC_CONTROL,1,12229
JB17024,PC-caSC1,B_ASC_CONTROL,1,3865
JB17017,B-caSC0,B_CONV_ANALOG,94,278577
JB17017,B-caSC1,B_CONV_ANALOG,645,2033655
JB17017,B-caSC2,B_CONV_ANALOG,195,875832
JB17017,B-caSC3,B_CONV_ANALOG,1,2363
JB17017,B-caSC4,B_CONV_ANALOG,121,350951
JB17017,B-caSC5,B_CONV_ANALOG,15,64048
JB17017,B-caSC6,B_CONV_ANALOG,23,70383
JB17017,B-caSC7,B_CONV_ANALOG,63,207151
JB17017,PC-caSC0,B_ASC_CONTROL,1,3888
JB17017,PC-caSC1,B_ASC_CONTROL,21,165449
JB17018,B-caSC0,B_CONV_ANALOG,175,584253
JB17018,B-caSC1,B_CONV_ANALOG,257,921696
JB17018,B-caSC2,B_CONV_ANALOG,134,725192
JB17018,B-caSC3,B_CONV_ANALOG,2,7396
JB17018,B-caSC4,B_CONV_ANALOG,102,321118
JB17018,B-caSC5,B_CONV_ANALOG,14,62404
JB17018,B-caSC6,B_CONV_ANALOG,29,94583
JB17018,B-caSC7,B_CONV_ANALOG,22,79085
JB17018,PC-caSC0,B_ASC_CONTROL,0,0
JB17018,PC-caSC1,B_ASC_CONTROL,4,22067
JB18063,B-caSC0,B_CONV_ANALOG,8,16873
JB18063,B-caSC1,B_CONV_ANALOG,1,2065
JB18063,B-caSC2,B_CONV_ANALOG,33,108928
