pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
0,compartment,JB17001,GSM4029896,B_CONV_ANALOG,,1340,3236607,15207
1,compartment,JB17001,GSM4029896,B_ASC_CONTROL,,0,0,0
2,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC0,456,1086679,12937
3,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC1,54,119888,8551
4,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC2,64,152805,9138
5,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC3,436,1095402,13143
6,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC4,57,120964,8534
7,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC5,76,190274,9600
8,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC6,115,245537,10175
9,source_label,JB17001,GSM4029896,B_CONV_ANALOG,B-caSC7,82,225058,9805
10,source_label,JB17001,GSM4029896,B_ASC_CONTROL,PC-caSC0,0,0,0
11,source_label,JB17001,GSM4029896,B_ASC_CONTROL,PC-caSC1,0,0,0
12,compartment,JB17002,GSM4029897,B_CONV_ANALOG,,977,2146070,14173
13,compartment,JB17002,GSM4029897,B_ASC_CONTROL,,0,0,0
14,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC0,580,1244492,13052
15,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC1,68,142905,8548
16,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC2,57,165298,8906
17,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC3,68,138755,8567
18,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC4,58,113076,7989
19,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC5,35,91720,7438
20,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC6,81,178416,9144
21,source_label,JB17002,GSM4029897,B_CONV_ANALOG,B-caSC7,30,71408,6751
22,source_label,JB17002,GSM4029897,B_ASC_CONTROL,PC-caSC0,0,0,0
23,source_label,JB17002,GSM4029897,B_ASC_CONTROL,PC-caSC1,0,0,0
24,compartment,JB17003,GSM4029898,B_CONV_ANALOG,,399,1061522,13236
25,compartment,JB17003,GSM4029898,B_ASC_CONTROL,,10,90666,7467
26,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC0,132,321875,10841
27,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC1,4,7921,2066
28,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC2,58,193324,9525
29,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC3,118,288871,10583
30,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC4,10,18302,3793
31,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC5,49,155126,9153
32,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC6,16,43142,5939
33,source_label,JB17003,GSM4029898,B_CONV_ANALOG,B-caSC7,12,32961,5037
