program_id,program_label,analysis_family,publication_role,sign,gene_symbol,ordinal,provenance,present,matching_features
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,1,CD27,1,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,1,TNFRSF13B,2,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,1,AIM2,3,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,1,BANK1,4,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,1,CD40,5,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,1,LTB,6,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,1,GPR183,7,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,-1,TCL1A,8,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,-1,IL4R,9,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,-1,FCER2,10,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,-1,CCR7,11,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,-1,SELL,12,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,-1,CXCR4,13,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,-1,VPREB3,14,disease-blind C2A anchors plus pre-existing citation audit controls,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,1,TBX21,1,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,1,ITGAX,2,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,1,FCRL5,3,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,1,FCRL3,4,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,1,ZEB2,5,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,1,CXCR3,6,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,1,TLR7,7,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,-1,CR2,8,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,-1,FCER2,9,pre-existing literature-signature and citation audit,True,1
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,-1,TCL1A,10,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,CD74,1,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,HLA-DRA,2,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,HLA-DRB1,3,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,HLA-DPA1,4,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,HLA-DPB1,5,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,HLA-DQA1,6,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,HLA-DQB1,7,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,B2M,8,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,CIITA,9,pre-existing literature-signature and citation audit,True,1
APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,1,CD86,10,pre-existing literature-signature and citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,ISG15,1,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,IFIT1,2,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,IFIT2,3,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,IFIT3,4,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,MX1,5,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,MX2,6,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,OAS1,7,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,OAS2,8,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,IFI44L,9,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,IFI6,10,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,LY6E,11,Perez context plus pre-existing citation audit,True,1
IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,1,IRF7,12,Perez context plus pre-existing citation audit,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,CD69,1,pre-existing disease-blind marker program,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,CD83,2,pre-existing disease-blind marker program,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,CD86,3,pre-existing disease-blind marker program,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,NFKBIA,4,pre-existing disease-blind marker program,True,1
