program_id,program_label,analysis_family,sign,available,total,fraction,pass_80pct
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,1,9,9,1.0,True
APC_HLA,Antigen-presentation program,primary_confirmatory,1,10,10,1.0,True
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,1,9,10,0.9,True
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,-1,3,3,1.0,True
ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,1,7,7,1.0,True
IFN_ISG,Type I interferon response,primary_confirmatory,1,12,12,1.0,True
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,-1,7,7,1.0,True
NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,1,7,7,1.0,True
PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,1,5,5,1.0,True
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,1,9,10,0.9,True
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,1,9,9,1.0,True
