metric_id,value,display,source,field,role
identity_min_ari,0.9902066569784328,0.990,phase17_v7/gateC2B4/20260815_two_level_state_repair/06_GATE_C2B4_ADVISOR_DECISION.json,two_compartment_metrics.minimum_mapped_ari,identity foundation
composition_primary_or,0.9466531606629469,0.947,phase17_v7/gateC3A/20260815_frozen_abundance/09_GATE_C3A_ADVISOR_DECISION.json,primary.odds_ratio,secondary negative result
c4_ifn_primary_effect,0.836556476435973,0.837,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json,confirmatory_programs.IFN_ISG.primary_effect,central discovery
c4_ifn_primary_q,2.9770041796839e-06,2.98e-06,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json,confirmatory_programs.IFN_ISG.primary_q,central discovery
c4_ifn_nonoverlap_effect,1.08624050109214,1.086,phase17_v7/gateC4B/20260815_edger_transcription/15_GATE_C4B_ADVISOR_DECISION.json,confirmatory_programs.IFN_ISG.validation_nonoverlap_effect,internal replication
c5_ifn_childhood_effect,1.04175695248946,1.042,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,ifn_results.childhood_min50.effect,independent replication
c5_ifn_childhood_q,2.97551134813137e-06,2.98e-06,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,ifn_results.childhood_min50.q_value_primary4,independent replication
c5_ifn_combined_effect,0.995973904274024,0.996,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,ifn_results.combined_min50.effect,external sensitivity
c5_ifn_adult_effect,0.96841601569709,0.968,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,ifn_results.adult_min50.effect,directional boundary
cross_dataset_rho,0.02605190896868145,0.026,phase17_v7/gateC5B/20260815_gse135779_external_validation/17_GATE_C5B_ADVISOR_DECISION.json,cross_dataset_context.shared_tested_gene_rho,required limitation
