contrast,regulator,family,tested_gene_symbols,matched_signed_targets,pre_effect_minimum_10_pass
gse174188_primary,STAT1,IFN_confirmatory,4414,98,True
gse174188_primary,STAT2,IFN_confirmatory,4414,14,True
gse174188_primary,IRF7,IFN_confirmatory,4414,5,False
gse174188_primary,IRF9,IFN_confirmatory,4414,7,False
gse174188_primary,E2F1,proliferation_negative_control,4414,83,True
gse174188_primary,FOXM1,proliferation_negative_control,4414,16,True
gse174188_primary,MYC,proliferation_negative_control,4414,317,True
gse174188_primary,MYBL2,proliferation_negative_control,4414,8,False
gse174188_internal_nonoverlap,STAT1,IFN_confirmatory,6077,129,True
gse174188_internal_nonoverlap,STAT2,IFN_confirmatory,6077,19,True
gse174188_internal_nonoverlap,IRF7,IFN_confirmatory,6077,5,False
gse174188_internal_nonoverlap,IRF9,IFN_confirmatory,6077,10,True
gse174188_internal_nonoverlap,E2F1,proliferation_negative_control,6077,109,True
gse174188_internal_nonoverlap,FOXM1,proliferation_negative_control,6077,23,True
gse174188_internal_nonoverlap,MYC,proliferation_negative_control,6077,393,True
gse174188_internal_nonoverlap,MYBL2,proliferation_negative_control,6077,12,True
gse135779_childhood,STAT1,IFN_confirmatory,8468,161,True
gse135779_childhood,STAT2,IFN_confirmatory,8468,20,True
gse135779_childhood,IRF7,IFN_confirmatory,8468,7,False
gse135779_childhood,IRF9,IFN_confirmatory,8468,10,True
gse135779_childhood,E2F1,proliferation_negative_control,8468,150,True
gse135779_childhood,FOXM1,proliferation_negative_control,8468,26,True
gse135779_childhood,MYC,proliferation_negative_control,8468,470,True
gse135779_childhood,MYBL2,proliferation_negative_control,8468,14,True
