contrast,regulator,family,tested_rows,tested_unique_symbols,duplicate_tested_symbol_rows,matched_targets,matched_positive_targets,matched_negative_targets,minimum_5_pass,core_minimum_10_pass
gse174188_primary,STAT1,IFN_confirmatory,4414,4414,0,98,93,5,True,True
gse174188_primary,STAT2,IFN_confirmatory,4414,4414,0,14,14,0,True,True
gse174188_primary,IRF7,IFN_confirmatory,4414,4414,0,5,5,0,True,True
gse174188_primary,IRF9,IFN_confirmatory,4414,4414,0,7,7,0,True,True
gse174188_primary,E2F1,proliferation_negative_control,4414,4414,0,83,70,13,True,True
gse174188_primary,FOXM1,proliferation_negative_control,4414,4414,0,16,14,2,True,True
gse174188_primary,MYC,proliferation_negative_control,4414,4414,0,317,276,41,True,True
gse174188_primary,MYBL2,proliferation_negative_control,4414,4414,0,8,8,0,True,True
gse174188_internal_nonoverlap,STAT1,IFN_confirmatory,6077,6077,0,129,122,7,True,True
gse174188_internal_nonoverlap,STAT2,IFN_confirmatory,6077,6077,0,19,18,1,True,True
gse174188_internal_nonoverlap,IRF7,IFN_confirmatory,6077,6077,0,5,5,0,True,True
gse174188_internal_nonoverlap,IRF9,IFN_confirmatory,6077,6077,0,10,8,2,True,True
gse174188_internal_nonoverlap,E2F1,proliferation_negative_control,6077,6077,0,109,94,15,True,True
gse174188_internal_nonoverlap,FOXM1,proliferation_negative_control,6077,6077,0,23,21,2,True,True
gse174188_internal_nonoverlap,MYC,proliferation_negative_control,6077,6077,0,393,342,51,True,True
gse174188_internal_nonoverlap,MYBL2,proliferation_negative_control,6077,6077,0,12,12,0,True,True
gse135779_childhood,STAT1,IFN_confirmatory,8469,8468,1,161,150,11,True,True
gse135779_childhood,STAT2,IFN_confirmatory,8469,8468,1,20,20,0,True,True
gse135779_childhood,IRF7,IFN_confirmatory,8469,8468,1,7,7,0,True,True
gse135779_childhood,IRF9,IFN_confirmatory,8469,8468,1,10,9,1,True,True
gse135779_childhood,E2F1,proliferation_negative_control,8469,8468,1,150,129,21,True,True
gse135779_childhood,FOXM1,proliferation_negative_control,8469,8468,1,26,24,2,True,True
gse135779_childhood,MYC,proliferation_negative_control,8469,8468,1,470,404,66,True,True
gse135779_childhood,MYBL2,proliferation_negative_control,8469,8468,1,14,14,0,True,True
