contrast,regulator,family,slope,p_value,q_value_global24
synthetic_1,STAT1,IFN,0.6987986079275896,7.845512629098219e-19,1.8887243970424177e-18
synthetic_1,STAT2,IFN,0.69795448917905,8.656653486444415e-19,1.8887243970424177e-18
synthetic_1,IRF7,IFN,0.7079699438124504,2.6716980755378696e-19,9.16010768755841e-19
synthetic_1,IRF9,IFN,0.7257378748239175,3.174423460233164e-20,1.2697693840932657e-19
synthetic_1,E2F1,negative_control,0.04987841571982057,0.5320351557945477,0.7980527336918216
synthetic_1,FOXM1,negative_control,-0.008955258533002691,0.9106732095038719,0.9471234141565432
synthetic_1,MYC,negative_control,-0.08417547679625507,0.29155677040343925,0.4998116064058959
synthetic_1,MYBL2,negative_control,-0.07211377158900092,0.3662401726132616,0.5859842761812185
synthetic_2,STAT1,IFN,0.738932028345376,1.2405922754243743e-20,5.954842922036996e-20
synthetic_2,STAT2,IFN,0.7730132635881793,1.7478419335342287e-22,1.0487051601205372e-21
synthetic_2,IRF7,IFN,0.6537370628315782,2.1246093310403468e-16,4.2492186620806935e-16
synthetic_2,IRF9,IFN,0.7074659822773776,5.274071669213776e-19,1.582221500764133e-18
synthetic_2,E2F1,negative_control,-0.010894519303904343,0.8922424518146751,0.9471234141565432
synthetic_2,FOXM1,negative_control,-0.1132385621328193,0.158985627189287,0.2935119271186837
synthetic_2,MYC,negative_control,-0.01397110571162863,0.862082996856239,0.9471234141565432
synthetic_2,MYBL2,negative_control,-0.019732953151019042,0.8061700752240427,0.9471234141565432
synthetic_3,STAT1,IFN,0.8121575731885468,4.211921466142421e-24,5.0543057593709056e-23
synthetic_3,STAT2,IFN,0.9214741854605865,7.888355377303496e-31,1.893205290552839e-29
synthetic_3,IRF7,IFN,0.7852062380296321,1.3712793074285916e-22,1.0487051601205372e-21
synthetic_3,IRF9,IFN,0.7129702141781114,8.244470436870068e-19,1.8887243970424177e-18
synthetic_3,E2F1,negative_control,-0.04301739235663944,0.5975683313364073,0.8436258795337515
synthetic_3,FOXM1,negative_control,-0.018898776108406335,0.8166050181896006,0.9471234141565432
synthetic_3,MYC,negative_control,-0.021820275520101653,0.7888800117242809,0.9471234141565432
synthetic_3,MYBL2,negative_control,-0.005404458421770789,0.9471234141565432,0.9471234141565432
