contrast,input_role,regulator,family,tested_unique_symbols,matched_targets,matched_positive_targets,matched_negative_targets,slope,se,t_statistic,df,p_value,ci_low,ci_high,direction,q_value_global24,q_value_within_contrast_descriptive
gse174188_primary,confirmatory,STAT1,IFN_confirmatory,4414,98,93,5,1.2853227600953685,0.16574526099324657,7.7548085079050315,4412,1.0912993950800102e-14,0.9603788749738309,1.610266645216906,positive,6.547796370480062e-14,8.730395160640082e-14
gse174188_primary,confirmatory,STAT2,IFN_confirmatory,4414,14,14,0,2.182323743129181,0.4369916280825238,4.993971515438414,4412,6.143418325317636e-07,1.325600862826093,3.0390466234322693,positive,1.8430254975952908e-06,1.6382448867513695e-06
gse174188_primary,confirmatory,IRF7,IFN_confirmatory,4414,5,5,0,1.2109287565006193,0.7323149549754031,1.6535627850742058,4412,0.09828752092661905,-0.22477604239560578,2.6466335553968445,positive,0.14743128138992856,0.1572600334825905
gse174188_primary,confirmatory,IRF9,IFN_confirmatory,4414,7,7,0,3.446381839465805,0.617073818624809,5.585039804712994,4412,2.4768602601993734e-08,2.236607497628673,4.656156181302936,positive,8.492092320683565e-08,9.907441040797494e-08
gse174188_primary,confirmatory,E2F1,proliferation_control,4414,83,70,13,0.08436646612984919,0.18049111789854122,0.4674272457954069,4412,0.640217317741058,-0.26948669822862503,0.43821963048832346,positive,0.6984188920811542,0.8285991469525991
gse174188_primary,confirmatory,FOXM1,proliferation_control,4414,16,14,2,-0.132697622837725,0.40968435136530995,-0.3239021026687942,4412,0.7460275049715046,-0.9358845375547932,0.6704892918793431,negative,0.7784634834485267,0.8285991469525991
gse174188_primary,confirmatory,MYC,proliferation_control,4414,317,276,41,-0.35553165964638295,0.09366509701456759,-3.795775277861375,4412,0.0001491580671746744,-0.5391622524115026,-0.1719010668812633,negative,0.0003254357829265623,0.0002983161343493488
gse174188_primary,confirmatory,MYBL2,proliferation_control,4414,8,8,0,-0.12542921823796538,0.5793192232510505,-0.21651140373708969,4412,0.8285991469525991,-1.2611856072936862,1.0103271708177557,negative,0.8285991469525991,0.8285991469525991
gse174188_internal_nonoverlap,confirmatory,STAT1,IFN_confirmatory,6077,129,122,7,1.0905000927531063,0.12643309810881243,8.625115646652798,6075,8.074312172520138e-18,0.8426463925489134,1.3383537929572993,positive,6.45944973801611e-17,3.229724869008055e-17
gse174188_internal_nonoverlap,confirmatory,STAT2,IFN_confirmatory,6077,19,18,1,2.9618546143648667,0.32685566311277675,9.06165916220617,6075,1.7028231779037046e-19,2.3211016252585255,3.602607603471208,positive,2.0433878134844454e-18,1.3622585423229637e-18
gse174188_internal_nonoverlap,confirmatory,IRF7,IFN_confirmatory,6077,5,5,0,2.196592154220724,0.640291190962428,3.4306143598805483,6075,0.0006062259859119113,0.941394399344812,3.451789909096636,positive,0.0012124519718238226,0.0012124519718238226
