contrast,regulator,deleted_target,slope,same_direction_as_full
gse174188_primary,STAT1,ACAT1,1.2830730602027896,True
gse174188_primary,STAT1,ADAR,1.261352896303318,True
gse174188_primary,STAT1,AIM2,1.3064745643453233,True
gse174188_primary,STAT1,APP,1.3133991931247102,True
gse174188_primary,STAT1,ATG4C,1.289700347138169,True
gse174188_primary,STAT1,BAX,1.3054052388116657,True
gse174188_primary,STAT1,BIRC2,1.3312218505069684,True
gse174188_primary,STAT1,BST2,1.247111175741547,True
gse174188_primary,STAT1,CASP2,1.2813805514491419,True
gse174188_primary,STAT1,CASP4,1.270905378724746,True
gse174188_primary,STAT1,CASP8,1.3160872716458223,True
gse174188_primary,STAT1,CD14,1.2933760110951016,True
gse174188_primary,STAT1,CD200,1.2700744770110095,True
gse174188_primary,STAT1,CD22,1.2811188228947796,True
gse174188_primary,STAT1,CD40,1.2754012676002637,True
gse174188_primary,STAT1,CD69,1.2963675695686387,True
gse174188_primary,STAT1,CD79A,1.287398370005986,True
gse174188_primary,STAT1,CD86,1.2810217701160578,True
gse174188_primary,STAT1,CDKN1A,1.304902912373958,True
gse174188_primary,STAT1,CDKN1B,1.2850448516517345,True
gse174188_primary,STAT1,CIITA,1.2834282353589341,True
gse174188_primary,STAT1,COPS5,1.2795800848168362,True
gse174188_primary,STAT1,CREBBP,1.3131528571496902,True
gse174188_primary,STAT1,CREM,1.291914744092713,True
gse174188_primary,STAT1,CTSB,1.2931169849457722,True
gse174188_primary,STAT1,DCLRE1C,1.2799298273944895,True
gse174188_primary,STAT1,DDX50,1.3026831204148095,True
gse174188_primary,STAT1,DIMT1,1.3003489984615075,True
gse174188_primary,STAT1,EDEM2,1.306648720761094,True
gse174188_primary,STAT1,EIF2AK2,1.2313698553054198,True
gse174188_primary,STAT1,FCGRT,1.293801314285853,True
gse174188_primary,STAT1,FOS,1.3493353997073174,True
gse174188_primary,STAT1,GLS,1.2850543460943569,True
gse174188_primary,STAT1,GSTK1,1.3034390910049503,True
gse174188_primary,STAT1,HLA-A,1.2858987122453642,True
gse174188_primary,STAT1,HLA-E,1.276021278845499,True
gse174188_primary,STAT1,HMGB1,1.2937886746316087,True
gse174188_primary,STAT1,HSP90AA1,1.2989606955393973,True
gse174188_primary,STAT1,HSPA4,1.2659553487573527,True
gse174188_primary,STAT1,HSPB1,1.29130274164843,True
gse174188_primary,STAT1,IFI27,1.2385635332822371,True
gse174188_primary,STAT1,IFI35,1.254215571206587,True
gse174188_primary,STAT1,IFI6,1.2315551603281139,True
gse174188_primary,STAT1,IFIT3,1.2277435020954184,True
gse174188_primary,STAT1,IFITM1,1.2478582672258776,True
gse174188_primary,STAT1,IFNGR1,1.308231659674487,True
gse174188_primary,STAT1,IGFLR1,1.2858049753466176,True
gse174188_primary,STAT1,IRF1,1.3123481946245559,True
gse174188_primary,STAT1,IRF2,1.272848963428366,True
gse174188_primary,STAT1,IRF7,1.2441305090840287,True
gse174188_primary,STAT1,IRF8,1.2902405836208937,True
gse174188_primary,STAT1,IRF9,1.2514583166995303,True
gse174188_primary,STAT1,ISG15,1.238788347058702,True
gse174188_primary,STAT1,ISG20,1.2458212771137056,True
gse174188_primary,STAT1,ITGB1,1.2812652602389727,True
gse174188_primary,STAT1,JAK1,1.3009217078120874,True
gse174188_primary,STAT1,JUN,1.306425298011014,True
gse174188_primary,STAT1,KDM6B,1.2958833353350938,True
gse174188_primary,STAT1,KIF2A,1.291964316968852,True
gse174188_primary,STAT1,LAP3,1.2533777647337287,True
gse174188_primary,STAT1,LY96,1.300234965033936,True
gse174188_primary,STAT1,MAP1LC3B,1.303532618821367,True
gse174188_primary,STAT1,MCL1,1.3089914106458533,True
