contrast,input_role,regulator,family,tested_unique_symbols,matched_targets,matched_positive_targets,matched_negative_targets,slope,se,t_statistic,df,p_value,ci_low,ci_high,direction,q_value_descriptive_all_sensitivities
gse174188_validation_full,supportive_sensitivity,STAT1,IFN_confirmatory,6099,128,121,7,0.9601333134767516,0.12124681409689084,7.918833337010317,6097,2.8282141945478836e-15,0.7224467396851431,1.19781988726836,positive,2.5453927750930953e-14
gse174188_validation_full,supportive_sensitivity,STAT2,IFN_confirmatory,6099,19,18,1,2.509148622569647,0.3124151678654909,8.031455833956024,6097,1.1470284835233363e-15,1.896704564525049,3.121592680614245,positive,1.1798007259097172e-14
gse174188_validation_full,supportive_sensitivity,IRF7,IFN_confirmatory,6099,5,5,0,1.9802814804349496,0.6111833009197609,3.240077857910798,6097,0.001201382656761041,0.7821463720091286,3.1784165888607703,positive,0.002402765313522082
gse174188_validation_full,supportive_sensitivity,IRF9,IFN_confirmatory,6099,10,8,2,2.415789879282018,0.4313860645372034,5.600064716679499,6097,2.2362424494988927e-08,1.570120849336571,3.261458909227465,positive,7.667116969710489e-08
gse174188_validation_full,supportive_sensitivity,E2F1,proliferation_control,6099,108,93,15,0.07602454314342973,0.1321731682388801,0.5751889294658394,6097,0.565184754061778,-0.18308154339486282,0.33513062968172225,positive,0.6850705305356416
gse174188_validation_full,supportive_sensitivity,FOXM1,proliferation_control,6099,24,22,2,-0.39299770523340066,0.27942812213567103,-1.406435766843067,6097,0.1596457304960032,-0.9407755043133512,0.15478009384654995,negative,0.2445636722491964
gse174188_validation_full,supportive_sensitivity,MYC,proliferation_control,6099,396,343,53,-0.17984847777447951,0.06989800728418429,-2.573012947898066,6097,0.010105174446740438,-0.31687325644587794,-0.042823699103081064,negative,0.01818931400413279
gse174188_validation_full,supportive_sensitivity,MYBL2,proliferation_control,6099,12,12,0,-0.8937855754861438,0.3949177503779021,-2.263219555542561,6097,0.023657170923803046,-1.6679638309395406,-0.11960732003274688,negative,0.04154430015887364
gse174188_primary_min20,supportive_sensitivity,STAT1,IFN_confirmatory,4098,93,88,5,1.383280553690487,0.17004807008108289,8.134644239307782,4096,5.42498401376952e-16,1.0498939457134404,1.7166671616675337,positive,6.509980816523424e-15
gse174188_primary_min20,supportive_sensitivity,STAT2,IFN_confirmatory,4098,13,13,0,2.35724843567317,0.45354784623570965,5.197353388925816,4096,2.119965686788012e-07,1.4680482351668105,3.24644863617953,positive,6.636414323858124e-07
gse174188_primary_min20,supportive_sensitivity,IRF7,IFN_confirmatory,4098,5,5,0,1.3109598389462724,0.7327277774572285,1.789149912530506,4096,0.07366453963987642,-0.12558471095980184,2.747504388852347,positive,0.12054197395616141
gse174188_primary_min20,supportive_sensitivity,IRF9,IFN_confirmatory,4098,7,7,0,3.590952527695728,0.6171158772872426,5.81892746542362,4096,6.375375149050561e-09,2.381070116448882,4.800834938942574,positive,2.8689188170727524e-08
gse174188_primary_min20,supportive_sensitivity,E2F1,proliferation_control,4098,76,64,12,0.10695949175724027,0.18871302367820486,0.5667838375565883,4096,0.5708921087797013,-0.26302056632380566,0.47693954983828624,positive,0.6850705305356416
gse174188_primary_min20,supportive_sensitivity,FOXM1,proliferation_control,4098,15,13,2,-0.12142021851070514,0.4233602331520719,-0.2868011896315513,4096,0.7742790582451917,-0.9514362958213197,0.7085958587999094,negative,0.8320610775172209
gse174188_primary_min20,supportive_sensitivity,MYC,proliferation_control,4098,305,266,39,-0.31281008621281897,0.09566614175398082,-3.269809783039593,4096,0.0010850967436451429,-0.5003677014354044,-0.12525247099023354,negative,0.0022321990154985797
gse174188_primary_min20,supportive_sensitivity,MYBL2,proliferation_control,4098,7,7,0,-0.1291352306856378,0.6196580617228333,-0.20839756417693253,4096,0.8349289197992711,-1.3440017046473944,1.085731243276119,negative,0.8510838255745364
gse174188_primary_min100,supportive_sensitivity,STAT1,IFN_confirmatory,4524,98,93,5,1.2607027127323562,0.16271126886001375,7.7480971143859945,4522,1.1439403148736396e-14,0.9417091040122274,1.579696321452485,positive,6.863641889241837e-14
