input_path,input_sha256,tested_rows,unique_symbols,duplicate_symbol_rows,statistic_min,statistic_max,contrast,input_role
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC4B/20260815_edger_transcription/05_gene_results/primary_base_gene_results.csv.gz,07CC66306F879DF7B20572B94A39E4677D508E4B5365ADF0295131EBD0E0584A,4414,4414,0,-5.666620623207627,8.361042056802118,gse174188_primary,confirmatory
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC4B/20260815_edger_transcription/05_gene_results/validation_nonoverlap_gene_results.csv.gz,6557D8079EB4BBD05DE2A8EAF8AF1F518E2305B10B37CA82DDAC7D4A1D0E1B22,6077,6077,0,-5.12452458376562,8.351808138058878,gse174188_internal_nonoverlap,confirmatory
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC5B/20260815_gse135779_external_validation/05_gene_results/childhood_min50_gene_results.csv.gz,C3EFDE3998C769F0F806D3D48BB4BFA7CCF259C36F2FFE12102975D9F252B727,8469,8468,1,-4.683680227603225,6.544512162176842,gse135779_childhood,confirmatory
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC4B/20260815_edger_transcription/05_gene_results/validation_full_gene_results.csv.gz,2BB89DAB3EF992E4F64DFBE1362E68742AD66428A14F4E55479767A76CF407F6,6099,6099,0,-5.3085920660085195,7.488767595370409,gse174188_validation_full,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC4B/20260815_edger_transcription/05_gene_results/primary_min20_gene_results.csv.gz,BF345BA8AAD3D2291F514DDDD05CAD25850CEBA51F6A395F7397984B109C3BAC,4098,4098,0,-5.268137887578229,8.64008609844693,gse174188_primary_min20,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC4B/20260815_edger_transcription/05_gene_results/primary_min100_gene_results.csv.gz,5E9813FA741E57DA5C80897FC4FB4BB941391F76C5A12A0927E2832376AA325A,4524,4524,0,-5.514784328249139,8.125863130360651,gse174188_primary_min100,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC4B/20260815_edger_transcription/05_gene_results/primary_residual_risk_negative_gene_results.csv.gz,2B1E88BDD5D1F4FE4FE3D0C5B5E635991B42E80BEF84EC0443442859C7433669,4432,4432,0,-5.830111064739384,8.434628533101561,gse174188_primary_residual_risk_negative,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC4B/20260815_edger_transcription/05_gene_results/flare_full_gene_results.csv.gz,DD84BD189B1EC7E21E8279D24916601FD44B16365D6B543AA0A035B8E30AD973,7761,7761,0,-5.743196289139185,7.858912182173949,gse174188_flare_full,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC5B/20260815_gse135779_external_validation/05_gene_results/combined_min20_gene_results.csv.gz,A60372C1EAB9E320E39FBB628465E7ACAABAF96C4992F0400A5E8762904BC852,8458,8456,2,-5.227667699288001,7.334145967282496,gse135779_combined_min20,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC5B/20260815_gse135779_external_validation/05_gene_results/combined_min50_gene_results.csv.gz,C7F7EBFAB8992997DF018D03B33880EF6DE0D54191D29B02E2549694C2083141,8601,8599,2,-5.228301942268331,7.269319340738375,gse135779_combined_min50,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC5B/20260815_gse135779_external_validation/05_gene_results/combined_min100_gene_results.csv.gz,1C74BE2D97B71E7A472C204FCC9526D78D63E04147C86837ADAAAEA3B20BA0FA,8754,8752,2,-4.976706311930331,6.740395050860759,gse135779_combined_min100,supportive_sensitivity
H:/cuhk-2025fALL/6013RP-wyf/phase17_v7/gateC5B/20260815_gse135779_external_validation/05_gene_results/adult_min50_gene_results.csv.gz,849D4FA44B902A59262BE3443B15B5893E194FB7F02AE98F7A0B6BA86C64E479,6277,6276,1,-4.164993777950983,4.574335324373739,gse135779_adult_directional,supportive_sensitivity
