gene_symbol,probe_id,platform_gene_symbol_raw,mapping_rule
ISG15,ILMN_1813289,ISG15,exact_uppercase_symbol_after_triple_slash_split
IFIT1,ILMN_1699331,IFIT1,exact_uppercase_symbol_after_triple_slash_split
IFIT1,ILMN_1707695,IFIT1,exact_uppercase_symbol_after_triple_slash_split
IFIT2,ILMN_1739428,IFIT2,exact_uppercase_symbol_after_triple_slash_split
IFIT3,ILMN_1664543,IFIT3,exact_uppercase_symbol_after_triple_slash_split
IFIT3,ILMN_1683865,IFIT3,exact_uppercase_symbol_after_triple_slash_split
IFIT3,ILMN_1701789,IFIT3,exact_uppercase_symbol_after_triple_slash_split
MX1,ILMN_1662358,MX1,exact_uppercase_symbol_after_triple_slash_split
MX2,ILMN_1754619,MX2,exact_uppercase_symbol_after_triple_slash_split
OAS1,ILMN_1658247,OAS1,exact_uppercase_symbol_after_triple_slash_split
OAS1,ILMN_1672606,OAS1,exact_uppercase_symbol_after_triple_slash_split
OAS1,ILMN_1675640,OAS1,exact_uppercase_symbol_after_triple_slash_split
OAS2,ILMN_1674063,OAS2,exact_uppercase_symbol_after_triple_slash_split
OAS2,ILMN_1709333,OAS2,exact_uppercase_symbol_after_triple_slash_split
OAS2,ILMN_1810213,OAS2,exact_uppercase_symbol_after_triple_slash_split
OAS2,ILMN_1812740,OAS2,exact_uppercase_symbol_after_triple_slash_split
IFI44L,ILMN_1723912,IFI44L,exact_uppercase_symbol_after_triple_slash_split
IFI6,ILMN_1687384,IFI6,exact_uppercase_symbol_after_triple_slash_split
LY6E,ILMN_1695404,LY6E,exact_uppercase_symbol_after_triple_slash_split
IRF7,ILMN_1674646,IRF7,exact_uppercase_symbol_after_triple_slash_split
IRF7,ILMN_1798181,IRF7,exact_uppercase_symbol_after_triple_slash_split
