gene_symbol,sample,probe_count,probe_ids,median_log2_expression
ISG15,GSM571899,1,ILMN_1813289,11162.08
ISG15,GSM571900,1,ILMN_1813289,444.5493
ISG15,GSM571903,1,ILMN_1813289,11339.34
ISG15,GSM571904,1,ILMN_1813289,300.1835
IFIT1,GSM571899,2,ILMN_1699331;ILMN_1707695,4469.6529
IFIT1,GSM571900,2,ILMN_1699331;ILMN_1707695,75.232695
IFIT1,GSM571903,2,ILMN_1699331;ILMN_1707695,7356.326
IFIT1,GSM571904,2,ILMN_1699331;ILMN_1707695,93.93949500000001
IFIT2,GSM571899,1,ILMN_1739428,10235.36
IFIT2,GSM571900,1,ILMN_1739428,328.1976
IFIT2,GSM571903,1,ILMN_1739428,21459.98
IFIT2,GSM571904,1,ILMN_1739428,500.0157
IFIT3,GSM571899,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,3603.574
IFIT3,GSM571900,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,63.10654
IFIT3,GSM571903,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,2846.545
IFIT3,GSM571904,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,61.06348
MX1,GSM571899,1,ILMN_1662358,14225.77
MX1,GSM571900,1,ILMN_1662358,2848.129
MX1,GSM571903,1,ILMN_1662358,24966.73
MX1,GSM571904,1,ILMN_1662358,5595.718
MX2,GSM571899,1,ILMN_1754619,163.3809
MX2,GSM571900,1,ILMN_1754619,39.98476
MX2,GSM571903,1,ILMN_1754619,436.1296
MX2,GSM571904,1,ILMN_1754619,64.02975
OAS1,GSM571899,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,720.2437
OAS1,GSM571900,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,115.2611
OAS1,GSM571903,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,1129.046
OAS1,GSM571904,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,146.4949
OAS2,GSM571899,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,1470.9719
OAS2,GSM571900,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,185.581785
OAS2,GSM571903,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,2231.76035
OAS2,GSM571904,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,269.042995
IFI44L,GSM571899,1,ILMN_1723912,5993.735
IFI44L,GSM571900,1,ILMN_1723912,370.9177
IFI44L,GSM571903,1,ILMN_1723912,10650.24
IFI44L,GSM571904,1,ILMN_1723912,650.2311
IFI6,GSM571899,1,ILMN_1687384,1353.859
IFI6,GSM571900,1,ILMN_1687384,582.5424
IFI6,GSM571903,1,ILMN_1687384,10738.0
IFI6,GSM571904,1,ILMN_1687384,735.5511
LY6E,GSM571899,1,ILMN_1695404,6627.982
LY6E,GSM571900,1,ILMN_1695404,1890.565
LY6E,GSM571903,1,ILMN_1695404,2421.687
LY6E,GSM571904,1,ILMN_1695404,397.7722
IRF7,GSM571899,2,ILMN_1674646;ILMN_1798181,2415.71695
IRF7,GSM571900,2,ILMN_1674646;ILMN_1798181,255.36266999999998
IRF7,GSM571903,2,ILMN_1674646;ILMN_1798181,6216.649649999999
IRF7,GSM571904,2,ILMN_1674646;ILMN_1798181,700.956565
