donor_id,gene_symbol,ifn_sample,control_sample,ifn_median_log2_expression,control_median_log2_expression,paired_log2_effect,positive
HI1,ISG15,GSM571899,GSM571900,11162.08,444.5493,10717.5307,True
HI1,IFIT1,GSM571899,GSM571900,4469.6529,75.232695,4394.420205,True
HI1,IFIT2,GSM571899,GSM571900,10235.36,328.1976,9907.162400000001,True
HI1,IFIT3,GSM571899,GSM571900,3603.574,63.10654,3540.46746,True
HI1,MX1,GSM571899,GSM571900,14225.77,2848.129,11377.641,True
HI1,MX2,GSM571899,GSM571900,163.3809,39.98476,123.39614,True
HI1,OAS1,GSM571899,GSM571900,720.2437,115.2611,604.9826,True
HI1,OAS2,GSM571899,GSM571900,1470.9719,185.581785,1285.390115,True
HI1,IFI44L,GSM571899,GSM571900,5993.735,370.9177,5622.8173,True
HI1,IFI6,GSM571899,GSM571900,1353.859,582.5424,771.3165999999999,True
HI1,LY6E,GSM571899,GSM571900,6627.982,1890.565,4737.4169999999995,True
HI1,IRF7,GSM571899,GSM571900,2415.71695,255.36266999999998,2160.35428,True
HI2,ISG15,GSM571903,GSM571904,11339.34,300.1835,11039.156500000001,True
HI2,IFIT1,GSM571903,GSM571904,7356.326,93.93949500000001,7262.386505,True
HI2,IFIT2,GSM571903,GSM571904,21459.98,500.0157,20959.9643,True
HI2,IFIT3,GSM571903,GSM571904,2846.545,61.06348,2785.4815200000003,True
HI2,MX1,GSM571903,GSM571904,24966.73,5595.718,19371.012,True
HI2,MX2,GSM571903,GSM571904,436.1296,64.02975,372.09984999999995,True
HI2,OAS1,GSM571903,GSM571904,1129.046,146.4949,982.5511,True
HI2,OAS2,GSM571903,GSM571904,2231.76035,269.042995,1962.717355,True
HI2,IFI44L,GSM571903,GSM571904,10650.24,650.2311,10000.0089,True
HI2,IFI6,GSM571903,GSM571904,10738.0,735.5511,10002.4489,True
HI2,LY6E,GSM571903,GSM571904,2421.687,397.7722,2023.9148,True
HI2,IRF7,GSM571903,GSM571904,6216.649649999999,700.956565,5515.693084999999,True
