gene_symbol,sample,probe_count,probe_ids,median_log2p1_expression
ISG15,GSM571899,1,ILMN_1813289,13.446447514930481
ISG15,GSM571900,1,ILMN_1813289,8.799441264463313
ISG15,GSM571903,1,ILMN_1813289,13.469176274588024
ISG15,GSM571904,1,ILMN_1813289,8.23449892552091
IFIT1,GSM571899,2,ILMN_1699331;ILMN_1707695,11.200808718713972
IFIT1,GSM571900,2,ILMN_1699331;ILMN_1707695,6.05147898167973
IFIT1,GSM571903,2,ILMN_1699331;ILMN_1707695,11.468511340383198
IFIT1,GSM571904,2,ILMN_1699331;ILMN_1707695,6.376867123727304
IFIT2,GSM571899,1,ILMN_1739428,13.321415170714888
IFIT2,GSM571900,1,ILMN_1739428,8.362810007670594
IFIT2,GSM571903,1,ILMN_1739428,14.389428336764974
IFIT2,GSM571904,1,ILMN_1739428,8.968712002690715
IFIT3,GSM571899,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,11.815613051922089
IFIT3,GSM571900,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,6.002399639629525
IFIT3,GSM571903,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,11.475502925810174
IFIT3,GSM571904,3,ILMN_1664543;ILMN_1683865;ILMN_1701789,5.9556726882732285
MX1,GSM571899,1,ILMN_1662358,13.796320533759106
MX1,GSM571900,1,ILMN_1662358,11.476305228699076
MX1,GSM571903,1,ILMN_1662358,14.607777040759037
MX1,GSM571904,1,ILMN_1662358,12.450365341623629
MX2,GSM571899,1,ILMN_1754619,7.360898866676904
MX2,GSM571900,1,ILMN_1754619,5.357015644624436
MX2,GSM571903,1,ILMN_1754619,8.771917262538768
MX2,GSM571904,1,ILMN_1754619,6.023027972387607
OAS1,GSM571899,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,9.494343001774158
OAS1,GSM571900,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,6.861224653526294
OAS1,GSM571903,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,10.142165785285865
OAS1,GSM571904,3,ILMN_1658247;ILMN_1672606;ILMN_1675640,7.204521260371826
OAS2,GSM571899,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,10.042978380799237
OAS2,GSM571900,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,7.221792464117439
OAS2,GSM571903,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,10.44438703652785
OAS2,GSM571904,4,ILMN_1674063;ILMN_1709333;ILMN_1810213;ILMN_1812740,7.687727471782704
IFI44L,GSM571899,1,ILMN_1723912,12.549480264717616
IFI44L,GSM571900,1,ILMN_1723912,8.538839598909291
IFI44L,GSM571903,1,ILMN_1723912,13.378733775983081
IFI44L,GSM571904,1,ILMN_1723912,9.347025787942163
IFI6,GSM571899,1,ILMN_1687384,10.403927002967917
IFI6,GSM571900,1,ILMN_1687384,9.18869367526583
IFI6,GSM571903,1,ILMN_1687384,13.390572037471506
IFI6,GSM571904,1,ILMN_1687384,9.524641808938387
LY6E,GSM571899,1,ILMN_1695404,12.694571620110693
LY6E,GSM571900,1,ILMN_1695404,10.885364637346726
LY6E,GSM571903,1,ILMN_1695404,11.24239231193731
LY6E,GSM571904,1,ILMN_1695404,8.639421026993002
IRF7,GSM571899,2,ILMN_1674646;ILMN_1798181,9.494570986228148
IRF7,GSM571900,2,ILMN_1674646;ILMN_1798181,7.3531631724220015
IRF7,GSM571903,2,ILMN_1674646;ILMN_1798181,9.731743708371317
IRF7,GSM571904,2,ILMN_1674646;ILMN_1798181,8.111799560979131
