donor_id,gene_symbol,ifn_sample,control_sample,ifn_median_log2p1_expression,control_median_log2p1_expression,paired_log2p1_effect,positive
HI1,ISG15,GSM571899,GSM571900,13.446447514930481,8.799441264463313,4.647006250467168,True
HI1,IFIT1,GSM571899,GSM571900,11.200808718713972,6.05147898167973,5.149329737034242,True
HI1,IFIT2,GSM571899,GSM571900,13.321415170714888,8.362810007670594,4.958605163044293,True
HI1,IFIT3,GSM571899,GSM571900,11.815613051922089,6.002399639629525,5.813213412292564,True
HI1,MX1,GSM571899,GSM571900,13.796320533759106,11.476305228699076,2.3200153050600303,True
HI1,MX2,GSM571899,GSM571900,7.360898866676904,5.357015644624436,2.003883222052468,True
HI1,OAS1,GSM571899,GSM571900,9.494343001774158,6.861224653526294,2.633118348247864,True
HI1,OAS2,GSM571899,GSM571900,10.042978380799237,7.221792464117439,2.821185916681798,True
HI1,IFI44L,GSM571899,GSM571900,12.549480264717616,8.538839598909291,4.0106406658083245,True
HI1,IFI6,GSM571899,GSM571900,10.403927002967917,9.18869367526583,1.2152333277020873,True
HI1,LY6E,GSM571899,GSM571900,12.694571620110693,10.885364637346726,1.8092069827639676,True
HI1,IRF7,GSM571899,GSM571900,9.494570986228148,7.3531631724220015,2.141407813806146,True
HI2,ISG15,GSM571903,GSM571904,13.469176274588024,8.23449892552091,5.234677349067114,True
HI2,IFIT1,GSM571903,GSM571904,11.468511340383198,6.376867123727304,5.091644216655895,True
HI2,IFIT2,GSM571903,GSM571904,14.389428336764974,8.968712002690715,5.420716334074259,True
HI2,IFIT3,GSM571903,GSM571904,11.475502925810174,5.9556726882732285,5.5198302375369455,True
HI2,MX1,GSM571903,GSM571904,14.607777040759037,12.450365341623629,2.157411699135409,True
HI2,MX2,GSM571903,GSM571904,8.771917262538768,6.023027972387607,2.748889290151161,True
HI2,OAS1,GSM571903,GSM571904,10.142165785285865,7.204521260371826,2.937644524914039,True
HI2,OAS2,GSM571903,GSM571904,10.44438703652785,7.687727471782704,2.7566595647451457,True
HI2,IFI44L,GSM571903,GSM571904,13.378733775983081,9.347025787942163,4.0317079880409175,True
HI2,IFI6,GSM571903,GSM571904,13.390572037471506,9.524641808938387,3.8659302285331183,True
HI2,LY6E,GSM571903,GSM571904,11.24239231193731,8.639421026993002,2.6029712849443083,True
HI2,IRF7,GSM571903,GSM571904,9.731743708371317,8.111799560979131,1.6199441473921858,True
