panel,series,category,estimate,ci_low,ci_high,p_value,q_value,n_or_targets
B,regulator_activity,gse174188_primary|STAT1,1.2853227600953685,0.9603788749738309,1.610266645216906,1.0912993950800102e-14,6.547796370480062e-14,98
B,regulator_activity,gse174188_primary|STAT2,2.182323743129181,1.325600862826093,3.0390466234322693,6.143418325317636e-07,1.8430254975952908e-06,14
B,regulator_activity,gse174188_primary|IRF7,1.2109287565006193,-0.22477604239560578,2.6466335553968445,0.09828752092661905,0.14743128138992856,5
B,regulator_activity,gse174188_primary|IRF9,3.446381839465805,2.236607497628673,4.656156181302936,2.4768602601993734e-08,8.492092320683565e-08,7
C,regulator_activity,gse174188_primary|E2F1,0.08436646612984919,-0.26948669822862503,0.43821963048832346,0.640217317741058,0.6984188920811542,83
C,regulator_activity,gse174188_primary|FOXM1,-0.132697622837725,-0.9358845375547932,0.6704892918793431,0.7460275049715046,0.7784634834485267,16
C,regulator_activity,gse174188_primary|MYC,-0.35553165964638295,-0.5391622524115026,-0.1719010668812633,0.0001491580671746744,0.0003254357829265623,317
C,regulator_activity,gse174188_primary|MYBL2,-0.12542921823796538,-1.2611856072936862,1.0103271708177557,0.8285991469525991,0.8285991469525991,8
B,regulator_activity,gse174188_internal_nonoverlap|STAT1,1.0905000927531063,0.8426463925489134,1.3383537929572993,8.074312172520138e-18,6.45944973801611e-17,129
B,regulator_activity,gse174188_internal_nonoverlap|STAT2,2.9618546143648667,2.3211016252585255,3.602607603471208,1.7028231779037046e-19,2.0433878134844454e-18,19
B,regulator_activity,gse174188_internal_nonoverlap|IRF7,2.196592154220724,0.941394399344812,3.451789909096636,0.0006062259859119113,0.0012124519718238226,5
B,regulator_activity,gse174188_internal_nonoverlap|IRF9,2.6863533076648323,1.8006107926064092,3.5720958227232553,2.9088745387023286e-09,1.1635498154809313e-08,10
C,regulator_activity,gse174188_internal_nonoverlap|E2F1,0.14798876698105703,-0.12224517087883516,0.41822270484094926,0.28306571377490986,0.3774209516998798,109
C,regulator_activity,gse174188_internal_nonoverlap|FOXM1,-0.38347091186264365,-0.9697137909448017,0.20277196721951435,0.1997865320120059,0.2820515746051848,23
C,regulator_activity,gse174188_internal_nonoverlap|MYC,-0.22536621463840614,-0.36949345021073055,-0.08123897906608177,0.0021838384141296915,0.0037437229956509,393
C,regulator_activity,gse174188_internal_nonoverlap|MYBL2,-0.7760912802957612,-1.5873354759491742,0.03515291535765186,0.06078450314244686,0.09725520502791497,12
B,regulator_activity,gse135779_childhood|STAT1,1.1380140564628496,0.9127219837512872,1.363306129174412,5.452692050218495e-23,1.3086460920524386e-21,161
B,regulator_activity,gse135779_childhood|STAT2,2.4001804460700447,1.7631449275384132,3.037215964601676,1.660736696766168e-13,7.971536144477607e-13,20
B,regulator_activity,gse135779_childhood|IRF7,1.8489521217533444,0.7702513321693409,2.927652911337348,0.0007829663275844147,0.0014454762970789194,7
B,regulator_activity,gse135779_childhood|IRF9,2.1617992056979647,1.2598990231050349,3.0636993882908943,2.6610202906104966e-06,7.096054108294657e-06,10
C,regulator_activity,gse135779_childhood|E2F1,-0.07539203648303014,-0.30954906468242166,0.15876499171636138,0.5279634082522323,0.6220333592567167,150
C,regulator_activity,gse135779_childhood|FOXM1,0.173370719617974,-0.38708536868232024,0.7338268079182683,0.544279189349627,0.6220333592567167,26
C,regulator_activity,gse135779_childhood|MYC,-0.25847896745259613,-0.39197429873943745,-0.12498363616575484,0.0001483725376623169,0.0003254357829265623,470
C,regulator_activity,gse135779_childhood|MYBL2,-0.27956625854939876,-1.0431239996265336,0.48399148252773616,0.4729517835949494,0.5974127792778308,14
D,MSigDB_M5911_NES,gse174188_primary,3.186802649601297,,,0.00016801075268817206,0.00017241379310344824,54
D,MSigDB_M5911_NES,gse174188_internal_nonoverlap,3.0498612816254838,,,0.00014979029358897544,0.00017241379310344824,68
D,MSigDB_M5911_NES,gse135779_childhood,3.5271419267951707,,,0.00017241379310344826,0.00017241379310344824,81
D,GSE23307_mean_paired_log2p1_effect,HI1,3.293570512080079,,,not_calculated_n_equals_2,,12
D,GSE23307_mean_paired_log2p1_effect,HI2,3.665668905432541,,,not_calculated_n_equals_2,,12
