contrast,regulator,matched_targets,full_slope,loo_min_slope,loo_max_slope,loo_same_direction_fraction,loo_all_same_direction,resamples,resample_fraction,resample_sampled_targets,resample_positive_fraction,resample_same_direction_fraction
gse174188_primary,STAT1,98,1.2853227600953685,1.2277435020954184,1.3493353997073174,1.0,True,100,0.8,79,1.0,1.0
gse174188_primary,STAT2,14,2.182323743129181,1.822241928122545,2.651266155475584,1.0,True,100,0.8,12,1.0,1.0
gse174188_primary,IRF7,5,1.2109287565006193,0.06759441812010442,2.222623540889649,1.0,True,100,0.8,4,1.0,1.0
gse174188_primary,IRF9,7,3.446381839465805,2.877123630284663,4.127120345758684,1.0,True,100,0.8,6,1.0,1.0
gse174188_internal_nonoverlap,STAT1,129,1.0905000927531063,1.0446996677852483,1.138984721518947,1.0,True,100,0.8,104,1.0,1.0
gse174188_internal_nonoverlap,STAT2,19,2.9618546143648667,2.7401968843864446,3.154103323526743,1.0,True,100,0.8,16,1.0,1.0
gse174188_internal_nonoverlap,IRF7,5,2.196592154220724,1.1964890789819056,2.7859448111233407,1.0,True,100,0.8,4,1.0,1.0
gse174188_internal_nonoverlap,IRF9,10,2.6863533076648323,2.3984422304444575,3.2177234876184126,1.0,True,100,0.8,8,1.0,1.0
gse135779_childhood,STAT1,161,1.1380140564628496,1.1041388616999963,1.1636141843223708,1.0,True,100,0.8,129,1.0,1.0
gse135779_childhood,STAT2,20,2.4001804460700447,2.2009816894721097,2.604396787838555,1.0,True,100,0.8,16,1.0,1.0
gse135779_childhood,IRF7,7,1.8489521217533444,1.362543671611089,2.143861737627895,1.0,True,100,0.8,6,1.0,1.0
gse135779_childhood,IRF9,10,2.1617992056979647,1.8666260011496445,2.8840014813583377,1.0,True,100,0.8,8,1.0,1.0
