contrast,regulator,replicate,sampled_targets,slope,positive,same_direction_as_full
gse174188_primary,STAT1,1,79,1.152401397372547,True,True
gse174188_primary,STAT1,2,79,1.2284196860974383,True,True
gse174188_primary,STAT1,3,79,1.2839656355497229,True,True
gse174188_primary,STAT1,4,79,1.3791513727738969,True,True
gse174188_primary,STAT1,5,79,1.0991513291826258,True,True
gse174188_primary,STAT1,6,79,1.164794573936457,True,True
gse174188_primary,STAT1,7,79,1.0415743723416953,True,True
gse174188_primary,STAT1,8,79,1.3479744133206877,True,True
gse174188_primary,STAT1,9,79,1.3397226451863766,True,True
gse174188_primary,STAT1,10,79,1.149378293063442,True,True
gse174188_primary,STAT1,11,79,1.2077497520817315,True,True
gse174188_primary,STAT1,12,79,1.4351651626756767,True,True
gse174188_primary,STAT1,13,79,1.1989098173378638,True,True
gse174188_primary,STAT1,14,79,1.1734339228822481,True,True
gse174188_primary,STAT1,15,79,1.332631879440666,True,True
gse174188_primary,STAT1,16,79,1.30636638530811,True,True
gse174188_primary,STAT1,17,79,1.4957777315523328,True,True
gse174188_primary,STAT1,18,79,1.4099147692229692,True,True
gse174188_primary,STAT1,19,79,1.2779201167903003,True,True
gse174188_primary,STAT1,20,79,1.2713601640375731,True,True
gse174188_primary,STAT1,21,79,1.280943879568996,True,True
gse174188_primary,STAT1,22,79,1.0095417551765655,True,True
gse174188_primary,STAT1,23,79,1.33414137226776,True,True
gse174188_primary,STAT1,24,79,1.5208326371290952,True,True
gse174188_primary,STAT1,25,79,1.1909087618439194,True,True
gse174188_primary,STAT1,26,79,1.3944824894264671,True,True
gse174188_primary,STAT1,27,79,1.2973142092854741,True,True
gse174188_primary,STAT1,28,79,1.197019472955978,True,True
gse174188_primary,STAT1,29,79,1.3864296431241243,True,True
gse174188_primary,STAT1,30,79,1.1925728062832617,True,True
gse174188_primary,STAT1,31,79,1.2384502982559513,True,True
gse174188_primary,STAT1,32,79,1.2469826755632964,True,True
gse174188_primary,STAT1,33,79,1.4191497141366782,True,True
gse174188_primary,STAT1,34,79,1.248863698098059,True,True
gse174188_primary,STAT1,35,79,1.4357740444186586,True,True
gse174188_primary,STAT1,36,79,1.3993874194492735,True,True
gse174188_primary,STAT1,37,79,1.2191893879781297,True,True
gse174188_primary,STAT1,38,79,1.417161802199968,True,True
gse174188_primary,STAT1,39,79,1.3504868619909294,True,True
gse174188_primary,STAT1,40,79,1.4269300098518438,True,True
gse174188_primary,STAT1,41,79,1.418533502161076,True,True
gse174188_primary,STAT1,42,79,1.1662691902636073,True,True
gse174188_primary,STAT1,43,79,1.2223522596534655,True,True
gse174188_primary,STAT1,44,79,1.293538009261923,True,True
gse174188_primary,STAT1,45,79,1.3445275814772493,True,True
gse174188_primary,STAT1,46,79,1.286952174647135,True,True
gse174188_primary,STAT1,47,79,1.4153568245416228,True,True
gse174188_primary,STAT1,48,79,1.4731969747351907,True,True
gse174188_primary,STAT1,49,79,1.225057622424205,True,True
gse174188_primary,STAT1,50,79,1.292709556927566,True,True
gse174188_primary,STAT1,51,79,1.0885022814590484,True,True
gse174188_primary,STAT1,52,79,1.3162883470555737,True,True
gse174188_primary,STAT1,53,79,1.288527800076305,True,True
gse174188_primary,STAT1,54,79,1.1463723774408368,True,True
gse174188_primary,STAT1,55,79,1.1243218278938611,True,True
gse174188_primary,STAT1,56,79,1.430769355388097,True,True
gse174188_primary,STAT1,57,79,1.107410156625548,True,True
gse174188_primary,STAT1,58,79,0.9773735061182277,True,True
gse174188_primary,STAT1,59,79,1.3068767639141157,True,True
gse174188_primary,STAT1,60,79,1.1189534471828553,True,True
gse174188_primary,STAT1,61,79,1.3248215819680336,True,True
gse174188_primary,STAT1,62,79,1.2319033825152885,True,True
gse174188_primary,STAT1,63,79,1.2197582289313396,True,True
gse174188_primary,STAT1,64,79,1.2471666537618313,True,True
gse174188_primary,STAT1,65,79,1.3845269736370875,True,True
gse174188_primary,STAT1,66,79,1.3356781638993196,True,True
gse174188_primary,STAT1,67,79,1.4115009129311735,True,True
gse174188_primary,STAT1,68,79,1.2617474794948906,True,True
gse174188_primary,STAT1,69,79,1.2369130025004262,True,True
gse174188_primary,STAT1,70,79,1.4132402840218241,True,True
gse174188_primary,STAT1,71,79,0.9907991716465188,True,True
gse174188_primary,STAT1,72,79,1.2622855528977062,True,True
gse174188_primary,STAT1,73,79,1.3231780481687334,True,True
gse174188_primary,STAT1,74,79,1.2039298757813859,True,True
gse174188_primary,STAT1,75,79,1.342081447894221,True,True
gse174188_primary,STAT1,76,79,1.1935879352489622,True,True
gse174188_primary,STAT1,77,79,1.2511167750234244,True,True
gse174188_primary,STAT1,78,79,1.194413476685518,True,True
gse174188_primary,STAT1,79,79,1.043095862400895,True,True
gse174188_primary,STAT1,80,79,1.4873272407556537,True,True
gse174188_primary,STAT1,81,79,0.9475028541559941,True,True
gse174188_primary,STAT1,82,79,1.4400512834093073,True,True
gse174188_primary,STAT1,83,79,1.4512333399827957,True,True
gse174188_primary,STAT1,84,79,1.0337168851470564,True,True
gse174188_primary,STAT1,85,79,1.3124786778114623,True,True
gse174188_primary,STAT1,86,79,1.2416221755311945,True,True
gse174188_primary,STAT1,87,79,1.3266102461677998,True,True
gse174188_primary,STAT1,88,79,1.3226094764814276,True,True
gse174188_primary,STAT1,89,79,1.4436842397070282,True,True
gse174188_primary,STAT1,90,79,1.4644362136029214,True,True
gse174188_primary,STAT1,91,79,1.1984240962008756,True,True
gse174188_primary,STAT1,92,79,1.1913234508187542,True,True
gse174188_primary,STAT1,93,79,1.1878930755702495,True,True
gse174188_primary,STAT1,94,79,1.1809126255660167,True,True
gse174188_primary,STAT1,95,79,1.0137656504243613,True,True
gse174188_primary,STAT1,96,79,1.3297486420767175,True,True
gse174188_primary,STAT1,97,79,1.3162522470451108,True,True
gse174188_primary,STAT1,98,79,1.3728847054928142,True,True
gse174188_primary,STAT1,99,79,1.3138542732526923,True,True
gse174188_primary,STAT1,100,79,1.3711640119960493,True,True
gse174188_primary,STAT2,1,12,2.0883916603943127,True,True
gse174188_primary,STAT2,2,12,2.0162266876232273,True,True
gse174188_primary,STAT2,3,12,2.4106100154519328,True,True
gse174188_primary,STAT2,4,12,2.7526473979671087,True,True
gse174188_primary,STAT2,5,12,1.428482043440124,True,True
gse174188_primary,STAT2,6,12,1.9242467717674805,True,True
gse174188_primary,STAT2,7,12,2.5442699065745247,True,True
gse174188_primary,STAT2,8,12,1.510052158909981,True,True
gse174188_primary,STAT2,9,12,1.9908831919179422,True,True
gse174188_primary,STAT2,10,12,2.4106100154519328,True,True
gse174188_primary,STAT2,11,12,2.0675492481263458,True,True
gse174188_primary,STAT2,12,12,2.1156560425686366,True,True
gse174188_primary,STAT2,13,12,2.0675492481263458,True,True
gse174188_primary,STAT2,14,12,2.2307112186964253,True,True
gse174188_primary,STAT2,15,12,2.5189264108692395,True,True
gse174188_primary,STAT2,16,12,2.0675492481263458,True,True
gse174188_primary,STAT2,17,12,2.0129573215414776,True,True
gse174188_primary,STAT2,18,12,2.573568814020881,True,True
gse174188_primary,STAT2,19,12,1.820602526674088,True,True
gse174188_primary,STAT2,20,12,2.1365944171397686,True,True
gse174188_primary,STAT2,21,12,1.5604444037461804,True,True
gse174188_primary,STAT2,22,12,1.9908831919179422,True,True
gse174188_primary,STAT2,23,12,1.9302514510192175,True,True
gse174188_primary,STAT2,24,12,1.9837644972441677,True,True
gse174188_primary,STAT2,25,12,2.9867600288455214,True,True
gse174188_primary,STAT2,26,12,2.2307112186964253,True,True
gse174188_primary,STAT2,27,12,2.432684145075468,True,True
gse174188_primary,STAT2,28,12,2.959495646671197,True,True
gse174188_primary,STAT2,29,12,1.5321262885335165,True,True
gse174188_primary,STAT2,30,12,2.0589377901292454,True,True
gse174188_primary,STAT2,31,12,2.0129573215414776,True,True
gse174188_primary,STAT2,32,12,1.5615801587985836,True,True
gse174188_primary,STAT2,33,12,2.271979689416982,True,True
gse174188_primary,STAT2,34,12,1.5916440140102037,True,True
gse174188_primary,STAT2,35,12,2.297323185122267,True,True
gse174188_primary,STAT2,36,12,1.9837644972441677,True,True
gse174188_primary,STAT2,37,12,1.5615801587985836,True,True
gse174188_primary,STAT2,38,12,2.7526473979671087,True,True
gse174188_primary,STAT2,39,12,1.9021726421439449,True,True
gse174188_primary,STAT2,40,12,2.7526473979671087,True,True
gse174188_primary,STAT2,41,12,2.4922018705521554,True,True
gse174188_primary,STAT2,42,12,2.0927377810129197,True,True
gse174188_primary,STAT2,43,12,2.8057605584302547,True,True
gse174188_primary,STAT2,44,12,2.0589377901292454,True,True
gse174188_primary,STAT2,45,12,2.993295637554872,True,True
gse174188_primary,STAT2,46,12,1.5321262885335165,True,True
gse174188_primary,STAT2,47,12,2.993295637554872,True,True
gse174188_primary,STAT2,48,12,2.2995860297170085,True,True
gse174188_primary,STAT2,49,12,1.4788742882763235,True,True
gse174188_primary,STAT2,50,12,2.5189264108692395,True,True
gse174188_primary,STAT2,51,12,1.7911486564090209,True,True
gse174188_primary,STAT2,52,12,2.484858264246884,True,True
gse174188_primary,STAT2,53,12,2.5989123097261655,True,True
gse174188_primary,STAT2,54,12,2.5189264108692395,True,True
gse174188_primary,STAT2,55,12,2.4510582733632096,True,True
gse174188_primary,STAT2,56,12,2.592376701016815,True,True
gse174188_primary,STAT2,57,12,2.5670332053115303,True,True
gse174188_primary,STAT2,58,12,2.1365944171397686,True,True
gse174188_primary,STAT2,59,12,2.0675492481263458,True,True
gse174188_primary,STAT2,60,12,2.5989123097261655,True,True
gse174188_primary,STAT2,61,12,2.1491193635962027,True,True
gse174188_primary,STAT2,62,12,1.5604444037461804,True,True
gse174188_primary,STAT2,63,12,1.879859206183018,True,True
gse174188_primary,STAT2,64,12,2.0978185427234495,True,True
gse174188_primary,STAT2,65,12,1.5395060291750484,True,True
gse174188_primary,STAT2,66,12,2.993295637554872,True,True
gse174188_primary,STAT2,67,12,2.1699617758641696,True,True
gse174188_primary,STAT2,68,12,1.879859206183018,True,True
gse174188_primary,STAT2,69,12,2.0862021723035693,True,True
gse174188_primary,STAT2,70,12,2.779911780141432,True,True
gse174188_primary,STAT2,71,12,1.9021726421439449,True,True
gse174188_primary,STAT2,72,12,2.2995860297170085,True,True
gse174188_primary,STAT2,73,12,1.9242467717674805,True,True
gse174188_primary,STAT2,74,12,2.297323185122267,True,True
gse174188_primary,STAT2,75,12,2.5670332053115303,True,True
gse174188_primary,STAT2,76,12,1.6420362588464033,True,True
