"gene_symbol","full_logcpm_effect_hc3","full_p_value_hc3","loo_min_effect","loo_max_effect","loo_max_absolute_delta","loo_sign_concordance","loo_any_sign_flip","most_influential_sample_id","q_value_confirmatory_genes"
"CD27",-0.517224206013427,0.0145592105514737,-0.569981678113955,-0.458096267804915,0.0591279382085119,1,FALSE,"JB18069",0.0305050125840402
"TNFRSF13B",0.142932055047101,0.42077970788992,0.0950456842728897,0.209770064566325,0.0668380095192234,1,FALSE,"JB18078",0.528980204204471
"AIM2",0.040194224983928,0.872374517444493,-0.0491994285107928,0.151697038218284,0.111502813234356,0.930232558139535,TRUE,"JB18069",0.892662296919947
"BANK1",-0.0388129432892512,0.54894214850729,-0.059421679725439,-0.0172532945984472,0.0215596486908041,1,FALSE,"JB17010",0.652796068495155
"CD40",-0.281113853238434,0.00102129856058911,-0.30355659756372,-0.248049163265009,0.0330646899734255,1,FALSE,"JB18086",0.0029958091110614
"LTB",-0.309564039578724,0.00282327445148206,-0.350685083155923,-0.276755540971315,0.0411210435771991,1,FALSE,"JB17017",0.0073072985803065
"GPR183",0.0624635854424476,0.6711035542135,-0.0101547415614007,0.107247882995829,0.0726183270038483,0.976744186046512,TRUE,"JB17010",0.757142471420358
"TCL1A",-0.518882524684798,0.0111153732025982,-0.581271168834917,-0.428125709210384,0.0907568154744141,1,FALSE,"JB17008",0.024453821045716
"IL4R",-0.675326056844828,0.000310875002647193,-0.748176019940409,-0.60531129523897,0.0728499630955817,1,FALSE,"JB18069",0.00105219231665204
"FCER2",-0.534873318626598,0.00257218262622345,-0.597146298622871,-0.482649937765146,0.0622729799962727,1,FALSE,"JB18069",0.00707350222211449
"CCR7",-0.272744996287077,0.157138152310968,-0.342239160427301,-0.203488713924386,0.0694941641402238,1,FALSE,"JB17010",0.232237663797474
"SELL",-0.146406839554167,0.158343861680096,-0.181151075956919,-0.102555959400604,0.0438508801535633,1,FALSE,"JB17019",0.232237663797474
"CXCR4",-0.130644253987704,0.546443648399079,-0.224642597163061,-0.0578027825370029,0.0939983431753575,1,FALSE,"JB18069",0.652796068495155
