"feature_name","full_logcpm_effect_hc3","full_p_value_hc3","loo_min_effect","loo_max_effect","loo_max_absolute_delta","loo_sign_concordance","loo_any_sign_flip","most_influential_sample_uuid","q_value_confirmatory_genes"
"CD27",-0.436470315473724,0.00678975628387464,-0.477543848308748,-0.400199609424581,0.0410735328350236,1,FALSE,"c1ac7564-4e90-4bc9-ad66-24cecb27127f",0.0165971820272491
"TNFRSF13B",-0.350053554582018,0.0187501102797639,-0.399558157815294,-0.304808350651873,0.0495046032332764,1,FALSE,"6307a65a-3edb-45f0-bc18-27a090661e19",0.0375002205595278
"AIM2",-0.117640986677724,0.562319850634627,-0.172584729811685,-0.0532265817852743,0.0644144048924497,1,FALSE,"342b5092-67e5-4a0e-a437-8b735f2a863c",0.656412152285783
"BANK1",-0.0850180297637037,0.0815816572872353,-0.100150800669511,-0.0719452642929249,0.015132770905807,1,FALSE,"c1ac7564-4e90-4bc9-ad66-24cecb27127f",0.119653097354612
"CD40",0.311035417284891,0.00834844564865155,0.266538257790746,0.340162034539768,0.0444971594941453,1,FALSE,"bca9c9c7-62f2-4427-a3aa-3dcd297ced84",0.0183665804270334
"LTB",0.0799079602437488,0.184986549341482,0.0642170940383602,0.0967135916855733,0.0168056314418245,1,FALSE,"0eebb9c2-8cf2-4e46-abcb-0525a9507033",0.262561553904039
"GPR183",-0.39266609625624,0.00140333177143651,-0.429542586569663,-0.357359170405135,0.0368764903134228,1,FALSE,"fc11ebf7-2767-4d92-96f9-a57af8f1be30",0.0038591623714504
"TCL1A",0.886913634931513,1.00499716827793e-05,0.841291090818914,0.967288605930285,0.0803749709987723,1,FALSE,"6307a65a-3edb-45f0-bc18-27a090661e19",8.61442556453711e-05
"IL4R",0.0981094524108943,0.53039229204553,0.0514904872867816,0.146214900832562,0.0481054484216676,1,FALSE,"fc11ebf7-2767-4d92-96f9-a57af8f1be30",0.656412152285783
"FCER2",0.079026216417057,0.566901404246813,0.0254490045188487,0.121360435514574,0.0535772118982083,1,FALSE,"4452abfd-aa95-4982-b2c8-ac779e0cc76e",0.656412152285783
"CCR7",-0.065214799413621,0.617525169430036,-0.109703605489975,-0.0312706645814645,0.0444888060763536,1,FALSE,"0eebb9c2-8cf2-4e46-abcb-0525a9507033",0.689215932919629
"SELL",0.170500682749279,0.020823601173877,0.140629304155249,0.192534888082901,0.0298713785940303,1,FALSE,"46e0206c-f34e-4e58-a099-c5de09a89bdb",0.0398364544195908
"CXCR4",0.00973951647734805,0.921273715601939,-0.0177930851544832,0.0322128967840378,0.0275326016318312,0.853932584269663,TRUE,"0eebb9c2-8cf2-4e46-abcb-0525a9507033",0.955308447160672
"VPREB3",0.446775739956466,0.000107794866478276,0.414393226702784,0.472164978357022,0.0323825132536812,1,FALSE,"145e48d0-e1f3-48cd-a198-d4c62e1f8ba0",0.000431179465913105
"TBX21",0.305889401540596,0.0609250113563881,0.268392444286918,0.352262049961584,0.0463726484209877,1,FALSE,"37214563-4102-451e-a546-a1833db3aedd",0.093897456983161
"ITGAX",0.0171724450906368,0.913778514914944,-0.0234484092099863,0.0529480986763109,0.0406208543006231,0.831460674157303,TRUE,"ae1510fa-1501-4ddd-8291-9ccd1917369e",0.955308447160672
"FCRL5",0.630694055664006,0.000186054875200311,0.599396358820898,0.676097638844848,0.0454035831808419,1,FALSE,"bc16e1fe-cd25-4a6b-a329-2e2c7121ad8d",0.000682201209067807
"FCRL3",0.119682659272322,0.39686927950982,0.0790425172458699,0.155252210160623,0.0406401420264523,1,FALSE,"46e0206c-f34e-4e58-a099-c5de09a89bdb",0.513595538189178
"ZEB2",0.283892333594231,0.00159126022628298,0.259877031482761,0.308664027739099,0.0247716941448679,1,FALSE,"92d39096-b1d1-4746-9812-474db1f5f049",0.00411855587979123
"CXCR3",0.159646329452133,0.370641149497597,0.130677521814324,0.193252528072817,0.0336061986206839,1,FALSE,"910e95f1-f837-41c6-bcb3-683780852c38",0.494188199330129
"TLR7",0.554313992263099,8.47710683054817e-05,0.504380899460108,0.587835818952793,0.0499330928029906,1,FALSE,"261c08e0-fa34-4086-950f-1d8425f2476b",0.000372992700544119
"CR2",0.322981635195528,0.0287112168451514,0.290142314454924,0.360136180942411,0.0371545457468833,1,FALSE,"342b5092-67e5-4a0e-a437-8b735f2a863c",0.0485882131225639
"CD74",-0.00641038300038888,0.933596891543384,-0.0204102399522625,0.00825018792450227,0.0146605709248911,0.786516853932584,TRUE,"bc16e1fe-cd25-4a6b-a329-2e2c7121ad8d",0.955308447160672
"HLA-DRA",0.0232532333098433,0.626559939017845,0.00598520301866889,0.0333055748620428,0.0172680302911744,1,FALSE,"4452abfd-aa95-4982-b2c8-ac779e0cc76e",0.689215932919629
"HLA-DRB1",0.00165293650751597,0.988997540392904,-0.0412993612828612,0.0281779014274446,0.0429522977903771,0.617977528089888,TRUE,"63c521a1-5a88-4a39-8d65-a0999cb2cfa6",0.988997540392904
"HLA-DPA1",0.0424818189040286,0.548808437098365,0.0229575188822764,0.0568950294467092,0.0195243000217522,1,FALSE,"37d3daeb-c0f5-414a-8b98-0517e7464535",0.656412152285783
"HLA-DPB1",0.0693661261119729,0.308046552417807,0.0483636493665173,0.0907962212439362,0.0214300951319633,1,FALSE,"261c08e0-fa34-4086-950f-1d8425f2476b",0.423564009574484
"HLA-DQA1",0.193888560001293,0.0248737351640057,0.173325772625498,0.217029180326235,0.0231406203249419,1,FALSE,"46e6ff98-de92-4b09-98ae-ff683d6ed775",0.04377777388865
"HLA-DQB1",0.200061608849521,0.01522065274067,0.179465409577984,0.219349023483485,0.0205961992715367,1,FALSE,"0eebb9c2-8cf2-4e46-abcb-0525a9507033",0.0318908914566419
"B2M",0.0756774819079613,0.0242629504484992,0.0681857944562552,0.0849243647095231,0.00924688280156183,1,FALSE,"4452abfd-aa95-4982-b2c8-ac779e0cc76e",0.04377777388865
"CIITA",0.235265621403539,0.0611436683348941,0.170040888984442,0.264731463336174,0.0652247324190967,1,FALSE,"c1ac7564-4e90-4bc9-ad66-24cecb27127f",0.093897456983161
"CD86",0.259590138984135,0.0618869602843561,0.20312294842945,0.289686009868916,0.0564671905546851,1,FALSE,"37d3daeb-c0f5-414a-8b98-0517e7464535",0.093897456983161
"ISG15",0.767535215502874,2.40564776151838e-05,0.716527416316271,0.827158014474224,0.05962279897135,1,FALSE,"92d39096-b1d1-4746-9812-474db1f5f049",0.000151212145009727
"IFIT1",0.724023041313718,0.000290290565293087,0.662538514721436,0.772754117441659,0.0614845265922821,1,FALSE,"261c08e0-fa34-4086-950f-1d8425f2476b",0.000982521913299678
"IFIT2",0.413416743656438,0.00746349644296993,0.381944287323176,0.455390177318358,0.0419734336619194,1,FALSE,"5e0ed28c-a75a-4ecd-a0c7-49e71264690b",0.0172838864995093
