mapper,parameter,fold,n_validation,n_donors,balanced_accuracy,roc_auc,average_precision,brier_score,median_margin
elastic_net,alpha=1e-05;l1_ratio=0.5,0,2856,54,0.9504001498610664,0.9897661840287948,0.913074180480518,0.016778242604268447,
elastic_net,alpha=1e-05;l1_ratio=0.5,1,2848,50,0.9735976224194196,0.9950396989278962,0.9437239361667827,0.015496078870872612,
elastic_net,alpha=1e-05;l1_ratio=0.5,2,2857,51,0.9406407402213418,0.9837974324813894,0.932772272833001,0.017284943070964103,
elastic_net,alpha=1e-05;l1_ratio=0.5,3,2874,49,0.9665790714911394,0.9872238318771571,0.9399878612277176,0.012233774172332929,
elastic_net,alpha=1e-05;l1_ratio=0.5,4,2865,54,0.9503301886792452,0.9923367198838897,0.9579035913465354,0.01292889676930338,
elastic_net,alpha=0.0001;l1_ratio=0.5,0,2856,54,0.9531632132710299,0.9920557280973145,0.9455411355567939,0.043937501700472864,
elastic_net,alpha=0.0001;l1_ratio=0.5,1,2848,50,0.9665521327192151,0.9977323479809637,0.9865869836619104,0.039357003482346484,
elastic_net,alpha=0.0001;l1_ratio=0.5,2,2857,51,0.9487263202795404,0.9894076710023489,0.9562034012899303,0.018375851007811857,
elastic_net,alpha=0.0001;l1_ratio=0.5,3,2874,49,0.9673584439503178,0.993763522973145,0.9744316693142259,0.020559262320607476,
elastic_net,alpha=0.0001;l1_ratio=0.5,4,2865,54,0.9670464441219158,0.9958417997097243,0.9797500924857677,0.012882066190683657,
elastic_net,alpha=0.001;l1_ratio=0.5,0,2856,54,0.5078937235271467,0.8204083119369989,0.326203324527366,0.8498948680164643,
elastic_net,alpha=0.001;l1_ratio=0.5,1,2848,50,0.49998423155880806,0.9501229187534822,0.8193355886050416,0.8767217832485535,
elastic_net,alpha=0.001;l1_ratio=0.5,2,2857,51,0.5278700522385443,0.8580085954025406,0.4728787659842108,0.7362706944375589,
elastic_net,alpha=0.001;l1_ratio=0.5,3,2874,49,0.5038182512409316,0.9593266401635111,0.8250929676973694,0.8738873102184994,
elastic_net,alpha=0.001;l1_ratio=0.5,4,2865,54,0.5215384615384615,0.9483599419448476,0.8665296360308666,0.805340429857265,
elastic_net,alpha=0.01;l1_ratio=0.5,0,2856,54,0.07548210513170082,0.027201716266021237,0.04708158466673157,0.9800609483642531,
elastic_net,alpha=0.01;l1_ratio=0.5,1,2848,50,0.04474708171206226,0.009936370585399625,0.046738857620931,0.9863787996697455,
elastic_net,alpha=0.01;l1_ratio=0.5,2,2857,51,0.09090909090909091,0.033863753228388783,0.04808291890340346,0.9756387414638659,
elastic_net,alpha=0.01;l1_ratio=0.5,3,2874,49,0.047058823529411764,0.022485756425517894,0.04599726760367943,0.9853364136425645,
elastic_net,alpha=0.01;l1_ratio=0.5,4,2865,54,0.07547169811320754,0.030387518142235122,0.04808190613450198,0.9768150661811481,
nearest_centroid,Pearson correlation,0,2856,54,0.94131482271644,0.9796513054117983,0.9362532179371558,,0.18783313035964966
nearest_centroid,Pearson correlation,1,2848,50,0.9725696702293332,0.9950502112220242,0.9785429385952066,,0.18983474373817444
nearest_centroid,Pearson correlation,2,2857,51,0.9335192943706249,0.9809057602636468,0.9349769190321275,,0.1942894458770752
nearest_centroid,Pearson correlation,3,2874,49,0.9627450980392157,0.9889764840644162,0.9609643309898677,,0.18655195832252502
nearest_centroid,Pearson correlation,4,2865,54,0.9413171262699565,0.9842133526850508,0.9421714033829343,,0.1923009157180786
