model_feature_order,gene_symbol,max_abs_scale,elastic_net_coefficient,centroid_B_CONV,centroid_B_ASC
0,MEGF6,2.4504206,-0.66817504,0.005001914,0.0031599205
1,ID3,4.033043,-4.543964,0.12593187,0.054994274
2,MDS2,2.8499343,0.96365637,0.023349682,0.017837437
3,CD52,5.197427,-0.5210556,3.2399447,2.5468059
4,FGR,3.4604871,1.6264505,0.1439988,0.14655207
5,MATN1-AS1,2.8287072,0.9002119,0.02428339,0.0063279932
6,ZCCHC17,3.43302,0.74986523,0.088592194,0.17063175
7,MARCKSL1,4.720492,-0.61548096,0.31782967,0.12391411
8,PDE4B,3.753418,-1.6736047,0.3498743,0.29680842
9,ST6GALNAC3,2.97665,0.75614417,0.007844574,0.0021224017
10,NEXN,2.7512858,-0.24149188,0.019577892,0.010599374
11,GBP4,3.257067,-0.4444836,0.07116457,0.030354086
12,CNN3,2.9284763,0.28033304,0.02077769,0.0042254976
13,DBT,2.9903018,-1.8195553,0.031125568,0.020215752
14,VAV3,3.036935,-0.6402554,0.09815081,0.019389305
15,VAV3-AS1,3.0569885,-0.6580578,0.02623874,0.0060476777
16,CHI3L2,3.174276,0.17209685,0.08560366,0.025331711
17,C1ORF162,3.5184832,0.30526367,0.37913862,0.15718704
18,FMO5,3.0072048,0.2883145,0.022847395,0.004022046
19,C1ORF56,4.1556644,-0.33798498,0.25988176,0.2588206
20,CDC42SE1,4.10499,-0.8365997,0.36249545,0.4449283
21,S100A10,4.0664196,-2.1955917,0.47986084,1.3133172
22,S100A4,4.3440566,-1.1107435,1.1446854,1.9877477
23,RAB13,2.8287072,-0.019654384,0.012940511,0.013643595
24,FCRL5,3.6737213,0.026382023,0.22856626,0.29816496
25,FCRL3,3.4262772,0.19449264,0.12825066,0.020657822
26,FCRL2,3.7000105,0.101767614,0.20259473,0.1005839
27,FCRL1,3.8871298,0.40873733,0.2955583,0.08169394
28,CD1C,2.9218,-0.90882814,0.096460894,0.028479157
29,MNDA,3.7106497,-0.78317565,0.15725935,0.14396514
30,LY9,3.4575055,0.7930475,0.18402693,0.17880706
31,SELL,3.9684622,-1.1152292,0.8541976,0.522039
32,METTL18,2.7019117,0.28475672,0.037628964,0.035110082
33,KIAA0040,3.2677622,-1.4749019,0.17252247,0.2037133
34,RGS18,3.532886,-0.29964033,0.059469987,0.0668835
35,RGS1,4.3258114,-0.1877699,0.17310043,0.2935159
36,RGS2,4.5057,-0.474685,0.49155414,0.48912343
37,MIR181A1HG,3.367682,0.36353844,0.024281276,0.07900193
38,PTPN7,3.0426197,-1.5498458,0.07802395,0.19338211
39,BTG2,3.532886,-1.5454142,0.38541436,0.35383937
40,MDM4,4.0742006,-0.57136023,0.46584103,0.47853974
41,DSTYK,2.9470954,0.18724687,0.033520777,0.038506933
42,NUAK2,3.1292977,0.18155476,0.07026644,0.070494555
43,LYPLAL1,3.5027342,-3.195321,0.13530207,0.15710618
44,FAM177B,3.0256717,-1.0701019,0.05903728,0.0062895445
45,ENAH,2.7651205,0.34363094,0.009990328,0.0024910094
46,GALNT2,2.9819674,-1.1003231,0.058348376,0.2597117
47,C1ORF131,3.003556,1.039891,0.104870535,0.1509165
48,LYST,3.5590467,-0.8757439,0.27442592,0.10740412
49,KMO,3.0145464,-0.24469267,0.07275505,0.014351121
50,CHML,3.0145464,-0.4356018,0.042269662,0.012706074
51,CMPK2,2.743088,0.33840203,0.021663517,0.020928562
52,RHOB,3.4689867,1.0144185,0.18618348,0.21579362
53,LBH,3.5361166,-1.9122583,0.39752826,0.12433568
54,GPATCH11,3.1830988,1.3085384,0.085877255,0.08220198
55,EIF2AK2,3.4918644,-1.7864668,0.22969374,0.24598166
56,ZFP36L2,4.214594,0.052607473,0.893816,0.6843942
57,ATP6V1E2,3.6494415,-0.1306024,0.029851234,0.028747872
58,BCL11A,3.7116227,0.7123967,0.3721931,0.06722737
59,PELI1,3.3601398,0.0036044372,0.14151946,0.2124081
60,PAIP2B,2.9522412,-0.046833366,0.027415557,0.018417425
61,TMSB10,5.890817,0.09065337,3.884071,4.3144636
62,GNLY,3.9225824,0.6801828,0.34072173,0.575979
63,EIF2AK3,3.166625,3.0338504,0.055727713,0.12749119
64,DUSP2,4.195965,-0.12644242,0.18498309,0.18511568
65,EIF5B,3.6847448,0.6578773,0.32888302,0.822695
66,AFF3,3.3895733,-0.6100454,0.32070538,0.034162518
67,NCK2,2.9352024,0.4769754,0.079218335,0.048213497
68,UXS1,2.8811638,2.5613875,0.069569185,0.07092378
69,GCC2,3.696171,-0.73654383,0.39330122,0.35195643
70,ZC3H8,2.9678564,-1.4902874,0.085978284,0.0725759
71,ZC3H6,3.192007,-1.8210782,0.06324713,0.043641225
72,DBI,3.8230329,-1.033067,0.6491104,0.9964867
73,NIFK-AS1,3.0647454,1.2791182,0.034155075,0.037292704
74,MGAT5,3.0210197,0.15431955,0.049228787,0.020092638
75,CXCR4,5.264283,0.07504443,2.3919256,0.8388281
76,ZEB2,3.6078095,-1.926766,0.21037534,0.10045792
77,RBM43,2.933516,0.49075884,0.041460868,0.051117625
78,NR4A2,3.6031659,1.3122563,0.23558068,0.089397945
79,BAZ2B,2.9748845,-0.0740787,0.09803787,0.06668989
80,RBMS1,3.1015067,-0.44676676,0.084349655,0.03922225
81,SLC38A11,2.6713135,1.0640296,0.024230493,0.0045175627
82,SCN3A,3.144047,0.078678526,0.033844035,0.017344171
83,METTL8,3.313059,-0.7107012,0.12676203,0.08605868
84,CIR1,3.2273626,0.7318572,0.30339777,0.3767819
85,GPR155,3.1509764,-1.684904,0.03484793,0.13008963
86,NFE2L2,3.0145464,0.6116282,0.124077134,0.13835832
87,TTN,3.4349554,0.3612101,0.11786631,0.025650863
88,SESTD1,3.0824444,-0.16894951,0.090936445,0.03460728
89,ASNSD1,3.038826,-0.5755388,0.0880565,0.15842052
90,ANKAR,3.0944374,2.2697442,0.06731123,0.036691733
91,MYO1B,3.1324384,-0.07223021,0.013220801,0.0015217786
92,SLC39A10,3.6866395,-1.5212232,0.11498747,0.06802221
93,TRAK2,3.017315,-2.10836,0.050287917,0.028529251
94,STRADB,3.6530964,-0.50523186,0.08871016,0.04462031
95,ICA1L,3.6530964,-1.0164005,0.07177411,0.025313225
96,KANSL1L,2.5675378,0.39784098,0.0108189,0.0058747265
97,WNT10A,2.9556878,-0.08374637,0.018302197,0.025776226
98,SP140L,3.5312748,1.3085455,0.23397404,0.1838651
99,ITM2C,3.9455566,5.1064973,0.14495075,1.9603051
100,PTMA,5.553513,-0.64281094,3.7597868,3.4848049
101,DGKD,3.1601174,-1.7586352,0.13229907,0.11262925
102,ARL4C,2.9004393,0.032906488,0.111975774,0.3147637
103,CHL1,2.994498,-0.37891588,0.010553679,0.0027193716
104,ITPR1,3.671585,1.7082878,0.11098267,0.05463745
105,CCDC174,3.2308571,1.6142938,0.103147544,0.14136577
106,SATB1,3.072242,-1.873637,0.07595225,0.050581165
107,KCNH8,2.7255845,-0.9199721,0.025285335,0.0030246666
108,THRB,2.9926975,0.17108713,0.007636003,0.001629438
109,SLC4A7,3.038826,-3.3158176,0.09291017,0.04442801
110,GOLGA4,3.0702806,0.561574,0.17272103,0.34395316
111,ZNF660,2.743088,0.0016634578,0.0038351705,0.0009978598
112,MANF,3.854169,3.4096825,0.077660866,1.5345467
113,APPL1,3.7029004,-1.5967996,0.28080162,0.18292394
114,DNASE1L3,3.7000105,0.40975013,0.023214247,0.002757901
115,TMF1,3.001737,-0.0066834064,0.15918976,0.2510182
116,FOXP1,4.302168,2.1642945,0.7603568,0.20691133
117,CMSS1,3.1864293,1.2209216,0.088412926,0.15779437
118,SENP7,2.9909003,-0.78365946,0.08762246,0.079498164
119,IFT57,3.6622958,1.3988973,0.3558429,0.26102683
120,DPPA4,2.6166916,0.21534888,0.0074709663,0.0
121,CD96,2.945387,-0.014922989,0.0606417,0.050781567
122,GCSAM,2.8138494,-0.4859315,0.036566183,0.056807224
123,CD200,3.3993142,-0.675005,0.09583343,0.015700888
124,BTLA,3.1380484,-0.7955436,0.13910995,0.20135503
125,SIDT1,3.2066689,-0.36503592,0.06678783,0.066578224
126,EAF2,3.9092178,0.99178135,0.4895924,1.1872606
127,PARP14,3.5116262,0.7718343,0.34512675,0.23889035
128,RASA2,3.2940412,-0.79015076,0.1306334,0.19319698
129,PLSCR1,3.6476192,0.87799853,0.114010975,0.14571176
130,RNF13,3.1015067,-0.7359219,0.15552388,0.2348409
131,SIAH2,3.0637722,1.5047811,0.1430812,0.17519434
132,P2RY14,2.9522412,0.8375447,0.06660078,0.007171795
133,MME,2.842295,0.29702896,0.013197804,0.0010769422
134,SSR3,3.6898968,6.9990835,0.1495976,1.7877611
135,RSRC1,3.402116,-1.6517919,0.1693179,0.258829
136,GPR160,2.842295,-0.02520185,0.07416451,0.14392328
