sample_id,matrix_cells,qc_pass_cells,qc_pass_fraction,cluster_selected_B_cells,cluster_selected_B_fraction_of_qc,cell_margin_selected_B_cells,elastic_confident_fraction_selected,centroid_confident_fraction_selected,minimum_counts,maximum_counts,minimum_genes,maximum_genes,maximum_mito_fraction
JB17001,4644,4566,0.9832041343669251,1438,0.3149364870784056,1626,0.9728789986091794,0.9798331015299027,747.0,12026.0,394.0,2977.0,0.1
JB17002,5205,5123,0.9842459173871277,1062,0.2073004099160648,1313,0.9887005649717514,0.9717514124293786,713.0,11283.0,360.0,2598.0,0.1
JB17003,3894,3849,0.9884437596302003,429,0.11145752143413874,496,0.9627039627039627,0.9627039627039627,1070.0,16800.0,548.0,3727.0,0.1
JB17004,6171,6103,0.9889807162534435,504,0.08258233655579224,621,0.9702380952380952,0.8948412698412699,843.0,12384.0,447.0,3007.0,0.1
JB17005,4234,4156,0.9815777042985356,401,0.09648700673724735,561,0.9900249376558603,0.9850374064837906,838.0,11594.0,392.0,2748.0,0.14327043955698557
JB17006,5438,5345,0.9828981243104082,419,0.07839101964452759,564,0.9737470167064439,0.9737470167064439,828.0,10790.0,423.0,2515.0,0.11198258544826707
JB17007,3974,3866,0.9728233517866129,436,0.11277806518365235,484,0.9885321100917431,0.9311926605504587,806.0,13590.0,200.0,3009.0,0.1
JB17008,6260,6176,0.9865814696485623,585,0.09472150259067358,692,0.9948717948717949,0.9213675213675213,1065.0,23161.0,423.0,4120.0,0.1
JB17010,13454,13193,0.9806005648877657,1979,0.15000378988857727,2160,0.9636179888832744,0.9434057604850935,1365.0,16394.0,485.0,3241.0,0.11675701587221443
JB17014,13834,13454,0.9725314442677462,726,0.0539616470938011,872,0.9683195592286501,0.977961432506887,1369.0,16712.0,200.0,3211.0,0.1
JB17015,13538,13252,0.9788742798049933,1539,0.1161334138243284,1709,0.9629629629629629,0.9551656920077972,1297.0,15476.0,200.0,3035.0,0.13879757691694558
JB17016,10253,10066,0.9817614356773627,1704,0.1692827339558911,1706,0.9730046948356808,0.9471830985915493,1834.0,25871.0,200.0,4549.0,0.1
JB17017,8869,8705,0.9815086255496673,1334,0.15324526134405514,1589,0.974512743628186,0.9655172413793104,1614.0,23657.0,522.0,3931.0,0.1024261182982766
JB17018,9009,8882,0.9859029859029859,831,0.09356000900698042,912,0.9747292418772563,0.9831528279181708,1590.0,20606.0,591.0,3711.0,0.1
JB17019,5545,5344,0.963751127141569,113,0.021145209580838323,91,0.9823008849557522,0.9911504424778761,1580.0,26535.0,200.0,4065.0,0.16508316570791348
JB17020,5350,5245,0.9803738317757009,735,0.14013346043851288,722,0.9605442176870749,0.9673469387755103,2102.0,40794.0,711.0,5306.0,0.14791876084122227
JB17021,4463,4379,0.981178579430876,52,0.01187485727335008,39,0.8846153846153846,0.46153846153846156,1442.0,23424.0,639.0,4360.0,0.1156620818475124
JB17022,6443,6341,0.9841688654353562,544,0.08579088471849866,602,0.9797794117647058,0.9577205882352942,1470.0,18189.0,508.0,3144.0,0.1
