branch,contrast,regulator,matched_targets_before,removed_targets,matched_targets_after,target_retention_fraction,baseline_ulm_slope,method,estimate,standard_error,ci_low,ci_high,direction,p_value,inter_gene_correlation,attenuation_ratio_vs_baseline,q_value,multiplicity_family,expected_direction,ci_excludes_zero
frozen_ifn12_depleted,gse174188_primary,STAT1,98,6,92,0.938775510204082,1.28532276009537,ULM,0.962658859300595,0.171497490212959,0.626437718349468,1.29888000025172,Up,2.10730680657423e-08,,0.748962742423676,3.16096020986134e-08,frozen_ifn12_depleted_ulm_core_6,True,True
frozen_ifn12_depleted,gse174188_primary,STAT1,98,6,92,0.938775510204082,1.28532276009537,CAMERA,,,,,Up,0.0187149832681391,0.0224662775163479,,0.0280724749022086,frozen_ifn12_depleted_camera_core_6,True,
frozen_ifn12_depleted,gse174188_primary,STAT1,98,6,92,0.938775510204082,1.28532276009537,FRY,,,,,Up,7.39134780956235e-06,,,1.84269254280309e-05,frozen_ifn12_depleted_fry_core_6,True,
m5911_depleted,gse174188_primary,STAT1,98,21,77,0.785714285714286,1.28532276009537,ULM,0.418210996980237,0.187701995424266,0.0502208941397627,0.786201099820711,Up,0.025926843784868,,0.325374302832081,0.0311122125418416,m5911_depleted_ulm_core_6,True,True
m5911_depleted,gse174188_primary,STAT1,98,21,77,0.785714285714286,1.28532276009537,CAMERA,,,,,Up,0.0976225277470502,0.01028394411646,,0.11714703329646,m5911_depleted_camera_core_6,True,
m5911_depleted,gse174188_primary,STAT1,98,21,77,0.785714285714286,1.28532276009537,FRY,,,,,Up,0.0111049689178437,,,0.0133259627014124,m5911_depleted_fry_core_6,True,
frozen_ifn12_depleted,gse174188_primary,STAT2,14,3,11,0.785714285714286,2.18232374312918,ULM,1.1672481760262,0.493903477503128,0.198949511598964,2.13554684045344,Up,0.0181555187440453,,0.534864810824315,0.0181555187440453,frozen_ifn12_depleted_ulm_core_6,True,True
frozen_ifn12_depleted,gse174188_primary,STAT2,14,3,11,0.785714285714286,2.18232374312918,CAMERA,,,,,Up,0.325889867384632,0.0402486792678519,,0.325889867384632,frozen_ifn12_depleted_camera_core_6,True,
frozen_ifn12_depleted,gse174188_primary,STAT2,14,3,11,0.785714285714286,2.18232374312918,FRY,,,,,Up,0.0010476701717511,,,0.0010476701717511,frozen_ifn12_depleted_fry_core_6,True,
m5911_depleted,gse174188_primary,STAT2,14,6,8,0.571428571428571,2.18232374312918,ULM,0.390657714569951,0.579292445774717,-0.745046177194798,1.5263616063347,Up,0.500111148687377,,0.179009973107747,0.500111148687377,m5911_depleted_ulm_core_6,True,False
