panel,series,category,estimate,ci_low,ci_high,p_value,q_value,n_or_targets,evidence_owner,branch,contrast,regulator,matched_targets_before,removed_targets,matched_targets_after,target_retention_fraction,baseline_ulm_slope,attenuation_ratio_vs_baseline,ci_excludes_zero
B,regulator_activity,gse174188_primary|STAT1,1.2853227600953685,0.9603788749738308,1.610266645216906,1.0912993950800102e-14,6.547796370480064e-14,98,Figure 5b,,,,,,,,,,
B,regulator_activity,gse174188_primary|STAT2,2.182323743129181,1.325600862826093,3.0390466234322693,6.143418325317636e-07,1.8430254975952908e-06,14,Figure 5b,,,,,,,,,,
B,regulator_activity,gse174188_primary|IRF7,1.2109287565006193,-0.2247760423956057,2.6466335553968445,0.098287520926619,0.1474312813899285,5,Figure 5b,,,,,,,,,,
B,regulator_activity,gse174188_primary|IRF9,3.446381839465805,2.236607497628673,4.656156181302936,2.476860260199373e-08,8.492092320683567e-08,7,Figure 5b,,,,,,,,,,
C,regulator_activity,gse174188_primary|E2F1,0.0843664661298491,-0.269486698228625,0.4382196304883234,0.640217317741058,0.6984188920811542,83,Figure 5c,,,,,,,,,,
C,regulator_activity,gse174188_primary|FOXM1,-0.132697622837725,-0.9358845375547932,0.6704892918793431,0.7460275049715046,0.7784634834485267,16,Figure 5c,,,,,,,,,,
C,regulator_activity,gse174188_primary|MYC,-0.3555316596463829,-0.5391622524115026,-0.1719010668812633,0.0001491580671746,0.0003254357829265,317,Figure 5c,,,,,,,,,,
C,regulator_activity,gse174188_primary|MYBL2,-0.1254292182379653,-1.2611856072936862,1.0103271708177557,0.8285991469525991,0.8285991469525991,8,Figure 5c,,,,,,,,,,
B,regulator_activity,gse174188_internal_nonoverlap|STAT1,1.0905000927531063,0.8426463925489134,1.3383537929572993,8.074312172520138e-18,6.45944973801611e-17,129,Figure 5b,,,,,,,,,,
B,regulator_activity,gse174188_internal_nonoverlap|STAT2,2.9618546143648667,2.321101625258525,3.602607603471208,1.7028231779037046e-19,2.0433878134844454e-18,19,Figure 5b,,,,,,,,,,
B,regulator_activity,gse174188_internal_nonoverlap|IRF7,2.196592154220724,0.941394399344812,3.451789909096636,0.0006062259859119,0.0012124519718238,5,Figure 5b,,,,,,,,,,
B,regulator_activity,gse174188_internal_nonoverlap|IRF9,2.6863533076648323,1.8006107926064092,3.572095822723256,2.9088745387023286e-09,1.1635498154809313e-08,10,Figure 5b,,,,,,,,,,
C,regulator_activity,gse174188_internal_nonoverlap|E2F1,0.147988766981057,-0.1222451708788351,0.4182227048409492,0.2830657137749098,0.3774209516998798,109,Figure 5c,,,,,,,,,,
C,regulator_activity,gse174188_internal_nonoverlap|FOXM1,-0.3834709118626436,-0.9697137909448016,0.2027719672195143,0.1997865320120059,0.2820515746051848,23,Figure 5c,,,,,,,,,,
